,S++
0,64.725
1,65.8
2,48.1
3,56.55
4,59.3
5,97.7625
6,59.5
7,59.3
8,45.0625
9,49.4
10,53.8
11,59.3
12,96.9125
13,64.7
14,62.5
15,58.3
16,53.225
17,59.5
18,60.1
19,56.925
20,65.8
21,56.4625
22,98.7
23,61.2
24,59.9
25,59.2625
26,61.3875
27,51.5875
28,65.6
29,61.1
30,97.8375
31,58.075
32,65.8
33,56.375
34,63.2875
35,65.8
36,58.6
37,65.8
38,61.2
39,58.0875
40,97.7625
41,62.5
42,60.25
43,55.8625
44,56.3125
45,98.7
46,61.7625
47,59.5
48,56.675
49,97.7625
50,60.25
51,61.025
52,55.95
53,65.8
54,58.6
55,59.5625
56,58.6
57,62.5
58,55.95
59,64.3875
60,55.3
61,57.625
62,59.8875
63,62.1125
64,34.5
65,61.0
66,98.7
67,50.5
68,62.5
69,59.0
70,97.7625
71,98.7
72,62.8875
73,97.8375
74,59.3
75,49.2
76,64.3875
77,58.6
78,62.8875
79,59.1
80,97.8375
81,58.225
82,98.7
83,61.2
84,54.3375
85,65.1
86,63.6
87,61.0125
88,58.025
89,55.525
90,55.525
91,62.8875
92,60.8
93,61.025
94,96.9125
95,57.775
96,55.075
97,60.95
98,62.5
99,61.0
100,58.1875
101,58.6
102,61.7625
103,63.2875
104,57.4
105,56.675
106,58.525
107,64.3
108,97.8375
109,59.625
110,62.5
111,61.7
112,59.1125
113,58.925
114,96.9125
115,61.2
116,55.2
117,96.9125
118,57.825
119,60.25
120,60.2625
121,59.225
122,64.3
123,62.4
124,59.7
125,43.4
126,60.0
127,51.7
128,62.5
129,59.325
130,56.675
131,65.1
132,57.6
133,63.4
134,55.0
135,62.5
136,62.5
137,98.7
138,58.7875
139,44.3
140,58.9
141,56.9
142,60.4
143,56.575
144,59.525
145,62.5
146,58.3375
147,60.95
148,54.7625
149,61.9
150,54.425
151,65.6
152,65.8
153,62.5
154,59.8
155,58.6
156,64.3
157,98.7
158,62.5
159,56.6375
160,58.025
161,96.9125
162,58.075
163,60.25
164,60.4
165,57.0875
166,59.525
167,96.9125
168,63.0
169,55.1625
170,62.7
171,37.3
172,63.4
173,66.6
174,61.2
175,42.3
176,61.7625
177,51.45
178,61.3875
179,58.0125
180,56.325
181,64.5875
182,61.2
183,42.325
184,56.125
185,57.3125
186,58.05
187,60.25
188,96.9125
189,50.2
190,34.6
191,64.3
192,61.2
193,61.3
194,95.5125
195,57.8
196,59.7
197,61.9875
198,55.2
199,50.5875
200,61.7625
201,33.1875
202,65.6
203,58.1625
204,61.0125
205,58.1625
206,62.5
207,54.5
208,64.3
209,95.5125
210,60.425
211,59.3
212,61.2
213,63.1625
214,62.5
215,63.4
216,61.0125
217,55.8
218,62.5
219,63.6
220,58.1625
221,64.3
222,55.9
223,62.5
224,95.5125
225,62.8
226,61.2
227,60.95
228,56.4625
229,57.125
230,97.7625
231,66.6
232,60.95
233,61.0
234,61.8
235,65.1
236,62.9
237,58.3375
238,49.3625
239,62.5
240,34.7
241,36.3
242,52.0875
243,63.0
244,59.3
245,58.9
246,53.1
247,52.2
248,61.0125
249,52.1625
250,62.5
251,61.0
252,59.3
253,58.1625
254,98.7
255,59.525
256,55.0875
257,98.7
258,61.1
259,66.4
260,60.25
261,59.3
262,56.2375
263,54.6
264,98.7
265,61.0
266,55.875
267,59.475
268,97.8375
269,55.7
270,58.6
271,58.3375
272,64.725
273,60.7
274,97.7625
275,61.025
276,62.5
277,62.5
278,44.8375
279,59.5625
280,97.7625
281,56.1875
282,65.8
283,60.1625
284,65.1
285,98.7
286,64.725
287,64.3
288,59.5
289,56.8625
290,61.2
291,64.3
292,58.825
293,59.55
294,62.5
295,62.5
296,57.7875
297,59.3
298,66.8
299,57.425
300,31.8125
301,62.5
302,51.0375
303,53.4
304,63.2875
305,53.2875
306,61.2
307,64.6
308,61.2
309,62.0625
310,61.2
311,57.8625
312,52.925
313,55.0125
314,36.7
315,95.5125
316,63.1
317,97.7625
318,61.3
319,60.4
320,53.8
321,40.8125
322,58.9
323,56.675
324,35.8625
325,59.5
326,35.1625
327,98.7
328,56.5625
329,60.2875
330,58.0
331,65.7
332,58.825
333,97.7625
334,98.7
335,63.1625
336,42.7
337,54.9
338,60.2
339,60.2
340,49.3
341,58.075
342,61.2
343,59.5
344,97.8375
345,55.15
346,96.9125
347,60.25
348,59.525
349,65.1
350,61.2
351,51.925
352,59.5
353,55.7
354,61.2
355,60.95
356,65.8
357,60.0
358,61.1
359,37.9
360,64.9
361,98.7
362,54.35
363,57.025
364,59.5
