,CoopPunishOpp,BullyOpp,BullyPunishOpp
0,62.5,17.0625,-1.025
1,57.275,19.3375,-0.2875
2,62.5,33.6,3.05
3,58.3,14.7125,-0.35
4,61.0,24.425,-1.075
5,60.25,15.65,-1.8
6,62.5,16.125,0.4
7,60.1,35.2,3.3
8,61.175,32.525,3.25
9,60.1,34.4,0.7
10,60.7,32.125,2.025
11,58.3,22.6125,-4.0625
12,51.1,24.4875,1.9375
13,62.5,31.8,3.3
14,61.75,14.3875,-1.825
15,57.2,33.8,-0.1125
16,62.5,25.2875,-2.6
17,58.6,9.425,-0.3625
18,62.5,15.7875,1.125
19,60.3625,34.8,5.5
20,62.5,18.0625,0.4125
21,59.85,32.8,3.9625
22,57.1,21.8875,-4.875
23,59.375,34.4,2.95
24,58.3,19.1375,-1.825
25,57.3125,19.5375,-0.375
26,62.5,34.0,2.5375
27,60.7,31.925,1.1125
28,59.0875,34.4,3.0
29,58.0375,17.0625,1.325
30,59.525,16.9875,2.7125
31,58.6,18.4,-0.3375
32,58.775,31.725,0.4
33,62.5,34.8,3.6625
34,58.3,16.65,0.5
35,62.5,20.7375,-0.325
36,59.85,33.8,4.425
37,61.025,15.05,-1.1
38,62.5,33.0,0.9125
39,60.2875,16.525,0.475
40,56.35,22.6125,-1.05
41,60.1,31.525,5.025
42,62.5,33.0,3.2
43,61.75,19.2,1.175
44,53.35,15.85,-1.8625
45,55.775,21.2125,1.9125
46,62.5,33.4,1.0125
47,60.1,34.4,2.3875
48,57.45,33.4,4.475
49,62.5,33.4,2.3375
50,62.5,33.8,3.35
51,59.1875,34.2,1.725
52,61.025,18.0625,5.0375
53,61.075,33.4,3.55
54,58.1125,33.0,1.3125
55,62.5,25.35,-1.775
56,58.6,17.325,1.9
57,57.3125,23.35,2.725
58,61.175,32.125,2.6375
59,61.075,34.6,4.525
60,62.5,34.4,0.5
61,60.5125,33.8,-0.2625
62,61.075,33.0,5.1875
63,62.5,17.325,-2.4625
64,58.525,33.2,1.0125
65,62.5,15.5875,-2.55
66,59.0875,34.2,3.45
67,60.5125,32.8,6.1
68,62.5,33.4,-0.2625
69,61.025,18.1875,1.9
