,EEE
0,44.0625
1,21.8625
2,10.0
3,43.75
4,57.475
5,17.5
6,44.0625
7,44.6875
8,33.1625
9,61.025
10,45.9375
11,49.0375
12,47.5375
13,43.7625
14,39.8
15,44.0625
16,62.5
17,62.5
18,43.425
19,58.0
20,55.8625
21,44.6875
22,62.5
23,21.1
24,61.7625
25,10.0
26,58.9
27,62.5
28,40.525
29,60.4
30,35.575
31,17.5
32,17.5
33,10.0
34,62.5
35,49.6
36,48.4875
37,10.0
38,10.0
39,43.75
40,45.9375
41,44.0625
42,44.0625
43,44.0625
44,60.5125
45,10.0
46,17.5
47,62.5
48,10.0
49,40.3
50,61.175
51,54.9125
52,61.025
53,62.5
54,44.6875
55,39.7
56,62.5
57,35.225
58,61.0
59,10.0
60,12.775
61,62.5
62,45.9375
63,58.9
64,10.0
65,10.0
66,58.9375
67,62.5
68,35.7
69,14.0875
70,45.5375
71,15.9625
72,44.6875
73,33.1375
74,62.5
75,35.8875
76,48.4
77,62.5
78,10.0
79,58.3
80,10.0
81,16.375
82,44.6875
83,51.1
84,10.0
85,49.9
86,53.4125
87,62.5
88,45.9375
89,44.0625
90,17.5
91,10.0
92,51.4375
93,44.6875
94,56.8
95,51.575
96,43.75
97,17.5
98,60.3625
99,44.0625
100,43.825
101,56.2
102,45.9375
103,10.0
104,10.0
105,43.75
106,28.5
107,14.05
108,42.525
109,57.1
110,62.5
111,45.9375
112,42.4
113,61.025
114,45.9375
115,62.5
116,58.9
117,44.0625
118,44.0625
119,44.6875
120,49.0
121,44.0625
122,36.55
123,62.5
124,60.3625
125,44.0625
126,26.65
127,62.5
128,17.5
129,46.9
130,10.3
131,17.5
132,62.5
133,62.5
134,30.1375
135,62.5
136,52.9125
137,61.7875
138,60.2875
139,12.725
140,26.8875
141,41.5
142,43.8
143,43.75
144,44.6875
145,55.875
146,62.5
147,44.0625
148,56.2
149,44.0625
150,16.9
151,62.5
152,44.0625
153,35.05
154,62.5
155,48.725
156,44.0625
157,44.0625
158,44.0625
159,45.9375
160,10.0
161,40.1125
162,44.6875
163,62.5
164,44.0625
165,44.6875
166,44.0625
167,43.75
168,44.0625
169,10.0
170,16.9
171,44.6875
172,62.5
173,60.5125
174,29.7
175,44.7875
176,56.5
177,49.6875
178,17.5
179,21.1
180,35.15
181,60.2875
182,17.5
183,39.5375
184,33.1
185,14.0875
186,60.2875
187,36.55
188,17.5
189,55.0
190,56.6
191,60.3625
192,27.1
193,56.5
194,43.75
195,45.55
196,62.5
197,58.3
198,55.2125
199,48.175
200,60.25
201,10.0
202,43.75
203,45.9375
204,10.0
205,44.0625
206,62.5
207,52.5625
208,44.0625
209,62.5
210,32.725
211,49.9
212,45.9375
213,10.0
214,44.0625
215,62.5
216,62.5
217,17.5
218,45.9375
219,57.8625
220,61.175
221,44.6875
222,62.5
223,33.4375
224,61.025
225,10.0
226,44.6875
227,62.5
228,44.0625
229,62.5
230,62.5
231,62.5
232,44.6875
233,35.8875
234,44.0625
235,25.1125
236,56.6
237,10.0
238,10.0
239,62.5
240,56.2
241,62.5
242,61.025
243,61.75
244,45.9375
245,10.0
246,16.9
247,41.775
248,61.075
249,17.5
250,62.5
251,45.9375
252,62.5
253,17.5
254,44.6875
255,39.7
256,50.6875
257,28.0
258,44.6875
259,62.5
260,60.2875
261,10.0
262,10.3
263,10.0
264,41.425
265,17.5
266,62.5
267,62.5
268,10.0
269,44.6875
270,44.0625
271,45.9375
272,62.5
273,14.5
274,43.75
275,44.0625
276,44.7875
277,62.5
278,16.3
279,62.5
280,44.9875
281,58.3
282,61.75
283,44.6875
284,10.0
285,38.35
286,44.0625
287,62.5
288,10.0
289,61.175
290,58.8125
291,44.0
292,41.3125
293,44.6875
294,41.3375
295,10.0
296,60.3625
297,44.0625
298,44.0625
299,17.5
300,44.6875
301,41.05
302,62.5
303,44.6875
304,21.4
305,50.075
306,60.2875
307,10.0
308,44.7875
309,41.05
310,62.5
311,45.9375
312,62.5
313,62.5
314,36.7
315,56.825
316,17.5
317,41.05
318,60.2875
319,44.6875
320,43.75
321,44.0375
322,43.1375
323,50.275
324,61.75
325,45.9375
326,38.35
327,10.0
328,57.5125
329,57.55
330,44.6875
331,10.0
332,47.8
333,60.3625
334,10.0
335,58.075
336,16.9
337,45.7375
338,62.5
339,62.5
340,39.55
341,59.65
342,10.3
343,43.75
344,60.25
345,41.3375
346,62.5
347,42.5125
348,43.75
349,44.6875
350,10.0
351,10.3
352,62.5
353,45.8875
354,44.0625
355,44.0625
356,44.0625
357,44.0375
358,62.5
359,41.3375
360,56.2
361,56.2
362,43.7625
363,61.075
364,44.6875
365,16.3
366,62.5
367,12.1
368,10.0
369,10.0
370,17.5
371,30.4375
372,54.55
373,44.6875
374,44.6875
375,21.3875
376,57.5125
377,44.0125
378,62.5
379,61.025
380,13.65
381,43.6625
382,62.5
383,10.0
384,62.5
385,44.0625
386,43.75
387,60.4
388,43.75
389,35.325
390,62.5
391,43.75
392,44.0625
393,44.5
394,10.0
395,61.075
396,53.125
397,44.0625
398,61.0
399,17.5
400,39.975
401,10.0
402,10.0
403,17.5
404,48.5875
405,62.5
406,42.4
407,62.5
408,45.9375
409,40.3375
410,60.5125
411,40.9125
412,44.0625
413,43.225
414,44.0625
415,60.2875
416,62.5
417,62.5
418,43.75
419,62.5
420,24.9875
421,62.5
422,47.9125
423,62.5
424,49.9625
425,44.6875
426,10.0
427,62.5
428,62.5
429,61.075
430,47.8
431,53.95
432,43.75
433,62.5
434,10.0
435,23.725
436,44.6875
437,44.0625
438,58.775
439,44.0625
440,32.95
441,10.0
442,10.0
443,17.5
444,47.0125
445,62.5
446,19.3
447,43.6625
448,17.5
449,15.7
450,49.3
451,62.5
452,62.5
453,55.0
454,59.275
455,44.0625
456,10.3
457,43.75
458,44.6875
459,42.7
460,44.6875
461,62.5
462,32.725
463,43.4375
464,49.15
465,44.0625
466,39.975
467,60.25
468,52.175
469,52.6375
470,62.5
471,44.6875
472,60.3625
473,10.0
474,59.5
475,19.025
476,61.7625
477,42.9875
478,43.9875
479,37.3
480,40.6
481,10.0
482,43.75
483,44.0625
484,44.0625
485,60.2875
486,10.0
487,43.75
488,45.9375
489,44.5
490,43.6
491,62.5
492,44.0625
493,10.0
494,17.5
495,61.8375
496,62.5
497,62.5
498,62.5
499,62.5
500,45.0
501,35.0
502,45.0
503,23.525
504,45.0
505,45.0
506,42.6
507,45.0
508,38.175
509,38.6
510,35.0
511,35.0
512,29.8
513,22.3
514,32.0
515,22.7875
516,6.4
517,43.8
518,23.3875
519,19.0
520,34.6625
521,23.775
522,10.0
523,35.0
524,7.975
525,45.0
526,45.0
527,25.0
528,34.6
529,35.0
530,41.8
531,25.0
532,30.3125
533,14.375
534,42.6
535,25.0
536,41.4625
537,44.4
538,30.0
539,35.0
540,29.6
541,31.25
542,45.0
543,10.0
544,35.0
545,35.0
546,45.0
547,25.0
548,35.0
549,23.525
550,25.4375
551,10.0
552,39.5875
553,45.0
554,41.0
555,45.0
556,45.0
557,35.0
558,25.5
559,45.0
560,30.0
561,25.0
562,45.0
563,30.0
564,7.1375
565,9.6375
566,20.7
567,35.0
568,28.1875
569,35.0
570,45.0
571,45.0
572,38.0
573,45.0
574,10.0
575,38.6
576,35.0
577,35.0
578,31.0
579,41.2
580,45.0
581,38.175
582,35.0
583,30.0
584,35.0
585,38.175
586,43.8
587,10.0
588,28.8
589,25.0
590,41.25
591,35.0
592,37.9
593,40.3125
594,35.375
595,44.2
596,42.2
597,45.0
598,42.1875
599,10.1625
600,45.0
601,45.0
602,35.0
603,41.8
604,45.0
605,14.675
606,42.6
607,35.4
608,44.2
609,27.0
610,8.25
611,40.25
612,43.0
613,25.0
614,30.0
615,10.0
616,45.0
617,10.0
618,31.5875
619,29.0
620,4.35
621,25.05
622,6.5625
623,33.8
624,45.0
625,6.5625
626,28.6
627,27.85
628,22.85
629,40.3875
630,39.3125
631,43.4
632,45.0
633,25.0
634,43.0
635,5.0875
636,29.8
637,30.0
638,34.2
639,45.0
640,36.6
641,45.0
642,40.7875
643,10.0
644,45.0
645,31.9875
646,45.0
647,39.4
648,35.0
649,34.35
650,25.0
651,5.0875
652,42.6
653,15.1
654,25.25
655,30.2
656,45.0
657,18.4
658,45.0
659,45.0
660,10.0
661,35.0
662,45.0
663,34.6
664,38.85
665,43.2
666,7.375
667,31.9875
668,43.8
669,45.0
670,28.1875
671,40.3125
672,5.0875
673,36.4
674,41.5
675,40.4
676,45.0
677,35.0
678,30.0
679,31.6
680,34.2
681,44.2
682,45.0
683,31.4
684,30.0
685,42.725
686,38.45
687,20.575
688,41.0
689,39.4
690,33.7125
691,35.0
692,45.0
693,35.0
694,5.825
695,43.0
696,38.175
697,30.025
698,38.2
699,45.0
700,25.0
701,34.025
702,31.65
703,36.9125
704,35.0
705,10.0
706,45.0
707,32.05
708,24.7875
709,10.0
710,40.25
711,34.975
712,30.0
713,41.5875
714,5.0875
715,43.8
716,22.35
717,35.0
718,43.2
719,28.6
720,30.575
721,43.4
722,45.0
723,45.0
724,33.7
725,35.0
726,45.0
727,6.5625
728,10.0
729,31.3125
730,25.0
731,34.6
732,25.0
733,45.0
734,21.3125
735,29.0
736,42.2
737,43.8
738,33.0
739,33.8
740,6.5625
741,45.0
742,29.25
743,45.0
744,40.3125
745,41.5
746,45.0
747,45.0
748,32.4
749,32.4
750,22.85
751,22.3125
752,42.2
753,35.0
754,32.8
755,37.4
756,35.0
757,43.8
758,30.2
759,45.0
760,45.0
761,45.0
762,27.4
763,45.0
764,30.0
765,31.3125
766,39.3125
767,45.0
768,25.0
769,25.0
770,10.0
771,44.2
772,42.725
773,43.8
774,33.8
775,30.5125
776,44.6
777,45.0
778,43.8
779,43.8
780,35.0
781,45.0
782,6.5625
783,33.7875
784,20.0125
785,41.5875
786,10.1625
787,30.0
788,32.0
789,36.5875
790,35.0
791,41.5875
792,45.0
793,35.625
794,36.4625
795,25.0
796,35.0
797,32.9
798,8.5625
799,38.775
800,35.2
801,25.0
802,43.4
803,45.0
804,10.0
805,26.55
806,6.5625
807,10.0
808,30.2
809,41.2
810,22.3125
811,45.0
812,43.6
813,25.0
814,33.0
815,35.0
816,40.3125
817,10.0
818,37.775
819,35.0
820,33.7375
821,43.0
822,31.25
823,39.8
824,10.0
825,30.0
826,42.2
827,30.0
828,45.0
829,40.45
830,25.0
831,31.25
832,45.0
833,45.0
834,45.0
835,6.5625
836,34.0
837,30.575
838,45.0
839,35.0
840,44.0
841,45.0
842,38.175
843,23.5
844,31.25
845,35.0
846,6.5625
847,25.0
848,45.0
849,32.025
850,45.0
851,10.9875
852,30.0
853,35.625
