,Algaater
0,52.9375
1,51.75
2,54.7625
3,62.5
4,62.5
5,27.5875
6,62.5
7,62.5
8,56.6375
9,62.5
10,62.5
11,54.875
12,42.2
13,59.725
14,54.85
15,52.5375
16,62.5
17,59.0375
18,55.7875
19,62.5
20,53.675
21,62.5
22,17.35
23,62.5
24,62.5
25,55.3625
26,62.5
27,62.5
28,54.95
29,16.125
30,64.0
31,34.75
32,57.475
33,51.4375
34,62.5
35,59.925
36,62.5
37,33.625
38,62.5
39,54.3625
40,62.5
41,54.1875
42,62.5
43,56.65
44,62.5
45,53.7125
46,59.575
47,62.5
48,48.4375
49,49.2
50,24.4875
51,62.5
52,37.5625
53,51.775
54,62.5
55,17.35
56,62.5
57,62.5
58,57.475
59,59.325
60,62.5
61,62.5
62,62.5
63,50.225
64,62.5
65,47.35
66,15.85
67,48.7375
68,50.975
69,62.5
70,26.575
71,31.8
72,62.5
73,48.8125
74,51.3125
75,59.9625
76,62.5
77,59.325
78,62.5
79,56.775
80,62.5
81,40.2375
82,62.5
83,30.5625
84,58.625
85,46.6
86,51.7875
87,17.225
88,55.7875
89,52.05
90,53.925
91,32.4375
92,62.5
93,64.0
94,62.5
95,55.2375
96,62.5
97,27.6125
98,62.5
99,54.3875
100,51.4375
101,42.8
102,50.275
103,32.775
104,62.5
105,33.8125
106,62.5
107,33.275
108,52.0875
109,62.5
110,62.5
111,62.5
112,21.375
113,62.5
114,53.0
115,55.7875
116,60.125
117,56.2125
118,36.975
119,59.925
120,56.225
121,62.5
122,62.5
123,60.2875
124,64.0
125,44.1875
126,52.575
127,45.3375
128,47.7375
129,49.525
130,43.5
131,59.325
132,60.825
133,64.0
134,53.3375
135,62.5
136,52.5125
137,55.7875
138,62.5
139,53.5625
140,40.25
141,62.5
142,52.1125
143,43.225
144,48.5125
145,52.075
146,62.5
147,34.625
148,62.5
149,54.75
150,30.1
151,62.5
152,52.4125
153,55.7875
154,62.5
155,52.8
156,62.5
157,54.25
158,42.2875
159,49.1
160,52.9125
161,62.5
162,54.5625
163,54.0125
164,26.475
165,49.9375
166,62.5
167,60.3
168,51.3125
169,44.9625
170,52.6
171,49.675
172,58.4625
173,62.5
174,55.7875
175,52.575
176,45.7625
177,62.5
178,62.5
179,52.225
180,51.375
181,62.5
182,62.5
183,62.5
184,44.9
185,62.5
186,52.525
187,52.9375
188,46.4
189,40.5625
190,62.5
191,62.5
192,62.5
193,62.5
194,62.5
195,25.1625
196,27.3625
197,43.025
198,49.85
199,62.5
200,50.925
201,62.5
202,49.325
203,50.225
204,62.5
205,62.5
206,62.5
207,62.5
208,62.5
209,46.2
210,64.0
211,14.3625
212,62.5
213,62.5
214,62.5
215,49.525
216,62.5
217,62.5
218,52.95
219,32.6875
220,54.5375
221,62.5
222,62.5
223,64.0
224,62.5
225,58.2625
226,62.5
227,54.7125
228,53.275
229,21.3375
230,62.5
231,50.1875
232,55.7875
233,32.7375
234,62.5
235,62.5
236,51.775
237,62.5
238,52.2375
239,62.5
240,33.175
241,46.075
242,62.5
243,45.825
244,64.0
245,53.825
246,59.0375
247,54.9375
248,31.425
249,24.8625
250,54.7625
251,57.475
252,54.2875
253,60.125
254,51.0375
255,10.9375
256,56.3125
257,62.5
258,45.875
259,16.1375
260,24.55
261,54.1375
262,64.0
263,64.0
264,62.5
265,50.0
266,38.8625
267,14.35
268,62.5
269,47.3
270,52.1125
271,62.5
272,55.375
273,62.5
274,50.325
275,62.5
276,50.925
277,62.5
278,41.1125
279,28.7
280,32.275
281,57.2375
282,62.5
283,55.225
284,53.15
285,53.675
286,52.5125
287,24.8875
288,46.95
289,62.5
290,48.4875
291,59.625
292,62.5
293,62.5
294,48.0375
295,53.4375
296,62.5
297,58.375
298,56.5375
299,62.5
300,58.3375
301,16.6375
