,BBL
520,45.25
521,44.0625
522,44.3
523,46.1
524,44.6
525,46.1
526,43.6875
527,42.725
528,46.1
529,44.6
530,44.3
531,44.6
532,45.25
533,44.0625
534,43.6875
535,42.725
536,44.3
537,46.1
538,46.1
539,44.6
540,42.725
541,43.6875
542,45.0
543,45.0
544,46.1
545,44.6
546,44.6
547,44.3
548,24.2625
549,98.7
550,98.7
551,24.2625
552,46.1
553,44.6
554,46.1
555,44.6
556,44.6
557,46.1
558,45.25
559,44.0625
560,45.0
561,45.0
562,45.0
563,45.0
564,98.7
565,24.2625
566,44.6
567,46.1
568,46.1
569,44.6
570,45.0
571,45.0
572,44.0625
573,45.25
574,44.3
575,44.6
576,45.0
577,45.0
578,44.6
579,46.1
580,24.2625
581,98.7
582,46.1
583,44.3
584,46.1
585,44.6
586,46.1
587,44.3
588,44.6
589,46.1
590,45.0
591,45.0
592,46.1
593,44.6
594,46.1
595,44.6
596,43.6875
597,42.725
598,24.25
599,97.8375
600,43.6875
601,42.725
602,42.725
603,43.6875
604,46.1
605,44.3
606,44.6
607,44.3
608,24.25
609,97.8375
610,24.2625
611,98.7
612,44.6
613,46.1
614,46.1
615,44.6
616,45.0
617,45.0
618,42.725
619,43.6875
620,46.1
621,44.6
622,43.6875
623,42.725
624,44.0625
625,45.25
626,44.6
627,46.1
628,46.1
629,44.6
630,44.3
631,46.1
632,24.2625
633,98.7
634,98.7
635,24.2625
636,98.7
637,24.2625
638,44.6
639,46.1
640,46.1
641,44.6
642,46.1
643,44.6
644,44.0625
645,45.25
646,44.3
647,44.6
648,44.6
649,46.1
650,44.6
651,46.1
652,44.6
653,46.1
654,45.0
655,45.0
656,45.0
657,45.0
658,45.0
659,45.0
660,43.9875
661,44.0375
662,44.6
663,46.1
664,44.6
665,44.3
666,45.25
667,44.0625
668,97.8375
669,24.25
670,45.25
671,44.0625
672,46.1
673,44.6
674,44.6
675,44.3
676,43.6875
677,42.725
678,44.6
679,44.3
680,46.1
681,44.6
682,43.6875
683,42.725
684,44.6
685,46.1
686,46.1
687,44.3
688,44.6
689,46.1
690,44.3
691,44.6
692,44.6
693,46.1
694,42.725
695,43.6875
696,44.3
697,46.1
698,46.1
699,44.6
700,46.1
701,44.6
702,43.6875
703,42.725
704,44.6
705,44.3
706,24.2625
707,98.7
708,45.0
709,45.0
710,98.7
711,24.2625
712,46.1
713,44.6
714,44.0625
715,45.25
716,45.0
717,45.0
718,44.6
719,46.1
720,97.8375
721,24.25
722,44.6
723,46.1
724,45.0
725,45.0
726,44.6
727,44.3
728,44.6
729,46.1
730,45.0
731,45.0
732,44.3
733,46.1
734,42.725
735,43.6875
736,44.3
737,44.6
738,46.1
739,44.3
740,45.0
741,45.0
742,46.1
743,44.6
744,46.1
745,44.3
746,44.3
747,44.6
748,46.1
749,44.6
750,44.0625
751,45.25
752,45.0
753,45.0
754,44.6
755,44.3
756,44.6
757,46.1
758,24.2625
759,98.7
760,46.1
761,44.3
762,46.1
763,44.6
764,45.25
765,44.0625
766,45.0
767,45.0
768,44.6
769,46.1
770,44.3
771,46.1
772,44.3
773,44.6
774,45.0
775,45.0
776,44.6
777,46.1
778,46.1
779,44.6
780,44.6
781,46.1
782,42.725
783,43.6875
784,42.725
785,43.6875
786,24.2625
787,98.7
788,43.6875
789,42.725
790,45.0
791,45.0
792,45.0
793,45.0
794,44.6
795,46.1
796,45.25
797,44.0625
798,46.1
799,44.6
800,46.1
801,44.3
802,44.0375
803,43.9875
804,44.6
805,46.1
806,44.3
807,44.6
808,44.3
809,44.6
810,45.25
811,44.0625
812,45.0
813,45.0
814,45.0
815,45.0
816,44.6
817,46.1
818,43.6875
819,42.725
820,44.6
821,46.1
822,24.2625
823,98.7
824,44.6
825,46.1
826,44.3
827,44.6
828,45.0
829,45.0
830,45.0
831,45.0
832,45.25
833,44.0625
834,46.1
835,44.6
836,24.2625
837,98.7
838,44.6
839,46.1
840,46.1
841,44.6
842,42.725
843,43.6875
844,44.6
845,46.1
846,46.1
847,44.6
848,44.6
849,46.1
850,44.6
851,46.1
852,24.2625
853,98.7
854,44.6
855,46.1
856,45.25
857,44.0625
858,44.0625
859,45.25
860,44.3
861,46.1
862,44.6
863,44.3
864,46.1
865,44.6
866,44.0625
867,45.25
868,42.725
869,43.6875
870,60.4
871,62.9
872,45.0
873,45.0
874,45.25
875,44.0625
876,46.1
877,44.6
878,44.3
879,46.1
880,44.3
881,44.6
882,45.0
883,45.0
884,98.7
885,24.2625
886,44.6
887,46.1
888,46.1
889,44.6
890,44.6
891,46.1
892,44.6
893,46.1
894,45.25
895,44.0625
896,44.6
897,46.1
898,98.7
899,24.2625
900,44.6
901,46.1
902,44.6
903,46.1
904,45.0
905,45.0
906,44.6
907,46.1
908,44.6
909,46.1
910,24.25
911,97.8375
912,44.6
913,46.1
914,44.6
915,46.1
916,46.1
917,44.6
918,46.1
919,44.6
920,60.4
921,62.9
922,46.1
923,44.6
924,46.1
925,44.6
926,42.725
927,43.6875
928,46.1
929,44.6
930,46.1
931,44.6
932,97.8375
933,24.25
934,46.1
935,44.6
936,46.1
937,44.6
938,46.1
939,44.6
940,45.0
941,45.0
942,46.1
943,44.6
944,60.4
945,62.9
946,97.8375
947,24.25
948,44.6
949,44.3
950,45.25
951,44.0625
952,46.1
953,44.6
954,24.2625
955,98.7
956,44.6
957,44.3
958,46.1
959,44.6
960,44.6
961,46.1
962,46.1
963,44.6
964,43.6875
965,42.725
966,98.7
967,24.2625
968,43.6875
969,42.725
970,46.1
971,44.6
972,46.1
973,44.6
974,42.725
975,43.6875
976,46.1
977,44.6
978,60.4
979,62.9
980,42.725
981,43.6875
982,44.6
983,46.1
984,46.1
985,44.6
986,44.6
987,44.3
988,45.0
989,45.0
990,44.6
991,44.3
992,98.7
993,24.2625
994,44.3
995,46.1
996,46.1
997,44.6
998,44.6
999,46.1
