,S++
0,44
1,-50
2,-6
3,-44
4,-50
5,28
6,50
7,50
8,-50
9,-34
10,50
11,50
12,-50
13,50
14,44
15,-50
16,-50
17,-36
18,44
19,-4
20,-50
21,50
22,42
23,-50
24,-50
25,44
26,42
27,-44
28,-38
29,44
30,50
31,-50
32,-30
33,50
34,-50
35,44
36,46
37,-38
38,50
39,-50
40,-24
41,42
42,50
43,-50
44,50
45,-50
46,-50
47,-38
48,44
49,40
50,50
51,44
52,40
53,-44
54,-42
55,-50
56,-50
57,-50
58,-50
59,44
60,-50
61,-40
62,50
63,-46
64,42
65,-8
66,44
67,-14
68,-50
69,50
70,50
71,50
72,38
73,50
74,50
75,40
76,-38
77,-50
78,-40
79,-44
80,44
81,50
82,50
83,-16
84,44
85,50
86,50
87,-48
88,44
89,-50
90,-34
91,2
92,-50
93,50
94,-50
95,-50
96,-50
97,-50
98,-32
99,48
100,-50
101,-50
102,46
103,50
104,48
105,-50
106,50
107,50
108,-38
109,-50
110,44
111,48
112,50
113,-38
114,50
115,-50
116,42
117,50
118,-50
119,50
120,50
121,-24
122,50
123,50
124,-30
125,50
126,-50
127,-40
128,-50
129,50
130,44
131,-50
132,-16
133,30
134,42
135,-50
136,-50
137,-50
138,-50
139,50
140,-50
141,-50
142,48
143,50
144,-2
145,44
146,-50
147,-50
148,-50
149,-24
150,44
151,50
152,-50
153,44
154,50
155,42
156,50
157,-50
158,-38
159,44
160,-50
161,-50
162,-40
163,-50
164,50
165,42
166,-20
167,-2
168,-50
169,44
170,6
171,-12
172,48
173,48
174,44
175,-50
176,44
177,40
178,50
179,50
180,-44
181,42
182,50
183,50
184,-50
185,44
186,50
187,44
188,-50
189,44
190,-2
191,38
192,-50
193,-50
194,-50
195,50
196,-50
197,-50
198,50
199,42
200,44
201,-26
202,44
203,50
204,-50
205,-50
206,48
207,-50
208,-50
209,50
210,-50
211,-2
212,48
213,-50
214,48
215,-50
216,-38
217,44
218,-50
219,48
220,-50
221,46
222,50
223,50
224,44
225,48
226,-50
227,42
228,44
229,-50
230,-50
