,EEE
0,16
1,-10
2,8
3,-6
4,4
5,-22
6,-16
7,-8
8,-14
9,-2
10,-20
11,-16
12,-22
13,-14
14,-18
15,-24
16,-22
17,-20
18,-6
19,-22
20,-4
21,-22
22,16
23,-10
24,-24
25,-8
26,-10
27,0
28,-8
29,-14
30,-20
31,8
32,-14
33,-16
34,-24
35,-12
36,-14
37,-24
38,-6
39,-16
40,-12
41,-20
42,-12
43,-14
44,0
45,-20
46,-22
47,8
48,12
49,-16
50,-20
51,18
52,-22
53,-10
54,-2
55,-16
56,-16
57,-12
58,10
59,0
60,0
61,12
62,-8
63,-28
64,-14
65,-16
66,-20
67,-22
68,-20
69,-18
70,-14
71,-8
72,-32
73,-26
74,-22
75,4
76,8
77,-18
78,-6
79,-6
80,-10
81,-4
82,-8
83,-12
84,-24
85,2
86,-30
87,-18
88,-18
89,-16
90,10
91,-12
92,12
93,-20
94,-14
95,10
96,6
97,4
98,-2
99,-18
100,-4
101,4
102,-2
103,10
104,-16
105,-22
106,-6
107,-8
108,-34
109,-8
110,-8
111,0
112,-8
113,4
114,2
115,2
116,-6
117,-24
118,-12
119,-20
120,-8
121,-18
122,-24
123,-24
124,-20
125,-10
126,4
127,-8
128,-6
129,-16
130,-24
131,-14
132,-18
133,-20
134,-2
135,18
136,-16
137,-24
138,-10
139,-8
140,-30
141,2
142,18
143,4
144,-24
145,-24
146,-16
147,-16
148,-8
149,-8
150,-26
151,-18
152,-12
153,2
154,-2
155,-30
156,-24
157,-20
158,12
159,-16
160,0
161,-8
162,-14
163,-12
164,22
165,8
166,-6
167,-28
168,4
169,-28
170,-12
171,-10
172,-14
173,-16
174,-4
175,-30
176,16
177,-24
178,-4
179,4
180,-26
181,-16
182,-14
183,-12
184,-8
185,2
186,-14
187,-12
188,-12
189,0
190,8
191,-28
192,-10
193,-18
194,-12
195,-12
196,-22
197,-14
198,-2
199,-22
200,-18
201,0
202,-12
203,-26
204,6
205,8
206,4
207,-10
208,6
209,-4
210,-24
211,-26
212,-18
213,-8
214,-10
215,-10
216,18
217,-8
218,-8
219,-18
220,12
221,-20
222,6
223,-4
224,4
225,2
226,-2
227,-18
228,-10
229,-8
230,-2
231,-12
232,-24
233,-12
234,-20
235,-8
236,0
237,-14
238,-20
239,-18
240,-4
241,-20
242,-18
243,-10
244,-14
245,-34
246,-12
247,-18
248,0
249,6
250,-12
251,-22
252,-4
253,0
254,-24
255,2
256,2
257,-8
258,-10
259,-30
260,-18
261,-30
262,-20
263,-16
264,-18
265,-36
266,-14
267,-18
268,2
269,-2
270,-20
271,6
272,6
273,-14
274,-28
275,-2
276,-10
277,-26
278,14
279,-2
280,6
281,-10
282,-20
283,-4
284,-24
285,-34
286,-12
287,-12
288,-14
289,-12
290,-28
291,-22
292,-16
293,-16
294,-24
295,-14
296,8
297,-14
298,-16
299,-16
300,-4
301,-14
302,-22
303,20
304,0
305,-12
306,-16
307,-14
308,-16
309,-24
310,-14
311,-16
312,-32
313,6
314,-22
315,8
316,-4
317,-36
318,-16
319,-14
320,-14
321,0
322,-10
323,-16
324,-12
325,-32
326,2
327,-22
328,10
329,-14
330,-8
331,2
332,-20
333,-8
334,-24
335,-10
336,-18
337,-24
338,16
339,6
340,-22
341,-18
342,-10
343,-20
344,4
345,-20
346,-12
347,2
348,0
349,2
350,-22
351,-8
352,10
353,12
354,-20
355,-14
356,-2
357,-14
358,4
359,-30
360,-24
361,8
362,-8
363,-16
364,-22
365,0
366,-14
367,-12
368,-20
369,10
370,-20
371,-8
372,8
373,12
374,-20
375,-20
376,-20
377,-34
378,0
379,12
380,-10
381,-10
382,-12
383,4
384,-12
385,-24
386,-10
387,-18
388,-28
389,12
390,-8
391,-18
392,10
393,-18
394,-10
395,-8
396,-16
397,-12
398,-10
399,-8
400,-22
401,2
402,10
403,-4
404,-22
405,-2
406,-16
407,-2
408,2
409,12
410,-12
411,-12
412,12
413,-4
414,-22
415,-22
416,12
417,2
418,-14
419,-14
420,-10
421,6
422,16
423,-18
424,-16
425,-10
426,8
427,-8
428,0
429,-18
430,-6
431,-12
432,0
433,-28
434,-10
435,18
436,-8
437,-18
438,-12
439,-12
440,0
441,-4
442,-16
443,16
444,0
445,-4
446,16
447,-8
448,-6
449,-18
450,-26
451,-12
452,-8
453,-20
454,-6
455,22
456,-18
457,-12
458,-16
459,-28
460,-20
461,-30
462,-16
463,10
464,-8
465,-28
466,-2
467,2
468,10
469,-14
470,-18
471,-20
472,-16
473,-14
474,-22
475,-22
476,-20
477,-4
478,-4
479,4
480,-22
481,-8
482,-12
483,0
484,-10
485,-14
486,-14
487,-14
488,-4
489,-20
490,-16
491,-14
492,-12
493,-6
494,-10
495,-2
496,10
497,-12
498,-2
499,-16
