,S++
0,-18
1,18
2,-50
3,50
4,4
5,-4
6,-50
7,50
8,8
9,-8
10,50
11,-50
12,-34
13,34
14,-50
15,50
16,34
17,-34
18,34
19,-34
20,-50
21,50
22,-50
23,50
24,50
25,-50
26,4
27,-4
28,50
29,-50
30,-4
31,4
32,50
33,-50
34,50
35,-50
36,-4
37,4
38,-50
39,50
40,-26
41,26
42,-50
43,50
44,10
45,-10
46,50
47,-50
48,-4
49,4
50,14
51,-14
52,50
53,-50
54,44
55,-44
56,-32
57,32
58,6
59,-6
60,-50
61,50
62,-50
63,50
64,46
65,-46
66,-2
67,2
68,50
69,-50
70,36
71,-36
72,12
73,-12
74,-6
75,6
76,-22
77,22
78,-50
79,50
80,-50
81,50
82,-50
83,50
84,-50
85,50
86,-50
87,50
88,-16
89,16
90,50
91,-50
92,-50
93,50
94,-40
95,40
96,-50
97,50
98,40
99,-40
