,CoopPunishOpp,BullyOpp,BullyPunishOpp
0,44,50,50
1,-50,0,-2
2,-6,-4,-4
3,-44,-2,-8
4,-50,4,-20
5,28,-50,-50
6,50,42,42
7,50,50,46
8,-50,4,12
9,-34,-50,-50
10,50,44,44
11,50,38,42
12,-50,6,0
13,50,50,44
14,44,50,48
15,-50,0,4
16,-50,-50,-4
17,-36,-8,-6
18,44,44,44
19,-4,-6,16
20,-50,2,16
21,50,50,50
22,42,50,44
23,-50,-10,0
24,-50,4,0
25,44,44,36
26,42,44,50
27,-44,6,-50
28,-38,10,-4
29,44,50,48
30,50,42,40
31,-50,12,2
32,-30,-6,6
33,50,40,48
34,-50,-6,2
35,44,50,50
36,46,50,50
37,-38,-14,6
38,50,32,44
39,-50,4,2
40,-24,0,4
41,42,50,42
42,50,40,44
43,-50,-4,-10
44,50,42,48
45,-50,0,8
46,-50,-4,-6
47,-38,-50,8
48,44,48,44
49,40,50,44
50,50,50,42
51,44,40,50
52,40,50,44
53,-44,-50,6
54,-42,0,4
55,-50,-50,2
56,-50,-14,2
57,-50,2,0
58,-50,-12,4
59,44,46,50
60,-50,-18,-2
61,-40,-12,-4
62,50,48,48
63,-46,-6,-2
64,42,50,50
65,-8,12,14
66,44,48,50
67,-14,16,0
68,-50,-2,2
69,50,50,38
70,50,48,50
71,50,44,50
72,38,50,44
73,50,50,50
74,50,44,50
75,40,36,50
76,-38,6,8
77,-50,12,-50
78,-40,2,-50
79,-44,4,-10
80,44,42,50
81,50,50,50
82,50,50,46
83,-16,-50,-6
84,44,50,44
85,50,50,50
86,50,44,40
87,-48,0,-14
88,44,44,50
89,-50,6,-12
90,-34,-2,-2
91,2,2,-14
92,-50,-50,-16
93,50,50,42
94,-50,6,-12
95,-50,10,0
96,-50,-18,6
97,-50,0,2
98,-32,10,2
99,48,42,44
100,-50,2,-2
101,-50,2,-50
102,46,50,50
103,50,48,50
104,48,50,40
105,-50,14,-50
106,50,44,48
107,50,38,50
108,-38,0,2
109,-50,18,-6
110,44,50,42
111,48,50,42
112,50,46,50
113,-38,-50,-4
114,50,44,50
115,-50,-50,6
116,42,42,48
117,50,50,42
118,-50,6,2
119,50,42,50
120,50,50,50
121,-24,16,16
122,50,42,50
123,50,50,50
124,-30,-16,18
125,50,38,42
126,-50,-2,-4
127,-40,-50,6
128,-50,6,-10
129,50,42,44
130,44,42,50
131,-50,4,8
132,-16,2,2
133,30,46,40
134,42,44,50
135,-50,-2,-50
136,-50,4,-12
137,-50,-14,-2
138,-50,-14,12
139,50,50,50
140,-50,-50,14
141,-50,10,8
142,48,50,48
143,50,50,50
144,-2,18,-2
145,44,48,46
146,-50,20,-50
147,-50,18,2
148,-50,2,-12
149,-24,-50,0
150,44,48,48
151,50,50,46
152,-50,10,0
153,44,46,50
154,50,42,48
155,42,44,46
156,50,48,50
157,-50,-6,4
158,-38,18,-2
159,44,42,48
160,-50,2,-18
161,-50,12,-18
162,-40,2,2
163,-50,16,2
164,50,50,44
165,42,50,46
166,-20,10,4
167,-2,8,10
168,-50,2,16
169,44,34,50
170,6,16,-6
171,-12,-50,-50
172,48,50,50
173,48,50,50
174,44,44,42
175,-50,6,4
176,44,44,50
177,40,50,38
178,50,44,38
179,50,38,50
180,-44,2,14
181,42,44,44
182,50,50,48
183,50,40,40
184,-50,-4,0
185,44,42,44
186,50,42,50
187,44,44,50
188,-50,8,6
189,44,44,50
190,-2,-50,-2
191,38,44,36
192,-50,16,-10
193,-50,-50,-8
194,-50,8,0
195,50,50,44
196,-50,-50,-50
197,-50,26,-2
198,50,44,44
199,42,38,50
200,44,40,50
201,-26,-14,-2
202,44,44,50
203,50,50,38
204,-50,-4,-2
205,-50,-50,6
206,48,50,42
207,-50,4,8
208,-50,4,2
209,50,42,50
210,-50,6,4
211,-2,-4,12
212,48,42,48
213,-50,-6,-4
214,48,44,50
215,-50,8,-50
216,-38,-4,0
217,44,48,44
218,-50,12,2
219,48,32,38
220,-50,0,8
221,46,48,42
222,50,44,44
223,50,50,42
224,44,50,50
225,48,44,50
226,-50,8,-14
227,42,42,50
228,44,50,44
229,-50,-12,2
230,-50,-10,10
231,-50,14,0
232,46,48,42
233,-50,2,-4
234,48,38,50
235,50,44,50
236,44,50,38
237,50,50,44
238,42,48,50
239,44,50,48
240,50,50,40
241,-50,2,2
242,-4,-4,-18
243,-50,-6,8
244,50,50,50
245,-2,8,4
246,-14,16,10
247,-50,-50,6
248,-50,2,-2
249,44,40,44
250,50,34,44
251,-22,-12,-2
252,50,44,40
253,50,50,50
254,-16,-4,12
255,44,50,50
256,-42,2,2
257,-50,18,6
258,-34,10,-14
259,50,44,50
260,-50,10,-50
261,50,38,50
262,-20,-50,10
263,50,50,50
264,-50,-2,-50
265,50,50,44
266,-44,-8,12
267,-44,12,14
268,50,50,44
269,50,50,50
270,-50,-50,6
271,-2,10,-8
272,-50,4,-6
273,-26,2,-6
274,50,50,50
275,-50,-8,18
276,40,46,24
277,-50,2,-50
278,-50,-14,6
279,50,48,50
280,50,48,36
281,44,50,42
282,-50,-22,-6
283,-38,-50,6
284,40,46,44
285,-20,-18,-50
286,50,44,50
287,50,44,50
288,38,48,42
289,-50,6,4
290,50,50,44
291,42,50,50
292,-50,2,0
293,-26,-50,-4
294,-30,-50,-2
295,50,42,50
296,-50,6,-2
297,-28,4,-50
298,-10,-6,-8
299,-50,0,4
300,50,50,50
301,44,50,24
302,48,42,50
303,44,50,50
304,36,42,44
305,50,36,44
306,-38,4,6
307,50,44,44
308,50,50,50
309,-50,2,2
310,-50,10,-2
311,44,50,46
312,46,50,44
313,50,42,42
314,50,50,50
315,-50,2,-4
316,10,-12,4
317,-50,30,4
318,-50,6,-2
319,-50,-50,6
320,46,44,50
321,48,44,44
322,-50,4,2
323,-50,-50,14
324,-50,8,0
325,46,50,50
326,50,50,50
327,-50,-50,0
328,-50,-6,-4
