,Algaater
0,-4
1,-6
2,-4
3,50
4,4
5,50
6,-2
7,50
8,50
9,-2
10,-6
11,-8
12,-6
13,-4
14,50
15,-10
16,50
17,4
18,-6
19,50
20,-6
21,-6
22,50
23,50
24,2
25,50
26,0
27,50
28,-6
29,-6
30,50
31,-6
32,-4
33,50
34,-6
35,2
36,50
37,0
38,-8
39,50
40,-4
41,-4
42,50
43,50
44,-10
45,-10
46,-6
47,0
48,50
49,-6
50,-4
51,50
52,-6
53,2
54,50
55,-6
56,-4
57,-10
58,0
59,50
60,-6
61,-4
62,-4
63,2
64,50
65,50
66,0
67,-4
68,-2
69,50
70,-8
71,50
72,-6
73,50
74,-6
75,0
76,50
77,50
78,50
79,50
80,50
81,-4
82,50
83,50
84,50
85,50
86,50
87,50
88,-10
89,0
90,50
91,50
92,-6
93,50
94,-6
95,-6
96,-4
97,-6
98,50
99,50
100,50
101,50
102,50
103,-2
104,0
105,4
106,-6
107,-12
108,-4
109,-8
110,4
111,50
112,50
113,50
114,-12
115,0
116,-2
117,50
118,50
119,50
120,-4
121,-8
122,50
123,-4
124,50
125,50
126,50
127,-6
128,12
129,-4
130,50
131,-4
132,-10
133,2
134,-6
135,-8
136,-4
137,50
138,4
139,-4
140,50
141,-8
142,50
143,-10
144,-2
145,-4
146,50
147,50
148,0
149,-6
150,-6
151,-6
152,6
153,2
154,50
155,50
156,50
157,50
158,-6
159,50
160,50
161,-6
162,50
163,50
164,-6
165,-12
166,-4
167,50
168,-4
169,50
170,50
171,50
172,50
173,-2
174,-4
175,-4
176,50
177,-8
178,-6
179,-6
180,-2
181,50
182,-4
183,50
184,-4
185,2
186,-4
187,50
188,-6
189,-6
190,50
191,0
192,50
193,50
194,-2
195,-4
196,4
197,50
198,4
199,-4
200,-8
201,50
202,50
203,50
204,-2
205,-6
206,50
207,50
208,50
209,-4
210,50
211,-6
212,50
213,50
214,-10
215,-4
216,50
217,-8
218,2
219,50
220,50
221,-8
222,-2
223,-6
224,50
225,0
226,2
227,-6
228,-4
229,-6
230,-6
