,CoopPunishOpp,BullyOpp,BullyPunishOpp,Random,GreedyNeg,CoopGreed,RoundNum
0,-3.0,45.75,35.75,3.25,-1.5,19.5,7.75
1,5.5,24.75,38.25,1.5,3.5,14.75,0.25
2,21.25,6.0,54.5,8.25,27.5,44.0,5.5
3,22.75,48.0,25.5,-1.75,42.5,24.75,33.75
4,4.5,47.5,43.5,-0.25,14.75,42.75,7.75
5,-22.25,49.75,48.5,-4.75,1.0,26.0,7.0
6,-10.0,41.0,49.75,-6.0,-4.0,-2.0,-2.75
7,55.75,46.25,53.25,5.0,34.0,39.25,18.0
8,50.75,32.0,38.25,-1.75,48.75,34.75,5.75
9,-10.5,46.5,49.25,-11.75,5.5,10.5,18.25
