,CoopPunishOpp,BullyOpp,BullyPunishOpp,Random,GreedyNeg,CoopGreed,RoundNum
0,-18.0,46.25,48.25,5.75,27.75,2.0,5.25
1,46.5,47.75,54.0,1.75,48.75,47.25,47.5
2,50.5,49.25,46.25,11.0,53.0,46.0,51.75
3,-6.5,48.75,51.25,-10.5,4.75,18.25,12.75
4,46.0,51.5,51.25,-0.25,51.25,46.75,49.75
5,48.5,50.5,43.0,10.5,55.25,49.25,47.75
6,-12.25,51.75,51.25,21.0,3.0,2.5,13.5
7,48.5,51.75,49.0,9.75,51.75,46.5,50.75
8,-14.75,47.0,46.0,-2.25,-1.25,-8.5,8.25
9,-14.75,49.0,51.25,3.75,-0.25,9.0,14.75
