,BBL
0,-28.75
1,-37.75
2,50.5
3,54.75
4,-14.0
5,-38.0
6,-28.25
7,-38.25
8,50.5
9,54.75
10,53.75
11,49.75
12,45.5
13,50.5
14,50.25
15,41.75
16,52.75
17,49.25
18,52.25
19,48.25
20,54.75
21,51.75
22,49.0
23,47.5
24,48.75
25,47.25
26,53.5
27,53.75
28,50.25
29,52.25
30,1.0
31,-0.25
32,3.75
33,-2.5
34,3.0
35,4.5
36,-1.5
37,-15.0
38,8.25
39,3.0
40,6.75
41,-0.5
42,49.75
43,54.5
44,-2.75
45,4.75
46,0.0
47,10.0
48,48.0
49,47.75
50,-12.0
51,0.0
52,54.0
53,53.0
54,-7.5
55,-7.75
56,-41.75
57,-21.5
58,52.0
59,51.0
60,1.75
61,3.0
62,50.25
63,48.5
64,3.25
65,1.5
66,-0.75
67,2.75
68,49.5
69,51.0
