,EEE
0,-3.0
1,5.5
2,21.25
3,22.75
4,4.5
5,-22.25
6,-10.0
7,55.75
8,50.75
9,-10.5
10,45.75
11,24.75
12,6.0
13,48.0
14,47.5
15,49.75
16,41.0
17,46.25
18,32.0
19,46.5
20,35.75
21,38.25
22,54.5
23,25.5
24,43.5
25,48.5
26,49.75
27,53.25
28,38.25
29,49.25
30,3.25
31,1.5
32,8.25
33,-1.75
34,-0.25
35,-4.75
36,-6.0
37,5.0
38,-1.75
39,-11.75
40,-1.5
41,3.5
42,27.5
43,42.5
44,14.75
45,1.0
46,-4.0
47,34.0
48,48.75
49,5.5
50,19.5
51,14.75
52,44.0
53,24.75
54,42.75
55,26.0
56,-2.0
57,39.25
58,34.75
59,10.5
60,7.75
61,0.25
62,5.5
63,33.75
64,7.75
65,7.0
66,-2.75
67,18.0
68,5.75
69,18.25
