,Unnamed: 0,Rewards,Agent
0,0,-18.0,Algaater
1,1,46.5,Algaater
2,2,50.5,Algaater
3,3,-6.5,Algaater
4,4,46.0,Algaater
5,5,48.5,Algaater
6,6,-12.25,Algaater
7,7,48.5,Algaater
8,8,-14.75,Algaater
9,9,-14.75,Algaater
10,10,46.25,Algaater
11,11,47.75,Algaater
12,12,49.25,Algaater
13,13,48.75,Algaater
14,14,51.5,Algaater
15,15,50.5,Algaater
16,16,51.75,Algaater
17,17,51.75,Algaater
18,18,47.0,Algaater
19,19,49.0,Algaater
20,20,48.25,Algaater
21,21,54.0,Algaater
22,22,46.25,Algaater
23,23,51.25,Algaater
24,24,51.25,Algaater
25,25,43.0,Algaater
26,26,51.25,Algaater
27,27,49.0,Algaater
28,28,46.0,Algaater
29,29,51.25,Algaater
30,30,5.75,Algaater
31,31,1.75,Algaater
32,32,11.0,Algaater
33,33,-10.5,Algaater
34,34,-0.25,Algaater
35,35,10.5,Algaater
36,36,21.0,Algaater
37,37,9.75,Algaater
38,38,-2.25,Algaater
39,39,3.75,Algaater
40,40,27.75,Algaater
41,41,48.75,Algaater
42,42,53.0,Algaater
43,43,4.75,Algaater
44,44,51.25,Algaater
45,45,55.25,Algaater
46,46,3.0,Algaater
47,47,51.75,Algaater
48,48,-1.25,Algaater
49,49,-0.25,Algaater
50,50,2.0,Algaater
51,51,47.25,Algaater
52,52,46.0,Algaater
53,53,18.25,Algaater
54,54,46.75,Algaater
55,55,49.25,Algaater
56,56,2.5,Algaater
57,57,46.5,Algaater
58,58,-8.5,Algaater
59,59,9.0,Algaater
60,60,5.25,Algaater
61,61,47.5,Algaater
62,62,51.75,Algaater
63,63,12.75,Algaater
64,64,49.75,Algaater
65,65,47.75,Algaater
66,66,13.5,Algaater
67,67,50.75,Algaater
68,68,8.25,Algaater
69,69,14.75,Algaater
70,0,-28.75,BBL
71,1,-37.75,BBL
72,2,50.5,BBL
73,3,54.75,BBL
74,4,-14.0,BBL
75,5,-38.0,BBL
76,6,-28.25,BBL
77,7,-38.25,BBL
78,8,50.5,BBL
79,9,54.75,BBL
80,10,53.75,BBL
81,11,49.75,BBL
82,12,45.5,BBL
83,13,50.5,BBL
84,14,50.25,BBL
85,15,41.75,BBL
86,16,52.75,BBL
87,17,49.25,BBL
88,18,52.25,BBL
89,19,48.25,BBL
90,20,54.75,BBL
91,21,51.75,BBL
92,22,49.0,BBL
93,23,47.5,BBL
94,24,48.75,BBL
95,25,47.25,BBL
96,26,53.5,BBL
97,27,53.75,BBL
98,28,50.25,BBL
99,29,52.25,BBL
100,30,1.0,BBL
101,31,-0.25,BBL
