,S++
0,-26.0
1,-20.75
2,-6.0
3,-17.75
4,8.25
5,-9.5
6,-15.75
7,36.75
8,-21.25
9,-9.5
10,10.75
11,15.0
12,34.5
13,40.75
14,16.25
15,15.5
16,30.5
17,-48.75
18,-47.5
19,31.0
20,18.0
21,33.0
22,27.5
23,-28.75
24,11.0
25,47.25
26,-29.0
27,41.25
28,-29.25
29,4.0
30,-16.75
31,4.25
32,11.5
33,-2.75
34,-10.25
35,3.5
36,0.25
37,-3.75
38,10.75
39,-3.5
40,-4.0
41,-5.75
42,2.75
43,4.5
44,14.75
45,10.75
46,-33.75
47,21.75
48,-49.75
49,-26.0
50,6.75
51,-5.5
52,-13.25
53,-11.25
54,-7.25
55,-15.25
56,6.0
57,-48.0
58,2.75
59,-15.25
60,0.5
61,-41.25
62,13.0
63,1.0
64,-33.5
65,-8.75
66,-15.0
67,30.75
68,-13.75
69,24.25
