,Algaater
0,-18.0
1,46.5
2,50.5
3,-6.5
4,46.0
5,48.5
6,-12.25
7,48.5
8,-14.75
9,-14.75
10,46.25
11,47.75
12,49.25
13,48.75
14,51.5
15,50.5
16,51.75
17,51.75
18,47.0
19,49.0
20,48.25
21,54.0
22,46.25
23,51.25
24,51.25
25,43.0
26,51.25
27,49.0
28,46.0
29,51.25
30,5.75
31,1.75
32,11.0
33,-10.5
34,-0.25
35,10.5
36,21.0
37,9.75
38,-2.25
39,3.75
40,27.75
41,48.75
42,53.0
43,4.75
44,51.25
45,55.25
46,3.0
47,51.75
48,-1.25
49,-0.25
50,2.0
51,47.25
52,46.0
53,18.25
54,46.75
55,49.25
56,2.5
57,46.5
58,-8.5
59,9.0
60,5.25
61,47.5
62,51.75
63,12.75
64,49.75
65,47.75
66,13.5
67,50.75
68,8.25
69,14.75
