,CoopPunishOpp,BullyOpp,BullyPunishOpp,Random,GreedyNeg,CoopGreed,RoundNum
0,-28.75,53.75,54.75,1.0,6.75,-12.0,1.75
1,-37.75,49.75,51.75,-0.25,-0.5,0.0,3.0
2,50.5,45.5,49.0,3.75,49.75,54.0,50.25
3,54.75,50.5,47.5,-2.5,54.5,53.0,48.5
4,-14.0,50.25,48.75,3.0,-2.75,-7.5,3.25
5,-38.0,41.75,47.25,4.5,4.75,-7.75,1.5
6,-28.25,52.75,53.5,-1.5,0.0,-41.75,-0.75
7,-38.25,49.25,53.75,-15.0,10.0,-21.5,2.75
8,50.5,52.25,50.25,8.25,48.0,52.0,49.5
9,54.75,48.25,52.25,3.0,47.75,51.0,51.0
