,EEE
0,15.5
1,-58.0
2,-108.0
3,-23.5
4,-65.0
5,-39.0
6,-64.5
7,-28.5
8,-46.5
9,16.0
10,-112.5
11,-137.5
12,-147.0
13,-150.0
14,-122.0
15,-145.5
16,-127.0
17,-147.5
18,-142.5
19,-159.5
20,-130.5
21,-115.5
22,-128.0
23,-125.0
24,-141.5
25,-137.0
26,-105.5
27,-110.5
28,-121.5
29,-146.5
30,-19.5
31,-25.0
32,-54.5
33,-65.5
34,-66.5
35,-9.5
36,-49.5
37,-16.0
38,-26.5
39,-33.5
40,-76.5
41,-76.5
42,-88.5
43,-67.0
44,-78.5
45,-71.0
46,-68.0
47,-72.5
48,-66.0
49,-82.5
50,0.5
51,-47.5
52,-50.0
53,-30.0
54,-71.0
55,-37.0
56,-65.0
57,-26.5
58,-63.0
59,-27.5
60,-72.5
61,-64.0
62,-100.0
63,-78.5
64,-104.5
65,-76.5
66,-62.0
67,-94.0
68,-74.5
69,-49.0
