,CoopPunishOpp,BullyOpp,BullyPunishOpp,Random,GreedyNeg,CoopGreed,RoundNum
0,27.0,-114.5,-125.5,-46.5,-115.0,-13.5,-58.5
1,-4.5,-140.0,-97.5,-13.5,-109.5,-23.5,-53.0
2,7.0,-143.0,-139.0,-9.5,-87.0,-18.0,-52.0
3,-3.5,-97.0,-111.0,-12.5,-103.0,-6.5,-53.0
4,16.0,-132.0,-106.5,-8.0,-109.5,4.5,-82.0
5,24.0,-133.5,-126.5,-29.5,-95.5,-38.5,-45.0
6,-63.5,-101.5,-127.5,-33.0,-99.0,7.0,-57.0
7,10.0,-111.0,-111.0,1.5,-123.5,12.0,-59.0
8,2.0,-111.0,-110.5,-41.0,-113.0,-29.0,-80.5
9,-62.0,-107.5,-111.0,-21.0,-107.5,1.5,-88.0
