,CoopPunishOpp,BullyOpp,BullyPunishOpp,Random,GreedyNeg,CoopGreed,RoundNum
0,-234.5,-252.0,-243.0,-16.0,-115.0,-70.0,-111.5
1,-226.0,-248.5,-223.0,-55.5,-92.5,-96.0,-151.0
2,-253.0,-241.0,-248.0,-69.5,-124.0,-102.0,-145.0
3,-243.0,-252.5,-247.5,-30.0,-75.5,-68.0,-84.0
4,-140.0,-227.5,-243.5,-32.0,-111.0,-73.0,-69.0
5,-221.5,-241.5,-236.0,-38.0,-113.0,-92.0,-119.0
6,-229.5,-248.0,-240.0,-70.5,-78.0,-53.0,-126.0
7,-227.0,-254.0,-251.5,-59.0,-92.0,-83.0,-72.5
8,-252.0,-241.5,-234.5,-78.0,-83.5,-68.5,-119.0
9,-255.0,-243.5,-238.0,-7.0,-91.5,-59.0,-146.5
