,CoopPunishOpp,BullyOpp,BullyPunishOpp,Random,GreedyNeg,CoopGreed,RoundNum
0,15.5,-112.5,-130.5,-19.5,-76.5,0.5,-72.5
1,-58.0,-137.5,-115.5,-25.0,-76.5,-47.5,-64.0
2,-108.0,-147.0,-128.0,-54.5,-88.5,-50.0,-100.0
3,-23.5,-150.0,-125.0,-65.5,-67.0,-30.0,-78.5
4,-65.0,-122.0,-141.5,-66.5,-78.5,-71.0,-104.5
5,-39.0,-145.5,-137.0,-9.5,-71.0,-37.0,-76.5
6,-64.5,-127.0,-105.5,-49.5,-68.0,-65.0,-62.0
7,-28.5,-147.5,-110.5,-16.0,-72.5,-26.5,-94.0
8,-46.5,-142.5,-121.5,-26.5,-66.0,-63.0,-74.5
9,16.0,-159.5,-146.5,-33.5,-82.5,-27.5,-49.0
