,S++
0,-234.5
1,-226.0
2,-253.0
3,-243.0
4,-140.0
5,-221.5
6,-229.5
7,-227.0
8,-252.0
9,-255.0
10,-252.0
11,-248.5
12,-241.0
13,-252.5
14,-227.5
15,-241.5
16,-248.0
17,-254.0
18,-241.5
19,-243.5
20,-243.0
21,-223.0
22,-248.0
23,-247.5
24,-243.5
25,-236.0
26,-240.0
27,-251.5
28,-234.5
29,-238.0
30,-16.0
31,-55.5
32,-69.5
33,-30.0
34,-32.0
35,-38.0
36,-70.5
37,-59.0
38,-78.0
39,-7.0
40,-115.0
41,-92.5
42,-124.0
43,-75.5
44,-111.0
45,-113.0
46,-78.0
47,-92.0
48,-83.5
49,-91.5
50,-70.0
51,-96.0
52,-102.0
53,-68.0
54,-73.0
55,-92.0
56,-53.0
57,-83.0
58,-68.5
59,-59.0
60,-111.5
61,-151.0
62,-145.0
63,-84.0
64,-69.0
65,-119.0
66,-126.0
67,-72.5
68,-119.0
69,-146.5
