,CoopPunishOpp,BullyOpp,BullyPunishOpp,Random,GreedyNeg,CoopGreed,RoundNum
0,-94.0,-54.0,-62.0,-30.5,-48.0,-77.0,-77.0
1,-108.0,-60.5,-56.5,-18.0,-52.5,-37.0,-82.5
2,-92.0,-66.5,-46.0,28.5,-46.5,-85.0,-81.5
3,-102.5,-46.5,-53.5,-51.5,-57.0,-71.5,-84.0
4,-105.0,-56.0,-55.5,-33.5,-47.0,-67.0,-86.5
5,-85.0,-58.0,-53.5,-6.5,-57.5,-75.0,-77.0
6,-93.5,-54.5,-52.5,-3.0,-56.5,-60.5,-87.5
7,-92.5,-56.0,-57.5,-76.0,-53.5,-74.0,-83.0
8,-99.0,-50.0,-58.5,-55.0,-54.0,-67.5,-81.5
9,-100.0,-65.5,-53.0,-66.0,-58.5,-43.0,-87.0
