,CoopPunishOpp,BullyOpp,BullyPunishOpp,Random,GreedyNeg,CoopGreed,RoundNum
0,93,-84,-79,28,50,89,77
1,91,-107,-91,34,71,167,82
2,92,-92,-84,60,108,162,88
3,106,-91,-103,88,212,178,75
4,100,-79,-91,32,45,123,80
5,99,-81,-77,129,34,187,65
6,114,-72,-101,34,144,102,77
7,120,-105,-105,22,75,95,78
8,88,-97,-91,44,62,122,84
9,82,-87,-100,34,44,121,71
