,EEE
0,53.275
1,29.35
2,25.4
3,8.5625
4,18.8375
5,35.1375
6,-9.1875
7,2.3
8,41.4875
9,40.8875
10,31.8125
11,34.6625
12,21.15
13,-7.4
14,-6.0375
15,19.9625
16,37.75
17,21.65
18,29.1375
19,18.8125
20,-3.425
21,36.0625
22,22.625
23,6.875
24,20.3
25,4.425
26,23.7
27,20.8375
28,32.7
29,7.575
30,-2.8125
31,-3.05
32,-3.3
33,5.2125
34,20.0375
35,-3.0375
36,-4.3875
37,63.6125
38,43.8125
39,71.6
40,45.7875
41,11.8125
42,20.1875
43,26.1125
44,43.7125
45,31.375
46,26.825
47,33.5375
48,34.8125
49,71.0125
50,45.8
51,23.9375
52,9.0125
53,68.1375
54,41.95
55,17.5
56,39.075
57,65.2875
58,64.025
59,31.8125
60,10.6875
61,8.1875
62,3.3625
63,10.8125
64,3.0875
65,5.7625
66,-13.05
67,14.1375
68,12.9375
69,11.075
70,1.7625
71,24.0375
72,7.7625
73,22.65
74,7.9625
75,-1.9625
76,29.0625
77,30.8125
78,23.0
79,25.25
