,CoopPunishOpp,BullyOpp,AllColor,AllShapePunish,CoopGreedy,Random,BullyPunishOpp,GreedyNeg
0,23.8875,33.825,25.5,98.9,54.275,76.0,16.6875,33.475
1,18.55,24.425,-8.1375,-9.725,26.025,36.425,25.625,23.575
2,26.7875,50.425,29.05,100.8,54.25,58.5375,22.3375,40.35
3,17.0375,25.275,-8.2625,-10.05,17.2375,48.0125,22.375,23.1
4,30.5125,55.95,17.375,100.5,49.275,69.6125,16.075,34.625
5,31.0375,42.1,23.275,100.3,56.7125,63.5375,2.2625,45.35
6,17.6875,24.025,-8.0375,-9.475,27.6375,40.0875,25.925,22.75
7,17.3625,24.85,-8.5125,-9.725,26.3125,39.65,27.925,24.0125
8,30.775,37.2,22.65,99.6,45.6125,64.0125,10.925,45.85
9,28.0625,53.4,21.925,100.3,50.75,63.925,6.05,38.15
