,CoopPunishOpp,BullyOpp,AllColor,AllShapePunish,CoopGreedy,Random,BullyPunishOpp,GreedyNeg
0,49.775,16.5625,17.6875,93.2125,89.375,33.1625,3.6375,12.325
1,36.45,13.925,23.675,-4.3625,34.1625,36.45,12.3125,25.7125
2,52.5,15.95,16.8375,-5.2125,26.775,24.9375,10.1875,17.025
3,45.025,24.2125,15.0375,-4.9125,28.1625,25.675,-1.8875,18.7375
4,43.1625,14.7125,15.15,-5.4125,41.475,26.3375,10.0625,18.75
5,44.175,18.05,19.575,-5.5,35.025,19.8,9.1625,17.7
6,50.7125,22.8125,23.7875,-5.3875,22.625,25.675,9.65,24.2375
7,53.825,20.775,10.1625,46.4125,62.25,64.25,2.075,19.3
8,38.6875,16.9625,21.0625,-4.8875,37.725,22.7,13.5125,20.425
9,36.925,19.7,19.8375,-4.75,33.025,37.725,10.8625,18.025
