,BBL
0,88
1,90
2,96
3,90
4,90
5,96
6,92
7,94
8,90
9,92
10,92
11,96
12,94
13,92
14,98
15,98
16,94
17,94
18,90
19,82
20,94
21,92
22,90
23,96
24,90
25,96
26,92
27,86
28,92
29,92
30,88
31,94
32,92
33,78
34,90
35,78
36,94
37,82
38,94
39,92
40,90
41,88
42,92
43,74
44,94
45,94
46,92
47,96
48,88
49,86
50,94
51,94
52,92
53,96
54,92
55,92
56,94
57,86
58,90
59,92
60,98
61,92
62,90
63,94
64,90
65,96
66,98
67,90
68,94
69,94
70,94
71,74
72,84
73,94
74,94
75,90
76,92
77,96
78,68
79,96
80,96
81,94
82,92
83,90
84,78
85,96
86,80
87,70
88,94
89,72
90,70
91,86
92,92
93,94
94,94
95,90
96,94
97,92
98,76
99,88
100,94
101,92
102,94
103,96
104,90
105,90
106,92
107,90
108,96
109,70
110,92
111,92
112,92
113,94
114,96
115,94
116,94
117,80
118,96
119,92
120,68
121,88
122,94
123,68
124,96
125,100
126,92
127,94
128,86
129,86
130,76
131,82
132,88
133,94
134,92
135,88
136,94
137,94
138,92
139,94
140,90
141,92
142,94
143,96
144,88
145,88
146,88
147,92
148,90
149,90
150,94
151,96
152,76
153,90
154,96
155,90
156,92
157,94
158,88
159,92
160,96
161,96
162,84
163,72
164,90
165,96
166,96
167,74
168,96
169,78
170,92
171,90
172,92
173,92
174,94
175,84
176,92
177,94
178,92
179,94
180,94
181,92
182,98
183,88
184,80
185,96
186,66
187,98
188,98
189,94
190,98
191,96
192,70
193,96
194,84
195,92
196,90
197,96
198,94
199,94
200,96
201,96
202,90
203,70
204,78
205,92
206,92
207,92
208,88
209,88
210,98
211,98
212,88
213,92
214,88
215,96
216,94
217,94
218,94
219,92
220,86
221,92
222,88
223,96
224,94
225,94
226,92
227,96
228,90
229,94
230,92
231,86
232,86
233,92
234,96
235,96
236,98
237,92
238,92
239,90
240,94
241,90
242,74
243,86
244,92
245,88
246,98
247,100
248,96
249,96
250,96
251,88
252,94
253,92
254,88
255,98
256,94
257,96
258,94
259,90
260,94
261,86
262,92
263,98
264,98
265,76
266,66
267,72
268,76
269,94
270,90
271,84
272,92
273,96
274,76
275,90
276,82
277,90
278,92
279,86
280,96
281,96
282,88
283,94
284,96
285,92
286,90
287,90
288,92
289,80
290,72
291,76
292,88
293,98
294,90
295,90
296,88
297,96
298,98
299,90
300,94
301,94
302,72
303,90
304,96
305,94
306,96
307,96
308,92
309,92
310,94
311,94
312,98
313,94
314,90
315,98
316,96
317,88
318,90
319,88
320,94
321,94
322,88
323,94
324,98
325,64
326,92
327,76
328,84
329,96
330,98
331,90
332,94
333,94
334,92
335,98
336,92
337,100
338,66
339,94
340,90
341,92
342,86
343,92
344,92
345,86
346,90
347,98
348,96
349,82
350,90
351,86
352,88
353,92
354,96
355,72
356,92
357,92
358,86
359,100
360,96
361,94
362,86
363,80
364,94
365,94
