,BBL
0,78
1,80
2,72
3,66
4,78
5,70
6,90
7,72
8,68
9,98
10,86
11,98
12,86
13,80
14,76
15,88
16,70
17,66
18,80
19,64
20,64
21,72
22,64
23,68
24,72
25,70
26,64
27,96
28,78
29,72
30,62
31,78
32,76
33,68
34,80
35,82
36,68
37,70
38,86
39,76
40,64
41,84
42,64
43,66
44,78
45,78
46,78
47,74
48,78
49,82
50,86
51,76
52,74
53,70
54,84
55,90
56,72
57,82
58,84
59,84
60,78
61,72
62,82
63,80
64,76
65,70
66,90
67,80
68,86
69,88
70,76
71,62
72,76
73,60
74,76
75,68
76,68
77,72
78,64
79,74
80,84
81,74
82,70
83,76
84,92
85,98
86,66
87,62
88,68
89,80
90,86
91,76
92,76
93,74
94,70
95,82
96,64
97,70
98,72
99,84
100,66
101,70
102,86
103,88
104,82
105,78
106,58
107,86
108,72
109,74
110,82
111,78
112,68
113,96
114,68
115,74
116,92
117,82
118,76
119,96
120,66
121,76
122,98
123,70
124,72
125,90
126,78
127,66
128,62
129,78
130,74
131,78
132,68
133,78
134,84
135,70
136,86
137,84
138,86
139,80
140,88
141,68
142,82
143,90
144,70
145,70
146,72
147,78
148,76
149,82
150,74
151,76
152,68
153,96
154,84
155,68
156,82
157,68
158,72
159,84
160,68
161,80
162,76
163,72
164,70
165,80
166,74
167,94
168,72
169,88
170,80
171,76
172,84
173,82
174,58
175,86
176,84
177,62
178,66
179,96
180,76
181,70
182,64
183,84
184,86
185,78
186,78
187,98
188,82
189,84
190,96
191,74
192,82
193,72
194,82
195,72
196,76
197,80
198,80
199,92
200,68
201,90
202,82
203,94
204,74
205,90
206,68
207,74
208,66
209,74
210,66
211,74
212,84
213,72
214,84
215,72
216,88
217,74
218,72
219,68
220,90
221,94
222,74
223,78
224,80
225,86
226,70
227,76
228,76
229,74
230,70
231,78
232,76
233,72
234,88
235,76
236,84
237,96
238,70
239,94
240,68
241,76
242,82
243,84
244,80
245,64
246,72
247,70
248,68
249,70
250,64
251,64
252,76
253,76
254,76
255,70
256,82
257,78
258,66
259,70
260,82
261,70
262,84
263,86
264,84
265,74
266,88
267,70
268,76
269,78
270,78
271,72
272,78
273,64
274,74
275,70
276,80
277,78
278,90
279,84
280,76
281,70
282,82
283,80
284,64
285,78
286,72
287,74
288,80
289,86
290,86
291,68
292,78
293,60
294,100
295,88
296,70
297,68
298,68
299,84
300,78
301,72
302,84
303,82
304,80
305,62
306,76
307,56
308,66
309,96
310,72
311,78
312,94
313,74
314,74
315,72
316,72
317,96
318,76
319,70
320,82
321,82
322,98
323,72
324,68
325,76
326,74
327,64
328,78
329,80
330,82
331,86
332,82
333,86
334,74
335,78
336,80
337,72
338,84
339,72
340,74
341,82
342,76
343,66
344,74
345,76
346,72
347,58
348,66
349,70
350,78
351,76
352,84
353,60
354,84
355,90
356,86
357,72
358,66
359,70
360,78
361,66
362,80
363,70
364,76
365,68
366,62
367,78
368,70
369,68
370,72
371,94
372,78
373,76
374,86
375,74
376,86
377,84
378,86
379,62
380,78
381,78
382,70
383,90
384,88
385,66
386,70
387,80
388,74
389,96
390,86
391,68
392,74
393,60
394,76
395,86
396,96
397,74
398,80
399,78
400,76
401,72
402,76
403,70
404,74
405,72
406,90
407,90
408,86
409,70
410,82
411,72
412,80
413,82
414,68
415,76
416,74
417,80
418,74
419,80
420,76
421,72
422,78
423,76
424,76
425,78
426,74
427,68
428,98
429,86
430,86
431,66
432,68
433,74
434,80
435,72
436,66
437,78
438,80
439,76
440,94
441,80
442,62
443,68
444,92
445,72
446,76
447,84
448,80
449,70
450,88
451,66
452,64
453,72
454,88
455,90
456,76
457,72
458,80
459,68
460,82
461,84
462,74
463,86
464,68
465,68
466,72
467,74
468,88
469,82
470,74
471,86
472,76
473,74
474,74
475,62
476,84
477,72
478,80
479,76
480,72
481,74
482,70
483,70
484,82
485,86
486,78
487,82
488,72
489,78
490,72
491,66
492,84
493,74
494,66
495,70
496,92
497,78
498,78
499,86
