,S++
0,98
1,100
2,96
3,98
4,80
5,98
6,98
7,100
8,98
9,100
10,88
11,98
12,100
13,96
14,98
15,94
16,96
17,100
18,98
19,100
20,100
21,74
22,86
23,98
24,94
25,98
26,98
27,100
28,98
29,94
30,92
31,98
32,96
33,92
34,98
35,92
36,90
37,98
38,98
39,98
40,98
41,96
42,94
43,98
44,100
45,94
46,98
47,100
48,96
49,98
50,100
51,100
52,100
53,96
54,100
55,96
56,98
57,78
58,100
59,98
60,94
61,94
62,94
63,96
64,96
65,98
66,86
67,98
68,100
69,98
70,100
71,98
72,98
73,98
74,88
75,98
76,94
77,98
78,98
79,100
80,100
81,98
82,98
83,98
84,100
85,98
86,98
87,98
88,100
89,98
90,98
91,98
92,90
93,94
94,100
95,66
96,98
97,100
98,96
99,98
100,94
101,98
102,98
103,100
104,80
105,98
106,94
107,98
108,96
109,96
110,92
111,100
112,98
113,96
114,98
115,90
116,92
117,98
118,100
119,96
120,98
121,96
122,96
123,54
124,86
125,100
126,96
127,96
128,100
129,96
130,98
131,98
132,98
133,98
134,78
135,98
136,96
137,94
138,98
139,100
140,100
141,96
142,98
143,94
144,98
145,90
146,98
147,86
148,100
149,98
150,100
151,98
152,98
153,94
154,98
155,94
156,100
157,100
158,98
159,100
160,98
161,96
162,98
163,100
164,98
165,94
166,100
167,96
168,98
169,100
170,100
171,100
172,100
173,90
174,98
175,98
176,98
177,92
178,96
179,88
180,82
181,100
182,98
183,92
184,100
185,94
186,98
187,96
188,96
189,98
190,98
191,76
192,100
193,98
194,98
195,98
196,100
197,94
198,100
199,92
200,98
201,100
202,98
203,98
204,100
205,96
206,96
207,98
208,100
209,74
210,96
211,98
212,98
213,100
214,100
215,90
216,94
217,96
218,92
219,98
220,96
221,90
222,98
223,98
224,90
225,100
226,98
227,96
228,100
229,98
230,100
231,96
232,92
233,94
234,100
235,100
236,98
237,98
238,100
239,98
240,100
241,98
242,98
243,98
244,100
245,86
246,98
247,100
248,96
249,100
250,94
251,98
252,98
253,90
254,98
255,90
256,98
257,96
258,98
259,98
260,98
261,100
262,80
263,98
264,100
265,100
266,96
267,98
268,96
269,92
270,92
271,96
272,90
273,94
274,96
275,94
276,98
277,98
278,90
279,100
280,100
281,98
282,100
283,98
284,98
285,100
286,96
287,100
288,100
289,100
290,94
291,100
292,98
293,100
294,100
295,98
296,100
297,98
298,96
299,100
300,98
301,100
302,94
303,94
304,100
305,100
306,98
307,100
308,98
309,98
310,100
311,98
312,96
313,98
314,94
315,88
316,98
317,94
318,100
319,94
320,96
321,100
322,98
323,100
324,94
325,98
326,94
327,98
328,98
329,96
330,98
331,94
332,98
333,96
334,98
335,100
336,98
337,92
338,98
339,100
340,94
341,94
342,98
343,98
344,96
345,100
346,98
347,96
348,96
349,94
350,100
351,100
352,98
353,96
354,98
355,90
356,100
357,94
358,100
359,64
360,92
361,100
362,96
363,94
364,98
365,100
366,96
367,100
368,100
369,98
370,96
371,100
372,98
373,98
374,98
375,96
376,94
377,96
378,94
379,98
380,100
381,100
382,96
383,94
384,96
385,98
386,98
387,98
388,96
389,98
390,100
391,98
392,96
393,100
394,90
395,70
396,96
397,98
398,100
399,94
400,94
401,98
402,90
403,96
404,92
405,98
406,98
407,100
408,98
409,100
410,100
411,98
412,100
413,98
414,96
415,100
416,94
417,98
418,80
419,96
420,98
421,94
422,98
423,82
424,96
425,94
426,100
427,98
428,100
429,98
430,84
431,60
432,96
433,86
434,94
435,98
436,94
437,100
438,92
439,96
440,98
441,92
442,98
443,86
444,100
445,100
446,100
447,94
448,98
449,82
450,98
451,98
452,90
453,96
454,92
455,100
456,100
457,96
458,100
459,98
460,100
461,100
462,100
463,98
464,98
465,100
466,94
467,98
468,100
469,88
470,88
471,94
472,98
473,98
474,98
475,98
476,98
477,100
478,98
479,98
480,98
481,100
482,100
483,96
484,98
485,100
486,98
487,98
488,100
489,98
490,98
491,98
492,94
493,96
494,96
495,100
496,96
497,76
498,98
499,98
