,CoopPunishOpp,BullyOpp,BullyPunishOpp
396,64,94,64
397,96,100,54
398,98,100,100
399,40,50,52
400,62,46,50
401,50,100,48
402,100,50,50
403,96,50,50
404,48,100,96
405,100,90,76
406,54,98,88
407,50,100,100
408,84,100,100
409,50,100,50
410,50,94,52
411,50,50,100
412,48,94,90
413,50,60,100
414,40,100,50
415,38,100,50
416,50,100,62
417,100,90,50
418,46,50,66
419,96,90,96
420,62,96,94
421,48,48,50
422,50,40,50
423,100,94,50
424,90,100,50
425,86,90,100
426,62,100,100
427,100,62,46
428,50,100,72
429,50,52,36
430,64,48,100
431,86,92,50
432,50,56,66
433,50,94,50
434,46,64,100
435,50,96,52
436,50,54,52
437,50,96,94
438,50,46,94
439,50,88,94
440,50,54,94
441,100,100,64
442,96,50,48
443,50,48,98
444,100,100,50
445,100,50,50
446,50,100,34
447,50,50,50
448,52,100,100
449,96,92,100
450,44,96,50
451,48,52,50
452,50,94,92
453,62,94,90
454,100,44,100
455,100,86,100
456,100,50,50
457,100,78,50
458,56,96,54
459,50,84,78
460,100,100,100
461,50,94,80
462,96,48,50
463,50,94,56
464,50,50,50
465,48,50,62
466,62,100,100
467,58,50,50
468,50,54,98
469,50,100,100
470,100,52,52
471,100,98,50
472,50,70,52
473,42,60,50
474,52,100,50
475,96,76,100
476,62,66,100
477,44,100,50
478,100,100,50
479,100,100,100
480,48,100,50
481,50,100,92
482,50,60,98
483,50,100,100
484,50,50,50
485,54,56,52
486,50,100,96
487,50,100,58
488,100,94,100
489,100,78,94
490,84,98,56
491,100,92,100
492,52,52,100
493,80,100,100
494,90,80,100
495,72,96,70
496,50,100,100
497,94,100,40
498,50,92,100
499,42,96,100
