,CoopPunishOpp,BullyOpp,BullyPunishOpp
0,88,94,76
1,90,94,82
2,96,80,92
3,90,88,78
4,90,80,82
5,96,80,76
6,92,82,88
7,94,84,90
8,90,88,52
9,92,90,72
10,92,90,90
11,96,98,80
12,94,88,88
13,92,80,84
14,98,84,74
15,98,80,92
16,94,84,80
17,94,54,96
18,90,90,90
19,82,90,78
20,94,86,82
21,92,62,84
22,90,88,84
23,96,74,82
24,90,82,88
25,96,76,74
26,92,62,92
27,86,80,82
28,92,80,86
29,92,78,86
30,88,86,88
31,94,90,82
32,92,84,82
33,78,74,84
34,90,90,74
35,78,96,84
36,94,90,90
37,82,82,80
38,94,82,84
39,92,84,88
40,90,84,74
41,88,88,82
42,92,86,82
43,74,92,78
44,94,80,86
45,94,72,54
46,92,62,86
47,96,82,86
48,88,78,80
49,86,86,86
50,94,82,80
51,94,92,80
52,92,80,78
53,96,82,86
54,92,98,86
55,92,84,62
56,94,60,78
57,86,88,94
58,90,82,92
59,92,74,88
60,98,90,82
61,92,82,76
62,90,86,96
63,94,82,76
64,90,88,86
65,96,90,80
66,98,88,82
67,90,78,82
68,94,88,86
69,94,88,88
70,94,84,80
71,74,82,74
72,84,86,84
73,94,86,78
74,94,84,84
75,90,86,74
76,92,86,90
77,96,90,82
78,68,82,86
79,96,82,88
80,96,88,84
81,94,84,84
82,92,86,80
83,90,88,70
84,78,92,78
85,96,82,86
86,80,84,86
87,70,94,84
88,94,86,78
89,72,84,80
90,70,94,66
91,86,84,84
92,92,86,80
93,94,92,92
94,94,82,86
95,90,78,84
96,94,84,78
97,92,88,94
98,76,92,64
99,88,80,78
100,94,60,88
101,92,90,88
102,94,74,82
103,96,88,82
104,90,94,84
105,90,74,84
106,92,88,84
107,90,64,92
108,96,86,88
109,70,58,84
110,92,82,84
111,92,94,80
112,92,90,78
113,94,94,78
114,96,84,86
115,94,86,86
116,94,96,88
117,80,92,80
118,96,92,90
119,92,90,78
120,68,84,72
121,88,78,86
122,94,92,80
123,68,86,80
124,96,92,88
125,100,80,84
126,92,80,88
127,94,88,90
128,86,80,94
129,86,92,84
130,76,90,88
131,82,80,84
132,88,70,84
133,94,92,78
134,92,70,84
135,88,78,84
136,94,82,86
137,94,80,88
138,92,82,84
139,94,84,88
140,90,88,90
141,92,86,82
142,94,58,80
143,96,80,90
144,88,58,94
145,88,80,86
146,88,86,86
147,92,84,86
148,90,86,80
149,90,92,88
150,94,90,78
151,96,82,82
152,76,80,82
153,90,88,88
154,96,90,80
155,90,90,92
156,92,92,84
157,94,78,86
158,88,84,84
159,92,88,76
160,96,90,82
161,96,92,82
162,84,76,80
163,72,84,80
164,90,76,84
165,96,76,90
166,96,78,86
167,74,78,84
168,96,84,84
169,78,84,90
170,92,88,90
171,90,82,88
172,92,86,86
173,92,84,86
174,94,86,86
175,84,88,88
176,92,86,80
177,94,90,78
178,92,76,80
179,94,84,90
180,94,88,78
181,92,82,84
182,98,72,64
183,88,94,84
184,80,80,82
185,96,76,86
186,66,86,88
187,98,84,84
188,98,80,78
189,94,82,86
190,98,84,72
191,96,64,86
192,70,88,84
193,96,72,84
194,84,86,84
195,92,74,90
196,90,84,88
197,96,92,92
198,94,88,82
199,94,96,90
200,96,82,78
201,96,90,88
202,90,84,84
203,70,80,82
204,78,84,84
205,92,88,80
206,92,82,94
207,92,80,74
208,88,88,86
209,88,84,76
210,98,82,96
211,98,96,92
212,88,86,88
213,92,86,82
214,88,94,88
215,96,84,84
216,94,88,80
217,94,88,80
218,94,90,86
219,92,82,84
220,86,86,82
221,92,60,84
222,88,82,82
223,96,56,82
224,94,76,92
225,94,88,62
226,92,84,88
227,96,82,82
228,90,88,72
229,94,92,82
230,92,82,78
231,86,90,86
232,86,80,76
233,92,82,78
234,96,82,82
235,96,54,86
236,98,80,80
237,92,80,80
238,92,90,94
239,90,90,76
240,94,86,88
241,90,90,92
242,74,84,92
243,86,86,70
244,92,82,88
245,88,84,90
246,98,86,86
247,100,86,84
248,96,84,82
249,96,86,84
250,96,90,86
251,88,78,78
252,94,78,84
253,92,90,82
254,88,82,84
255,98,90,84
256,94,84,88
257,96,82,92
258,94,80,84
259,90,88,80
260,94,86,92
261,86,88,78
262,92,80,88
263,98,90,86
264,98,86,76
265,76,80,76
266,66,96,88
267,72,84,92
268,76,86,86
269,94,80,52
270,90,86,80
271,84,84,86
272,92,88,78
273,96,86,96
274,76,76,90
275,90,92,82
276,82,82,88
277,90,88,82
278,92,84,80
279,86,92,74
280,96,66,78
281,96,88,88
282,88,88,80
283,94,88,88
284,96,72,80
285,92,88,90
286,90,86,76
287,90,86,86
288,92,82,90
289,80,80,90
290,72,86,84
291,76,82,88
292,88,88,80
293,98,94,90
294,90,86,90
295,90,84,90
296,88,88,88
297,96,88,86
298,98,80,82
299,90,88,86
300,94,66,90
301,94,84,96
302,72,86,82
303,90,80,88
304,96,84,86
305,94,70,82
306,96,84,86
307,96,92,82
308,92,78,80
309,92,84,82
310,94,80,90
311,94,90,78
312,98,84,78
313,94,92,60
314,90,82,88
315,98,94,86
316,96,78,82
317,88,90,88
318,90,84,82
319,88,76,76
320,94,86,88
321,94,78,92
322,88,84,86
323,94,86,84
324,98,88,90
325,64,82,80
326,92,76,86
327,76,88,84
328,84,92,88
329,96,90,86
330,98,76,84
331,90,54,82
332,94,82,84
333,94,80,84
334,92,86,96
335,98,80,74
336,92,84,78
337,100,80,70
338,66,90,80
339,94,88,84
340,90,80,86
341,92,74,84
