,S++
0,100
1,66
2,94
3,90
4,80
5,96
6,94
7,82
8,100
9,52
10,50
11,86
12,72
13,82
14,94
15,78
16,72
17,60
18,60
19,84
20,52
21,74
22,66
23,92
24,88
25,82
26,92
27,92
28,94
29,88
30,88
31,96
32,80
33,80
34,98
35,94
36,80
37,84
38,92
39,96
40,86
41,56
42,90
43,98
44,100
45,88
46,54
47,52
48,78
49,94
50,86
51,94
52,100
53,92
54,92
55,100
56,96
57,66
58,88
59,42
60,76
61,96
62,86
63,72
64,96
65,92
66,94
67,78
68,92
69,56
70,82
71,100
72,76
73,84
74,82
75,42
76,100
77,56
78,86
79,88
80,86
81,54
82,88
83,74
84,90
85,98
86,98
87,88
88,100
89,92
90,84
91,60
92,88
93,80
94,92
95,92
96,88
97,58
98,68
99,74
100,90
101,98
102,76
103,80
104,80
105,48
106,88
107,46
108,92
109,84
110,94
111,96
112,80
113,82
114,84
115,58
116,98
117,84
118,88
119,88
120,60
121,70
122,90
123,88
124,98
125,76
126,96
127,86
128,92
129,98
130,74
131,92
132,64
133,90
134,90
135,92
136,86
137,90
138,84
139,48
140,74
141,96
142,96
143,88
144,94
145,84
146,88
147,90
148,90
149,42
150,82
151,90
152,96
153,78
154,50
155,84
156,66
157,94
158,74
159,96
160,96
161,76
162,48
163,80
164,84
165,96
166,84
167,88
168,66
169,68
170,88
171,94
172,96
173,86
174,92
175,84
176,82
177,62
178,82
179,90
180,96
181,78
182,96
183,82
184,90
185,92
186,92
187,56
188,90
189,90
190,78
191,90
192,94
193,94
194,74
195,52
196,60
197,90
198,76
199,88
200,80
201,78
202,82
203,76
204,86
205,96
206,50
207,100
208,84
209,78
210,98
211,92
212,66
213,94
214,92
215,84
216,94
217,90
218,94
219,86
220,96
221,84
222,76
223,96
224,94
225,94
226,92
227,92
228,80
229,48
230,88
231,82
232,42
233,94
234,82
235,70
236,70
237,98
238,90
239,100
240,64
241,74
242,100
243,78
244,98
245,90
246,58
247,80
248,48
249,96
250,90
251,64
252,86
253,96
254,98
255,88
256,84
257,90
258,94
259,90
260,44
261,76
262,94
263,62
264,84
265,90
266,94
267,62
268,84
269,58
270,54
271,72
272,46
273,98
274,84
275,64
276,90
277,88
278,78
279,82
280,90
281,96
282,98
283,80
284,82
285,92
286,90
287,94
288,72
289,92
290,98
291,76
292,80
293,92
294,88
295,98
296,94
297,90
298,88
299,78
300,72
301,92
302,82
303,94
304,92
305,98
306,94
307,76
308,82
309,86
310,98
311,50
312,96
313,68
314,90
315,70
316,86
317,80
318,82
319,88
320,98
321,68
322,84
323,74
324,72
325,88
326,96
327,84
328,84
329,78
330,92
331,88
332,88
333,82
334,94
335,96
336,88
337,90
338,66
339,54
340,72
341,58
342,44
343,84
344,100
345,86
346,92
347,98
348,54
349,94
350,76
351,100
352,92
353,88
354,86
355,90
356,72
357,72
358,68
359,86
360,84
361,84
362,78
363,90
364,100
365,90
366,50
367,100
368,78
369,96
370,64
371,76
372,52
373,76
374,44
375,78
376,96
377,92
378,80
379,56
380,96
381,92
382,90
383,70
384,46
385,72
386,90
387,56
388,94
389,68
390,78
391,86
392,44
393,80
394,78
395,86
396,94
397,70
398,84
399,86
400,82
401,88
402,86
403,82
404,62
405,90
406,70
407,90
408,74
409,84
410,68
411,94
412,72
413,94
414,100
415,58
416,80
417,72
418,100
419,98
420,90
421,78
422,100
423,88
424,94
425,90
426,98
427,46
428,96
429,96
430,94
431,84
432,96
433,78
434,88
435,68
436,76
437,82
438,90
439,86
440,94
441,94
442,60
443,80
444,88
445,94
446,92
447,86
448,96
449,86
450,84
451,72
452,78
453,90
454,90
455,96
456,90
457,92
458,52
459,72
460,88
461,82
462,90
463,80
464,98
465,86
466,82
467,100
468,80
469,84
470,100
471,52
472,82
473,82
474,90
475,52
476,90
477,94
478,94
479,78
480,98
481,100
482,52
483,90
484,88
485,84
486,90
487,88
488,92
489,54
490,86
491,86
492,88
493,88
494,74
495,62
496,62
497,88
498,76
499,90
