,Algaater
0,96
1,90
2,92
3,98
4,90
5,50
6,98
7,82
8,76
9,98
10,68
11,86
12,92
13,68
14,90
15,62
16,92
17,90
18,58
19,98
20,88
21,54
22,100
23,68
24,94
25,86
26,96
27,46
28,80
29,90
30,58
31,78
32,90
33,86
34,88
35,90
36,76
37,86
38,66
39,84
40,96
41,88
42,98
43,94
44,96
45,78
46,78
47,98
48,92
49,98
50,98
51,96
52,92
53,96
54,98
55,90
56,96
57,94
58,86
59,80
60,90
61,90
62,96
63,80
64,78
65,94
66,88
67,88
68,84
69,98
70,94
71,98
72,94
73,94
74,94
75,86
76,86
77,94
78,88
79,94
80,98
81,88
82,64
83,92
84,100
85,94
86,80
87,80
88,48
89,58
90,96
91,92
92,90
93,66
94,94
95,90
96,80
97,88
98,88
99,98
100,90
101,98
102,94
103,96
104,56
105,90
106,94
107,90
108,96
109,98
110,90
111,94
112,100
113,86
114,98
115,90
116,88
117,98
118,90
119,96
120,60
121,90
122,58
123,94
124,68
125,94
126,92
127,92
128,96
129,92
130,70
131,66
132,86
133,100
134,98
135,94
136,64
137,76
138,90
139,70
140,94
141,50
142,64
143,96
144,52
145,94
146,92
147,90
148,92
149,60
150,62
151,96
152,84
153,98
154,70
155,68
156,78
157,98
158,74
159,90
160,92
161,92
162,90
163,94
164,64
165,90
166,96
167,58
168,60
169,50
170,60
171,98
172,84
173,98
174,98
175,90
176,82
177,94
178,66
179,88
180,100
181,94
182,90
183,92
184,76
185,98
186,92
187,72
188,96
189,56
190,94
191,92
192,90
193,76
194,94
195,94
196,98
197,96
198,94
199,86
200,86
201,90
202,98
203,96
204,98
205,100
206,94
207,70
208,98
209,100
210,46
211,92
212,74
213,60
214,98
215,92
216,88
217,88
218,44
219,98
220,72
221,92
222,98
223,94
224,96
225,80
226,90
227,88
228,88
229,64
230,94
231,98
232,80
233,94
234,80
235,94
236,98
237,42
238,52
239,76
240,90
241,92
242,76
243,98
244,90
245,90
246,82
247,94
248,94
249,96
250,96
251,98
252,82
253,80
254,82
255,80
256,92
257,88
258,82
259,98
260,100
261,60
262,78
263,96
264,70
265,78
266,92
267,94
268,92
269,96
270,52
271,90
272,94
273,90
274,62
275,96
276,94
277,98
278,84
279,82
280,94
281,94
282,86
283,90
284,70
285,78
286,84
287,54
288,94
289,90
290,74
291,90
292,54
293,98
294,92
295,98
296,98
297,90
298,86
299,94
300,76
301,94
302,88
303,58
304,88
305,92
306,68
307,98
308,78
309,94
310,56
311,86
312,92
313,92
314,88
315,92
316,88
317,86
318,90
319,78
320,98
321,90
322,92
323,40
324,66
325,90
326,94
327,96
328,98
329,84
330,88
331,88
332,88
333,98
334,50
335,54
336,92
337,96
338,84
339,54
340,76
341,92
342,86
343,96
344,88
345,92
346,50
347,44
348,98
349,82
350,96
351,94
352,94
353,50
354,86
355,94
356,68
357,44
358,90
359,94
360,90
361,86
362,90
363,66
364,90
365,100
366,42
367,76
368,92
369,72
370,92
371,92
372,80
373,92
374,88
375,90
376,84
377,76
378,98
379,64
380,58
381,72
382,88
383,58
384,94
385,98
386,86
387,84
388,96
389,64
390,100
391,90
392,90
393,52
394,88
395,86
396,90
397,90
398,96
399,98
400,72
401,98
402,98
403,88
404,90
405,72
406,92
407,94
408,94
409,80
410,98
411,94
412,82
413,94
414,98
415,98
416,94
417,74
418,72
419,94
420,70
421,98
422,92
423,94
424,98
425,94
426,94
427,64
428,70
429,90
430,74
431,94
432,94
433,88
434,90
435,98
436,68
437,92
438,98
439,84
440,92
441,78
442,64
443,76
444,94
445,70
446,72
447,48
448,96
449,78
450,98
451,94
452,84
453,98
454,82
455,88
456,82
457,98
458,92
459,60
460,88
461,68
462,70
463,86
464,100
465,94
466,44
467,82
468,96
469,82
470,94
471,94
472,62
473,96
474,86
475,100
476,88
477,100
478,84
479,98
480,90
481,90
482,98
483,90
484,56
485,64
486,94
487,98
488,86
489,86
490,76
491,86
492,98
493,96
494,88
495,94
496,62
497,94
498,52
499,42
