,EEE
0,53.5
1,50.5
2,40.5
3,80.5
4,64.0
5,57.5
6,58.0
7,84.5
8,65.0
9,45.5
10,49.0
11,54.5
12,50.5
13,60.5
14,52.5
15,95.5
16,94.0
17,63.0
18,112.0
19,51.0
20,63.0
21,51.5
22,47.5
23,94.0
24,47.0
25,59.5
26,82.5
27,54.0
28,80.0
29,103.5
30,47.5
31,40.0
32,41.5
33,47.5
34,58.5
35,41.5
36,58.5
37,29.0
38,38.0
39,50.0
40,103.5
41,50.5
42,98.5
43,102.0
44,98.0
45,89.5
46,93.5
47,95.0
48,92.5
49,59.5
50,76.0
51,50.5
52,61.5
53,63.0
54,64.0
55,72.0
56,52.0
57,52.5
58,64.5
59,55.0
60,80.0
61,75.0
62,76.0
63,72.5
64,78.0
65,73.0
66,76.0
67,80.5
68,72.0
69,70.0
