,CoopPunishOpp,BullyOpp,BullyPunishOpp,Random,GreedyNeg,CoopGreed,RoundNum
0,86.0,83.5,87.0,43.0,93.5,90.5,70.5
1,64.5,100.5,99.5,45.0,98.5,79.5,91.0
2,92.0,78.5,98.0,46.0,95.0,94.5,86.5
3,88.0,80.0,83.5,47.0,73.0,80.0,84.5
4,64.5,89.0,92.5,51.0,96.5,72.5,88.5
5,97.5,86.0,93.0,40.5,81.5,92.0,80.5
6,95.0,80.0,84.0,37.5,79.5,84.5,80.5
7,78.0,79.0,93.0,37.5,85.5,73.0,82.0
8,68.5,89.0,102.5,41.0,101.5,87.0,90.0
9,69.0,98.0,96.5,57.0,92.5,66.5,101.5
