,S++
0,56.0
1,83.5
2,86.0
3,70.5
4,85.0
5,73.5
6,55.5
7,55.0
8,78.5
9,70.5
10,70.0
11,110.5
12,92.5
13,62.5
14,91.0
15,84.5
16,91.5
17,109.0
18,70.0
19,106.5
20,88.0
21,45.0
22,96.0
23,59.0
24,91.5
25,100.5
26,98.0
27,78.5
28,90.5
29,42.5
30,56.5
31,47.0
32,50.0
33,48.0
34,57.0
35,60.0
36,46.0
37,52.5
38,54.0
39,50.5
40,66.5
41,80.5
42,100.5
43,100.5
44,84.5
45,86.5
46,57.0
47,75.0
48,93.0
49,83.0
50,88.5
51,57.0
52,74.5
53,64.5
54,42.0
55,76.0
56,64.0
57,61.5
58,81.0
59,66.0
60,66.0
61,71.5
62,73.5
63,81.0
64,69.0
65,97.5
66,83.0
67,73.0
68,72.0
69,77.0
