,CoopPunishOpp,BullyOpp,BullyPunishOpp,Random,GreedyNeg,CoopGreed,RoundNum
0,56.0,70.0,88.0,56.5,66.5,88.5,66.0
1,83.5,110.5,45.0,47.0,80.5,57.0,71.5
2,86.0,92.5,96.0,50.0,100.5,74.5,73.5
3,70.5,62.5,59.0,48.0,100.5,64.5,81.0
4,85.0,91.0,91.5,57.0,84.5,42.0,69.0
5,73.5,84.5,100.5,60.0,86.5,76.0,97.5
6,55.5,91.5,98.0,46.0,57.0,64.0,83.0
7,55.0,109.0,78.5,52.5,75.0,61.5,73.0
8,78.5,70.0,90.5,54.0,93.0,81.0,72.0
9,70.5,106.5,42.5,50.5,83.0,66.0,77.0
