,Algaater
0,150
1,-56
2,150
3,-56
4,-58
5,-56
6,-58
7,150
8,-56
9,150
10,-56
11,-56
12,150
13,150
14,150
15,-58
16,-56
17,-56
18,150
19,-56
20,-58
21,-56
22,-56
23,-56
24,150
25,150
26,-56
27,-56
28,-56
29,-56
30,-56
31,150
32,-56
33,-56
34,-56
35,150
36,-56
37,150
38,150
39,150
40,-56
41,150
42,-56
43,-56
44,-56
45,150
46,-56
47,150
48,150
49,150
50,-58
51,150
52,-56
53,150
54,-56
55,-58
56,-56
57,150
58,-56
59,-56
60,150
61,-56
62,-56
63,150
64,-56
65,-58
66,-58
67,150
68,-56
69,-56
70,150
71,150
72,-56
73,150
74,-56
75,150
76,150
77,-56
78,150
79,-56
80,-56
81,150
82,150
83,150
84,-56
85,-56
86,150
87,150
88,-58
89,150
90,150
91,-56
92,-56
93,-56
94,150
95,150
96,-56
97,150
98,150
99,-56
100,150
101,-56
102,-58
103,150
104,150
105,-56
106,-56
107,150
108,-56
109,-58
110,-56
111,150
112,150
113,-58
114,-56
115,150
116,150
117,-56
118,150
119,150
120,-56
121,-56
122,-56
123,-56
124,150
125,-56
126,150
127,150
128,-56
129,150
130,-56
131,-56
132,-56
133,-56
134,150
135,150
136,150
137,-58
138,150
139,-58
140,-56
141,-56
142,-56
143,-56
144,150
145,150
146,150
147,-56
148,-56
149,-56
150,150
151,150
152,-56
153,-56
154,-56
155,150
156,-56
157,150
158,-56
159,-56
160,150
161,-56
162,-56
163,-56
164,150
165,-56
166,-56
167,-56
168,150
169,150
170,-56
171,-56
172,150
173,150
174,-56
175,150
176,-58
177,150
178,-56
179,150
180,-56
181,-56
182,-56
183,-56
184,-56
185,-56
186,150
187,-58
188,-56
189,150
190,-56
191,-56
192,-56
193,-58
194,150
195,-56
196,-56
197,-58
198,150
199,-56
200,150
201,-56
202,150
203,150
204,150
205,-56
206,150
207,-56
208,150
209,150
210,-58
211,150
212,-56
213,150
214,150
215,-56
216,150
217,150
218,-56
219,-56
220,-56
221,-58
222,150
223,-56
224,150
225,-56
226,-56
227,-56
228,150
229,150
230,-56
231,-58
232,150
233,150
234,-56
235,150
236,-56
237,150
238,150
239,150
240,-56
241,-56
242,-56
243,-56
244,150
245,150
246,-56
247,150
248,150
249,150
250,150
251,-56
252,-58
253,-56
254,-56
255,-56
256,-56
257,-56
258,-56
259,150
260,-56
261,-56
262,-58
263,150
264,-56
265,-56
266,150
267,-56
268,150
269,150
270,-56
271,-56
272,150
273,150
274,-56
275,150
276,-56
277,-56
278,-56
279,-56
280,150
281,-56
282,-56
283,150
284,-56
285,150
286,150
287,150
288,-56
289,-56
290,-58
291,150
292,150
293,150
294,-58
295,150
296,150
297,150
298,150
299,150
300,150
301,-56
302,-56
303,-58
304,-56
305,-56
306,-56
307,150
308,150
309,-56
310,-56
311,150
312,150
313,150
314,-56
315,-56
316,150
317,150
318,150
319,-56
320,-56
321,150
322,-56
323,-56
324,150
325,-56
326,-56
327,150
328,150
329,-56
330,-56
331,-58
332,-56
333,150
334,150
335,-58
336,-56
337,150
338,-56
339,-58
340,150
341,150
342,-56
343,-56
344,150
345,150
346,150
347,-56
348,150
349,-56
350,-56
351,150
352,-58
353,150
354,-56
355,-56
356,-56
357,150
358,-56
359,-56
360,-56
361,-56
362,150
363,-58
364,150
365,-56
366,150
367,-56
368,150
369,150
370,-56
371,-56
372,150
373,150
374,-58
375,-56
376,-56
377,150
378,-56
379,-56
380,-56
381,150
382,150
383,-56
384,-56
385,150
386,-56
387,-56
388,-58
389,-56
390,150
391,150
392,-56
393,-56
394,-58
395,-58
396,150
397,-56
398,150
399,-56
400,150
401,150
402,-56
403,150
404,150
405,-56
406,150
407,-56
408,150
409,-56
410,-56
411,-58
412,150
413,-56
414,-56
415,-56
416,150
417,150
418,-56
419,150
420,150
421,-56
422,150
423,-56
424,-56
425,-56
426,-56
427,150
428,-56
429,-56
430,150
431,-56
432,150
433,150
434,150
435,-56
436,-56
437,150
438,-56
439,150
440,-56
441,-58
442,-56
443,150
444,-56
445,-56
446,-58
447,-56
448,150
449,-56
450,150
451,150
452,-58
453,-56
454,150
455,-56
456,-56
457,-56
458,-56
459,-58
460,-56
461,-56
462,-56
463,-56
464,-56
465,150
466,-56
467,150
468,-56
469,-56
470,-56
471,-56
472,-56
473,150
474,-56
475,150
476,150
477,-56
478,-56
479,-56
480,150
481,-56
482,150
483,-56
484,-56
485,-56
486,150
487,150
488,150
489,150
490,150
491,-56
492,-58
493,-56
494,-56
495,-56
496,-56
497,-56
498,-56
499,150
