,CoopPunishOpp,BullyOpp,BullyPunishOpp
0,150,-108,-102
1,140,-100,-106
2,140,-102,-98
3,136,-112,-96
4,118,-104,-96
5,142,-106,-102
6,150,-102,-106
7,132,-102,-102
8,150,-100,-102
9,150,-100,-108
10,150,-98,-106
11,138,-100,-108
12,150,-100,-106
13,150,-106,-104
14,150,-102,-100
15,136,-104,-96
16,150,-110,-98
17,132,-110,-98
18,142,-98,-106
19,142,-108,-100
20,150,-102,-110
21,136,-100,-110
22,138,-104,-108
23,150,-100,-98
24,142,-110,-104
25,150,-104,-100
26,126,-102,-102
27,142,-106,-102
28,150,-100,-104
29,130,-108,-98
30,150,-114,-98
31,150,-98,-98
32,140,-102,-106
33,150,-98,-98
34,150,-102,-102
35,134,-106,-106
36,150,-110,-100
37,150,-106,-104
38,142,-102,-102
39,100,-100,-104
40,108,-100,-102
41,150,-102,-98
42,150,-100,-108
43,142,-100,-108
44,142,-100,-102
45,150,-112,-108
46,142,-102,-100
47,112,-106,-104
48,150,-98,-110
49,150,-108,-100
50,150,-96,-100
51,140,-98,-106
52,150,-96,-96
53,130,-98,-100
54,138,-100,-98
55,128,-110,-104
56,150,-108,-98
57,138,-100,-112
58,150,-106,-110
59,116,-100,-108
60,108,-104,-102
61,150,-106,-104
62,150,-102,-100
63,136,-98,-100
64,142,-102,-108
65,140,-98,-98
66,138,-98,-102
67,142,-102,-102
68,150,-108,-104
69,150,-96,-104
70,138,-102,-108
71,150,-112,-100
72,122,-102,-114
73,108,-106,-102
74,136,-106,-110
75,150,-98,-104
76,136,-106,-108
77,134,-114,-110
78,142,-104,-112
79,112,-106,-100
80,150,-102,-102
81,114,-112,-100
82,130,-98,-102
83,150,-102,-100
84,150,-100,-104
85,138,-98,-100
86,150,-102,-104
87,150,-100,-112
88,150,-106,-104
89,150,-102,-104
90,142,-102,-108
91,150,-112,-100
92,138,-104,-98
93,150,-100,-100
94,150,-100,-104
95,142,-98,-110
96,150,-112,-110
97,142,-102,-98
98,150,-98,-98
99,124,-98,-104
100,150,-106,-102
101,124,-108,-104
102,142,-98,-104
103,134,-102,-102
104,128,-100,-104
105,150,-104,-100
106,142,-98,-106
107,150,-108,-98
108,150,-96,-102
109,140,-120,-104
110,150,-106,-108
111,142,-104,-112
112,150,-108,-106
113,150,-112,-102
114,130,-108,-104
115,138,-102,-102
116,150,-108,-108
117,150,-104,-104
118,150,-98,-108
119,142,-100,-98
120,138,-104,-106
121,134,-100,-100
122,142,-104,-102
123,150,-98,-100
124,136,-100,-100
125,142,-112,-100
126,150,-96,-98
127,140,-100,-100
128,122,-102,-98
129,140,-112,-100
130,150,-98,-110
131,142,-112,-104
132,108,-98,-114
133,150,-102,-102
134,150,-102,-104
135,140,-98,-108
136,140,-102,-100
137,150,-106,-104
138,138,-102,-102
139,150,-106,-98
140,140,-96,-110
141,132,-106,-98
142,130,-106,-106
143,150,-100,-100
144,140,-100,-102
145,142,-104,-106
146,132,-100,-100
147,150,-104,-100
148,120,-104,-98
149,126,-110,-102
150,128,-106,-112
151,150,-110,-98
152,120,-100,-110
153,138,-102,-100
154,130,-98,-102
155,150,-112,-104
156,132,-106,-104
157,138,-100,-106
158,116,-100,-108
159,150,-106,-98
160,96,-100,-100
161,142,-98,-104
162,140,-110,-96
163,134,-102,-102
164,150,-106,-100
165,136,-104,-104
166,142,-106,-98
167,126,-102,-102
168,140,-104,-102
169,150,-102,-102
170,150,-100,-100
171,150,-102,-102
172,138,-104,-98
173,142,-100,-100
174,150,-106,-112
175,150,-102,-102
176,150,-94,-98
177,150,-112,-104
178,142,-102,-104
179,130,-102,-108
180,150,-102,-98
181,150,-102,-98
182,136,-102,-108
183,140,-104,-108
184,124,-100,-102
185,150,-104,-96
186,150,-108,-108
187,150,-100,-98
188,150,-98,-108
189,110,-102,-106
190,150,-114,-106
191,150,-116,-108
192,150,-100,-102
193,130,-102,-102
194,150,-102,-100
195,136,-100,-102
196,142,-110,-100
197,138,-102,-108
198,140,-112,-100
199,98,-102,-100
200,134,-102,-106
201,122,-104,-104
202,126,-102,-102
203,150,-104,-112
204,150,-106,-110
205,150,-102,-108
206,134,-102,-100
207,142,-104,-104
208,150,-96,-98
209,140,-104,-106
210,98,-100,-108
211,142,-102,-100
212,138,-102,-100
213,142,-96,-106
214,142,-110,-104
215,140,-98,-104
216,138,-102,-100
217,150,-102,-110
218,140,-102,-106
219,150,-104,-90
220,150,-106,-100
221,130,-100,-102
222,142,-102,-100
223,134,-106,-110
224,150,-102,-112
225,108,-110,-102
226,150,-126,-100
227,140,-98,-102
228,142,-108,-112
229,150,-100,-102
230,150,-102,-106
231,132,-104,-102
232,150,-98,-104
233,134,-94,-96
234,138,-108,-100
235,150,-102,-106
236,136,-102,-98
237,136,-100,-114
238,150,-106,-108
239,150,-110,-102
240,138,-98,-106
241,138,-104,-98
242,150,-112,-110
243,150,-100,-104
244,142,-104,-100
245,104,-102,-110
246,128,-104,-100
247,116,-102,-102
248,140,-98,-100
249,136,-100,-102
250,140,-106,-102
251,136,-116,-102
252,150,-108,-112
253,150,-106,-102
254,150,-100,-106
255,134,-102,-106
256,142,-98,-104
257,150,-104,-102
258,150,-106,-102
259,138,-116,-106
260,128,-98,-104
261,142,-98,-106
262,100,-98,-98
263,138,-100,-104
264,150,-102,-102
265,134,-98,-106
266,150,-102,-104
267,136,-104,-104
268,130,-104,-104
269,118,-102,-110
270,138,-100,-104
271,126,-100,-102
272,150,-100,-104
273,150,-106,-98
274,150,-104,-110
275,134,-104,-106
276,150,-104,-100
277,142,-110,-104
278,140,-98,-102
279,150,-96,-98
280,150,-108,-104
281,132,-112,-106
282,150,-102,-106
283,130,-108,-114
284,118,-108,-100
285,150,-104,-100
286,112,-106,-112
287,138,-106,-116
288,118,-110,-114
289,122,-104,-100
290,150,-100,-102
291,142,-116,-100
292,130,-104,-100
293,108,-98,-104
294,150,-98,-106
295,140,-106,-108
296,132,-102,-98
297,150,-102,-102
298,150,-104,-100
299,150,-100,-94
300,110,-102,-110
301,142,-104,-98
302,142,-100,-112
303,140,-104,-102
304,122,-104,-110
305,136,-104,-96
306,142,-108,-104
307,150,-100,-102
308,138,-104,-104
309,134,-100,-100
310,138,-100,-104
311,150,-110,-98
312,114,-112,-100
313,150,-100,-112
314,140,-100,-96
315,96,-102,-104
316,150,-102,-102
317,150,-102,-102
318,120,-108,-98
319,150,-102,-108
320,142,-102,-102
321,132,-98,-104
322,150,-104,-100
323,124,-98,-110
324,150,-102,-98
325,150,-104,-106
326,140,-100,-108
327,122,-100,-102
328,150,-104,-100
329,142,-108,-104
330,150,-104,-102
331,150,-100,-102
332,150,-106,-102
333,150,-108,-104
334,96,-108,-102
335,150,-112,-108
336,120,-110,-114
337,150,-106,-100
338,150,-106,-114
339,132,-102,-102
340,138,-106,-116
341,150,-106,-106
342,142,-102,-110
343,138,-96,-104
344,150,-104,-104
345,150,-102,-104
346,102,-108,-104
347,150,-100,-102
348,142,-102,-110
349,150,-112,-104
350,128,-98,-100
351,150,-100,-102
352,120,-106,-112
353,150,-94,-102
354,114,-106,-104
355,150,-110,-110
356,106,-100,-104
357,140,-100,-104
358,150,-98,-104
359,150,-104,-96
360,142,-100,-102
361,150,-106,-100
362,150,-112,-100
363,142,-104,-102
364,134,-98,-112
365,118,-106,-104
366,140,-104,-98
367,124,-100,-100
368,130,-104,-110
369,142,-104,-106
370,132,-106,-108
371,132,-104,-106
372,150,-100,-114
373,142,-106,-98
374,140,-102,-98
375,114,-112,-106
376,130,-98,-112
377,150,-116,-98
378,134,-100,-106
379,140,-114,-100
380,142,-102,-106
381,132,-104,-98
382,150,-100,-102
383,118,-100,-100
384,142,-100,-104
385,150,-102,-104
386,150,-98,-102
387,150,-104,-102
388,150,-102,-104
389,130,-100,-102
390,140,-98,-100
391,142,-100,-104
392,136,-106,-98
393,142,-104,-102
394,128,-106,-98
395,110,-102,-102
396,150,-104,-102
397,98,-100,-94
398,150,-106,-106
399,142,-100,-100
400,150,-102,-106
401,142,-110,-116
402,150,-98,-106
403,136,-98,-106
404,150,-112,-102
405,140,-100,-100
406,142,-98,-100
407,110,-102,-108
408,150,-96,-108
409,142,-110,-112
410,124,-104,-114
411,98,-98,-102
412,142,-100,-100
413,138,-96,-104
414,142,-104,-102
415,150,-102,-98
416,140,-106,-104
417,116,-106,-108
418,138,-102,-102
419,142,-106,-106
420,150,-108,-104
421,138,-98,-100
422,122,-102,-106
423,134,-104,-104
424,150,-106,-102
425,150,-102,-104
426,150,-108,-98
427,150,-106,-108
428,118,-98,-104
429,124,-98,-102
430,120,-104,-96
431,132,-104,-104
432,126,-100,-100
433,98,-100,-102
434,142,-96,-106
435,142,-102,-100
436,142,-98,-108
437,150,-104,-108
438,150,-102,-102
439,114,-104,-102
440,150,-104,-104
441,124,-98,-108
442,150,-102,-100
443,150,-102,-106
444,150,-108,-112
445,138,-102,-102
446,134,-102,-98
447,142,-106,-112
448,138,-102,-106
449,150,-100,-106
450,142,-100,-100
451,150,-102,-104
452,150,-100,-98
453,132,-100,-100
454,150,-102,-104
455,134,-108,-102
456,126,-104,-102
457,150,-100,-98
458,142,-102,-98
459,140,-102,-106
460,106,-104,-102
461,130,-98,-98
462,150,-104,-106
463,142,-104,-104
464,126,-100,-102
465,132,-102,-98
466,134,-100,-108
467,142,-104,-104
468,108,-96,-102
469,150,-108,-106
470,150,-100,-100
471,142,-100,-108
472,150,-112,-96
473,132,-102,-98
474,140,-108,-106
475,134,-108,-106
476,150,-102,-104
477,132,-106,-98
478,130,-102,-106
479,150,-98,-102
480,134,-104,-108
481,136,-110,-98
482,150,-102,-108
483,142,-100,-102
484,150,-104,-110
485,150,-104,-100
486,124,-104,-104
487,150,-120,-98
488,130,-100,-106
489,150,-96,-98
490,130,-110,-114
491,120,-100,-102
492,150,-106,-112
493,150,-110,-102
494,150,-102,-104
495,126,-112,-98
496,100,-106,-102
497,150,-104,-106
498,150,-100,-118
499,124,-102,-106
