,S++
0,-102
1,-104
2,-104
3,-100
4,-100
5,-96
6,-96
7,-106
8,-100
9,-114
10,-100
11,-104
12,-102
13,-100
14,-98
15,150
16,-108
17,-102
18,150
19,150
20,-110
21,-108
22,-104
23,150
24,-108
25,150
26,-98
27,-108
28,-92
29,-114
30,-114
31,-90
32,150
33,-104
34,-104
35,-102
36,-106
37,-108
38,150
39,-104
40,-92
41,150
42,150
43,-102
44,-104
45,-108
46,-102
47,150
48,-92
49,-108
50,-98
51,-96
52,-114
53,-102
54,150
55,-104
56,-102
57,-100
58,-104
59,-102
60,-112
61,-94
62,-102
63,-104
64,-104
65,-108
66,150
67,-106
68,-102
69,-110
70,-108
71,-102
72,-102
73,-98
74,-94
75,-102
76,-98
77,-100
78,-100
79,-98
80,-108
81,-102
82,-100
83,150
84,-90
85,150
86,-102
87,-106
88,150
89,-104
90,-106
91,150
92,-102
93,-108
94,-104
95,-96
96,-106
97,-98
98,-104
99,-108
100,-98
101,-94
102,-102
103,-94
104,-108
105,-106
106,-104
107,-104
108,-100
109,-94
110,-96
111,-108
112,-90
113,150
114,-100
115,-100
116,-100
117,150
118,150
119,-94
120,-94
121,-92
122,150
123,-106
124,-102
125,-104
126,-104
127,-106
128,-104
129,150
130,-104
131,-94
132,-106
133,-100
134,-98
135,150
136,-106
137,-102
138,-98
139,-106
140,-100
141,150
142,-100
143,-98
144,-106
145,-96
146,-96
147,-92
148,-104
149,-108
150,-104
151,-98
152,-102
153,150
154,150
155,-120
156,-94
157,-98
158,-108
159,-100
160,-108
161,-100
162,150
163,-102
164,-108
165,-110
166,-104
167,-92
168,-92
169,-90
170,-102
171,-98
172,150
173,-94
174,150
175,-100
176,-96
177,-108
178,-106
179,-98
180,-104
181,-92
182,-108
183,-102
184,-100
185,-94
186,150
187,150
188,-96
189,150
190,-98
191,-104
192,-106
193,-92
194,-110
195,150
196,150
197,-96
198,-98
199,-104
200,-102
201,-102
202,-108
203,-102
204,150
205,150
206,-98
207,-106
208,-94
209,-102
210,-120
211,-92
212,-102
213,-104
214,-108
215,-102
216,150
217,-90
218,-102
219,-104
220,150
221,-106
222,-106
223,-98
224,150
225,-104
226,-92
227,-100
228,-102
229,-106
230,-100
231,-106
232,-108
233,-108
234,-108
235,-100
236,-106
237,-106
238,-108
239,-106
240,-108
241,-100
242,-108
243,-90
244,-98
245,-96
246,-100
247,-96
248,-106
249,150
250,150
251,-104
252,-108
253,-98
254,-112
255,150
256,150
257,-102
258,-92
259,-102
260,-94
261,-114
262,-100
263,-100
264,-96
265,150
266,-98
267,-102
268,-104
269,-100
270,-102
271,150
272,150
273,-106
274,150
275,-98
276,150
277,-110
278,-94
279,-92
280,-98
281,-120
282,-106
283,-100
284,150
285,-96
286,-102
287,-96
288,-100
289,-98
290,150
291,-104
292,150
293,-122
294,-108
295,150
296,-98
297,150
298,150
299,-100
300,-100
301,-108
302,-110
303,-100
304,-102
305,-96
306,150
307,-100
308,150
309,-102
310,-96
311,-108
312,-88
313,150
314,150
315,-116
316,-98
317,-102
318,-106
319,150
320,-104
321,-98
322,-94
323,-98
324,-106
325,-106
326,-98
327,-86
328,150
329,-100
330,150
331,-98
332,-102
333,-94
334,-92
335,-92
336,-96
337,-94
338,-92
339,-98
340,-92
341,-100
342,-92
343,-102
344,-100
345,-98
346,-92
347,-106
348,150
349,-102
350,-108
351,-96
352,-96
353,-98
354,-96
355,150
356,150
357,-92
358,-108
359,-102
360,-98
361,150
362,-96
363,-108
364,150
365,-100
366,-112
367,-92
368,-98
369,-106
370,-92
371,-94
372,-104
373,-98
374,-108
375,-100
376,-100
377,-112
378,-106
379,-98
380,-106
381,-94
382,-108
383,-108
384,150
385,-110
386,-102
387,-100
388,-94
389,-94
390,150
391,150
392,-104
393,150
394,-102
395,-100
396,-100
397,-102
398,150
399,150
400,-100
401,-104
402,150
403,-100
404,-100
405,-104
406,150
407,-100
408,-90
409,-92
410,-106
411,-94
412,-96
413,150
414,150
415,-102
416,150
417,-102
418,-104
419,-96
420,150
421,-96
422,-100
423,-104
424,-96
425,150
426,-94
427,-92
428,150
429,-98
430,-110
431,-92
432,150
433,-106
434,-102
435,-100
436,-96
437,-102
438,-92
439,-104
440,-100
441,-108
442,-102
443,-110
444,-98
445,-94
446,-100
447,-104
448,150
449,-102
450,-104
451,-92
452,-98
453,-98
454,150
455,-100
456,-102
457,-102
458,-104
459,-98
460,-98
461,-98
462,-104
463,-102
464,-106
465,-110
466,150
467,-106
468,-106
469,-92
470,-92
471,-102
472,-102
473,-108
474,-102
475,-106
476,-106
477,-104
478,-104
479,-92
480,150
481,-92
482,-96
483,-116
484,-108
485,-104
486,-102
487,150
488,-94
489,-102
490,150
491,-92
492,-102
493,150
494,-106
495,150
496,-102
497,-106
498,-100
499,-98
