,S++
0,150
1,140
2,140
3,136
4,118
5,142
6,150
7,132
8,150
9,150
10,150
11,138
12,150
13,150
14,150
15,136
16,150
17,132
18,142
19,142
20,150
21,136
22,138
23,150
24,142
25,150
26,126
27,142
28,150
29,130
30,150
31,150
32,140
33,150
34,150
35,134
36,150
37,150
38,142
39,100
40,108
41,150
42,150
43,142
44,142
45,150
46,142
47,112
48,150
49,150
50,150
51,140
52,150
53,130
54,138
55,128
56,150
57,138
58,150
59,116
60,108
61,150
62,150
63,136
64,142
65,140
66,138
67,142
68,150
69,150
70,138
71,150
72,122
73,108
74,136
75,150
76,136
77,134
78,142
79,112
80,150
81,114
82,130
83,150
84,150
85,138
86,150
87,150
88,150
89,150
90,142
91,150
92,138
93,150
94,150
95,142
96,150
97,142
98,150
99,124
100,150
101,124
102,142
103,134
104,128
105,150
106,142
107,150
108,150
109,140
110,150
111,142
112,150
113,150
114,130
115,138
116,150
117,150
118,150
119,142
120,138
121,134
122,142
123,150
124,136
125,142
126,150
127,140
128,122
129,140
130,150
131,142
132,108
133,150
134,150
135,140
136,140
137,150
138,138
139,150
140,140
141,132
142,130
143,150
144,140
145,142
146,132
147,150
148,120
149,126
150,128
151,150
152,120
153,138
154,130
155,150
156,132
157,138
158,116
159,150
160,96
161,142
162,140
163,134
164,150
165,136
166,142
167,126
168,140
169,150
170,150
171,150
172,138
173,142
174,150
175,150
176,150
177,150
178,142
179,130
180,150
181,150
182,136
183,140
184,124
185,150
186,150
187,150
188,150
189,110
190,150
191,150
192,150
193,130
194,150
195,136
196,142
197,138
198,140
199,98
200,134
201,122
202,126
203,150
204,150
205,150
206,134
207,142
208,150
209,140
210,98
211,142
212,138
213,142
214,142
215,140
216,138
217,150
218,140
219,150
220,150
221,130
222,142
223,134
224,150
225,108
226,150
227,140
228,142
229,150
230,150
231,132
232,150
233,134
234,138
235,150
236,136
237,136
238,150
239,150
240,138
241,138
242,150
243,150
244,142
245,104
246,128
247,116
248,140
249,136
250,140
251,136
252,150
253,150
254,150
255,134
256,142
257,150
258,150
259,138
260,128
261,142
262,100
263,138
264,150
265,134
266,150
267,136
268,130
269,118
270,138
271,126
272,150
273,150
274,150
275,134
276,150
277,142
278,140
279,150
280,150
281,132
282,150
283,130
284,118
285,150
286,112
287,138
288,118
289,122
290,150
291,142
292,130
293,108
294,150
295,140
296,132
297,150
298,150
299,150
300,110
301,142
302,142
303,140
304,122
305,136
306,142
307,150
308,138
309,134
310,138
311,150
312,114
313,150
314,140
315,96
316,150
317,150
318,120
319,150
320,142
321,132
322,150
