,S++
0,-14
1,150
2,-54
3,150
4,150
5,150
6,150
7,-74
8,8
9,-62
10,12
11,150
12,150
13,150
14,-8
15,150
16,4
17,150
18,24
19,150
20,52
21,150
22,150
23,150
24,42
25,8
26,-16
27,150
28,-26
29,150
30,24
31,-10
32,150
33,2
34,150
35,150
36,-52
37,-8
38,0
39,138
40,150
41,-2
42,-70
43,150
44,150
45,0
46,150
47,150
48,-12
49,46
50,-4
51,150
52,-68
53,150
54,-16
55,150
56,0
57,150
58,150
59,150
60,150
61,-76
62,84
63,0
64,-46
65,-36
66,150
67,150
68,138
69,138
70,138
71,4
72,-72
73,8
74,18
75,-80
76,150
77,-12
78,150
79,150
80,150
81,0
82,-10
83,150
84,150
85,-24
86,150
87,22
88,150
89,-2
90,-28
91,138
92,150
93,-38
94,-22
95,150
96,150
97,150
98,150
99,30
100,150
101,150
102,-8
103,14
104,-16
105,150
106,12
107,150
108,-26
109,150
110,-18
111,18
112,74
113,-26
114,150
115,-16
116,150
117,4
118,150
119,-12
120,150
121,8
122,150
123,150
124,-36
125,-28
126,6
127,-42
128,-14
129,150
130,150
131,-50
132,-8
133,150
134,150
135,-10
136,150
137,-6
138,150
139,150
140,-38
141,-24
142,-16
143,60
144,-74
145,150
146,150
147,-6
148,150
149,150
150,150
151,150
152,-10
153,150
154,150
155,150
156,150
157,150
158,150
159,150
160,-10
161,-8
162,150
163,150
164,16
165,6
166,-4
167,150
168,8
169,-10
170,150
171,30
172,-8
173,150
174,150
175,150
176,150
177,-30
178,-64
179,150
180,-44
181,150
182,12
183,150
184,-12
185,-2
186,150
187,150
188,150
189,-12
190,150
191,138
192,150
193,20
194,150
195,150
196,138
197,-28
198,-48
199,-54
200,150
201,0
202,4
203,-8
204,150
205,150
206,150
207,2
208,150
209,16
210,-20
211,150
212,-36
213,-46
214,-18
215,-38
216,4
217,-24
218,150
219,150
220,0
221,138
222,150
223,16
224,150
225,150
226,-2
227,-62
228,-14
229,150
230,150
231,-26
232,150
233,150
234,150
235,150
236,138
237,150
238,16
239,150
240,-10
241,150
242,-74
243,150
244,0
245,16
246,4
247,18
248,0
249,150
250,150
251,150
252,-20
253,-8
254,2
255,150
256,150
257,-36
258,150
259,150
260,0
261,10
262,-18
263,-48
264,150
265,6
266,10
267,-6
268,6
269,18
270,22
271,150
272,150
273,150
274,150
275,0
276,2
277,-46
278,150
279,6
280,-12
281,150
282,-16
283,150
284,150
285,-10
286,150
287,-6
288,-10
289,14
290,150
291,-4
292,150
293,50
294,0
295,150
296,12
297,150
298,150
299,150
300,-42
301,-64
302,150
303,150
304,150
305,0
306,12
307,150
308,150
309,4
310,150
311,150
312,150
313,150
314,150
315,150
316,-12
317,-4
318,150
319,-16
320,-6
321,-12
322,10
323,138
324,14
325,-2
326,150
327,-20
328,150
329,150
330,-6
331,150
332,150
333,-30
334,150
335,70
336,150
337,-10
338,-20
339,150
340,150
341,-32
342,-26
343,150
344,-2
345,-50
346,-22
347,-28
348,-2
349,150
350,-16
351,150
352,138
353,4
354,4
355,-22
356,150
357,0
358,150
359,-2
360,150
361,150
362,150
363,-18
364,150
365,-8
366,-32
367,-6
368,-20
369,-12
370,16
371,-4
372,-14
373,150
374,-28
375,-44
376,150
377,0
378,-4
379,-4
380,-60
381,150
382,150
383,-28
384,4
385,-34
386,0
387,150
388,2
389,150
390,150
391,-10
392,-28
393,138
394,-42
395,-4
396,22
397,150
398,150
399,-14
400,-12
401,150
402,14
403,-82
404,14
405,138
406,-8
407,150
408,-10
409,-68
410,150
411,150
412,0
413,138
414,150
415,150
416,150
417,-4
418,0
419,150
420,150
421,-56
422,150
423,150
424,4
425,138
426,150
427,150
428,46
429,-62
430,16
431,-10
432,150
433,2
434,150
435,-16
436,150
437,150
438,-2
439,-14
440,150
441,6
442,150
443,150
444,-62
445,-6
446,-72
447,-4
448,86
449,150
450,4
451,150
452,150
453,-22
454,150
455,42
456,60
457,150
458,150
459,-14
460,-58
461,12
462,8
463,150
464,150
465,-38
466,150
467,150
468,-8
469,0
470,150
471,150
472,-10
473,-2
474,150
475,150
476,60
477,150
478,16
479,150
480,-34
481,150
482,150
483,-20
484,150
485,-16
486,0
487,150
488,150
489,150
490,-78
491,138
492,150
493,150
494,-68
495,12
496,150
497,150
498,10
499,150
