,BBL
0,150
1,-32
2,150
3,-32
4,-26
5,-32
6,-26
7,150
8,-32
9,150
10,-32
11,-32
12,150
13,150
14,150
15,-26
16,-32
17,-32
18,150
19,-32
20,-26
21,-32
22,-32
23,-32
24,150
25,150
26,-32
27,-32
28,-32
29,-32
30,-32
31,150
32,-32
33,-32
34,-32
35,150
36,-32
37,150
38,150
39,150
40,-32
41,150
42,-32
43,-32
44,-32
45,150
46,-32
47,150
48,150
49,150
50,-26
51,150
52,-32
53,150
54,-32
55,-26
56,-32
57,150
58,-32
59,-32
60,150
61,-32
62,-32
63,150
64,-32
65,-26
66,-26
67,150
68,-32
69,-32
70,150
71,150
72,-32
73,150
74,-32
75,150
76,150
77,-32
78,150
79,-32
80,-32
81,150
82,150
83,150
84,-32
85,-32
86,150
87,150
88,-26
89,150
90,150
91,-32
92,-32
93,-32
94,150
95,150
96,-32
97,150
98,150
99,-32
100,150
101,-32
102,-26
103,150
104,150
105,-32
106,-32
107,150
108,-32
109,-26
110,-32
111,150
112,150
113,-26
114,-32
115,150
116,150
117,-32
118,150
119,150
120,-32
121,-32
122,-32
123,-32
124,150
125,-32
126,150
127,150
128,-32
129,150
130,-32
131,-32
132,-32
133,-32
134,150
135,150
136,150
137,-26
138,150
139,-26
140,-32
141,-32
142,-32
143,-32
144,150
145,150
146,150
147,-32
148,-32
149,-32
150,150
151,150
152,-32
153,-32
154,-32
155,150
156,-32
157,150
158,-32
159,-32
160,150
161,-32
162,-32
163,-32
164,150
165,-32
166,-32
167,-32
168,150
169,150
170,-32
171,-32
172,150
173,150
174,-32
175,150
176,-26
177,150
178,-32
179,150
180,-32
181,-32
182,-32
183,-32
184,-32
185,-32
186,150
187,-26
188,-32
189,150
190,-32
191,-32
192,-32
193,-26
194,150
195,-32
196,-32
197,-26
198,150
199,-32
200,150
201,-32
202,150
203,150
204,150
205,-32
206,150
207,-32
208,150
209,150
210,-26
211,150
212,-32
213,150
214,150
215,-32
216,150
217,150
218,-32
219,-32
220,-32
221,-26
222,150
223,-32
224,150
225,-32
226,-32
227,-32
228,150
229,150
230,-32
231,-26
232,150
233,150
234,-32
235,150
236,-32
237,150
238,150
239,150
240,-32
241,-32
242,-32
243,-32
244,150
245,150
246,-32
247,150
248,150
249,150
250,150
251,-32
252,-26
253,-32
254,-32
255,-32
256,-32
257,-32
258,-32
259,150
260,-32
261,-32
262,-26
263,150
264,-32
265,-32
266,150
267,-32
268,150
269,150
270,-32
271,-32
272,150
273,150
274,-32
275,150
276,-32
277,-32
278,-32
279,-32
280,150
281,-32
282,-32
283,150
284,-32
285,150
286,150
287,150
288,-32
289,-32
290,-26
291,150
292,150
293,150
294,-26
295,150
296,150
297,150
298,150
299,150
300,150
301,-32
302,-32
303,-26
304,-32
305,-32
306,-32
307,150
308,150
309,-32
310,-32
311,150
312,150
313,150
314,-32
315,-32
316,150
317,150
318,150
319,-32
320,-32
321,150
322,-32
323,-32
324,150
325,-32
326,-32
327,150
328,150
329,-32
330,-32
331,-26
332,-32
333,150
334,150
335,-26
336,-32
337,150
338,-32
339,-26
340,150
341,150
342,-32
343,-32
344,150
345,150
346,150
347,-32
348,150
349,-32
350,-32
351,150
352,-26
353,150
354,-32
355,-32
356,-32
357,150
358,-32
359,-32
360,-32
361,-32
362,150
363,-26
364,150
365,-32
366,150
367,-32
368,150
369,150
370,-32
371,-32
372,150
373,150
374,-26
375,-32
376,-32
377,150
378,-32
379,-32
380,-32
381,150
382,150
383,-32
384,-32
385,150
386,-32
387,-32
388,-26
389,-32
390,150
391,150
392,-32
393,-32
394,-26
395,-26
396,150
397,-32
398,150
399,-32
400,150
401,150
402,-32
403,150
404,150
405,-32
406,150
407,-32
408,150
409,-32
410,-32
411,-26
412,150
413,-32
414,-32
415,-32
416,150
417,150
418,-32
419,150
420,150
421,-32
422,150
423,-32
424,-32
425,-32
426,-32
427,150
428,-32
429,-32
430,150
431,-32
432,150
433,150
434,150
435,-32
436,-32
437,150
438,-32
439,150
440,-32
441,-26
442,-32
443,150
444,-32
445,-32
446,-26
447,-32
448,150
449,-32
450,150
451,150
452,-26
453,-32
454,150
455,-32
456,-32
457,-32
458,-32
459,-26
460,-32
461,-32
462,-32
463,-32
464,-32
465,150
466,-32
467,150
468,-32
469,-32
470,-32
471,-32
472,-32
473,150
474,-32
475,150
476,150
477,-32
478,-32
479,-32
480,150
481,-32
482,150
483,-32
484,-32
485,-32
486,150
487,150
488,150
489,150
490,150
491,-32
492,-26
493,-32
494,-32
495,-32
496,-32
497,-32
498,-32
499,150
