,S++
0,142
1,26
2,74
3,50
4,124
5,136
6,20
7,114
8,-84
9,-100
10,-100
11,124
12,116
13,120
14,64
15,140
16,48
17,-82
18,78
19,-90
20,-98
21,-100
22,-6
23,-36
24,-106
25,-8
26,-60
27,88
28,90
29,68
30,-8
31,-46
32,-18
33,-84
34,148
35,-84
36,-78
37,84
38,24
39,-32
40,-80
41,110
42,118
43,-88
44,-86
45,-78
46,-72
47,104
48,-42
49,108
50,-80
51,-86
52,98
53,-92
54,-60
55,4
56,-66
57,-92
58,-74
59,-24
60,-102
61,-100
62,76
63,150
64,-104
65,-22
66,86
67,-100
68,132
69,-62
70,32
71,24
72,100
73,-102
74,-104
75,-64
76,-26
77,24
78,128
79,30
80,-74
81,-104
82,-44
83,-84
84,8
85,-76
86,-92
87,-76
88,-14
89,106
90,-68
91,138
92,0
93,-82
94,40
95,-58
96,132
97,-70
98,-84
99,-90
100,150
101,-106
102,60
103,-78
104,80
105,-104
106,116
107,150
108,74
109,-88
110,-112
111,-100
112,-66
113,-84
114,94
115,42
116,100
117,72
118,-58
119,134
120,-12
121,140
122,-78
123,138
124,-102
125,-74
126,-28
127,-58
128,-106
129,72
130,144
131,-64
132,138
133,-76
134,-72
135,110
136,-66
137,-26
138,-32
139,-8
140,-2
141,102
142,134
143,-54
144,142
145,-80
146,-66
147,68
148,-82
149,-82
150,120
151,-98
152,-76
153,88
154,-68
155,-52
156,-102
157,-40
158,-94
159,-50
160,46
161,-82
162,6
163,-74
164,106
165,46
166,-48
167,-58
168,66
169,-82
170,-98
171,-40
172,-50
173,-96
174,76
175,106
176,-110
177,-38
178,-80
179,-102
180,8
181,-86
182,-50
183,54
184,-14
185,22
186,-96
187,-94
188,86
189,150
190,106
191,-102
192,-72
193,82
194,84
195,-106
196,-58
197,-46
198,-94
199,58
200,-42
201,146
202,82
203,-34
204,92
205,-52
206,78
207,-86
208,-78
209,-86
210,-94
211,48
212,134
213,-84
214,-32
215,-110
216,10
217,-58
218,-94
219,-16
220,-36
221,-88
222,122
223,-100
224,48
225,-80
226,-56
227,62
228,128
229,-42
230,-106
231,142
232,140
233,-100
234,-62
235,132
236,-72
237,-62
238,130
239,-84
240,-10
241,-70
242,-82
243,-74
244,-96
245,104
246,-32
247,-110
248,-70
249,-52
250,-104
251,26
252,-80
253,120
254,46
255,-48
256,138
257,-36
258,-88
259,108
260,136
261,-74
262,-74
263,130
264,-102
265,-78
266,124
267,130
268,-54
269,70
270,-66
271,-66
272,-94
273,-42
274,-56
275,-78
276,-96
277,4
278,132
279,-106
280,-74
281,-68
282,-16
283,92
284,52
285,100
286,28
287,-84
288,114
289,-102
290,-98
291,150
292,150
293,-74
294,82
295,2
296,-90
297,-82
298,-104
299,68
300,-30
301,-76
302,-98
303,84
304,-108
305,84
306,-88
307,-92
308,-38
309,142
310,142
311,150
312,128
313,0
314,-30
315,96
316,16
317,124
318,-68
319,132
320,138
321,-66
322,108
323,84
324,-110
325,-88
326,-90
327,110
328,-102
329,-108
330,-72
331,-80
332,-46
333,-50
334,-86
335,-80
336,-104
337,-100
338,-54
339,-26
340,-82
341,18
342,-44
343,-88
344,-104
345,-76
346,-88
347,-88
348,40
349,-72
350,-58
351,-96
352,-42
353,56
354,138
355,150
356,-6
357,116
358,-80
359,40
360,142
361,-38
362,-72
363,-94
364,6
365,-66
366,-90
367,94
368,-68
369,-86
370,122
371,-34
372,-48
373,-42
374,134
375,102
376,-52
377,-98
378,-80
379,-4
380,-88
381,-98
382,-102
383,150
384,112
385,8
386,136
387,140
388,4
389,-68
390,92
391,-104
392,-104
393,96
394,-50
395,150
396,-76
397,-96
398,-30
399,-44
400,138
401,150
402,-102
403,-52
404,80
405,-54
406,-66
407,94
408,-102
409,150
410,-84
411,-48
412,-24
413,-28
414,116
415,50
416,-102
417,-36
418,-42
419,-88
420,-108
421,-54
422,-76
423,62
424,-46
425,-60
426,-84
427,84
428,110
429,-66
430,-104
431,-52
432,-76
433,102
434,72
435,98
436,-64
437,-108
438,128
439,-30
440,-52
441,-8
442,96
443,68
444,-78
445,150
446,-96
447,-68
448,98
449,-102
450,2
451,102
452,-16
453,-108
454,96
455,62
456,100
457,-10
458,108
459,-76
460,-58
461,-98
462,-84
463,-14
464,-88
465,-70
466,12
467,68
468,78
469,-104
470,-42
471,104
472,90
473,-50
474,-72
475,-84
476,-88
477,-72
478,-80
479,-56
480,-112
481,150
482,26
483,-110
484,-64
485,-112
486,-86
487,92
488,-44
489,-74
490,-82
491,-76
492,-28
493,-94
494,138
495,-70
496,-108
497,-6
498,-88
499,-44
