,BBL
0,2
1,34
2,104
3,16
4,16
5,66
6,20
7,22
8,16
9,-2
10,-2
11,22
12,84
13,16
14,-4
15,32
16,-16
17,56
18,4
19,22
20,-10
21,-2
22,28
23,22
24,66
25,8
26,46
27,32
28,22
29,10
30,10
31,-10
32,36
33,150
34,4
35,16
36,10
37,-4
38,28
39,8
40,4
41,26
42,2
43,4
44,8
45,16
46,60
47,16
48,-2
49,4
50,4
51,-8
52,8
53,20
54,14
55,4
56,-8
57,28
58,-2
59,28
60,10
61,86
62,8
63,28
64,2
65,4
66,16
67,22
68,2
69,-8
70,4
71,150
72,-8
73,10
74,16
75,22
76,-14
77,10
78,4
79,56
80,22
81,16
82,4
83,-2
84,28
85,8
86,-4
87,10
88,34
89,-2
90,4
91,-10
92,-14
93,-2
94,40
95,150
96,14
97,34
98,40
99,4
100,4
101,8
102,32
103,4
104,4
105,88
106,34
107,34
108,-4
109,10
110,10
111,154
112,2
113,16
114,2
115,22
116,-2
117,8
118,46
119,88
120,68
121,14
122,150
123,10
124,22
125,-2
126,4
127,-8
128,-2
129,4
130,16
131,22
132,154
133,-4
134,14
135,10
136,36
137,2
138,108
139,16
140,150
141,70
142,-2
143,-2
144,4
145,108
146,26
147,22
148,14
149,-10
150,8
151,34
152,80
153,14
154,-2
155,150
156,4
157,-10
158,-2
159,-2
160,8
161,22
162,132
163,150
164,16
165,-2
166,4
167,52
168,-2
169,-10
170,8
171,74
172,4
173,10
174,10
175,-2
176,10
177,10
178,-2
179,144
180,22
181,4
182,16
183,16
184,-8
185,22
186,-10
187,10
188,4
189,46
190,10
191,40
192,66
193,28
194,126
195,150
196,-2
197,4
198,-10
199,10
200,22
201,28
202,2
203,16
204,106
205,2
206,-4
207,4
208,14
209,2
210,154
211,-10
212,16
213,150
214,8
215,4
216,16
217,10
218,-10
219,10
220,10
221,28
222,4
223,-10
224,8
225,-8
226,16
227,96
228,-2
229,-2
230,-2
231,104
232,96
233,10
234,10
235,108
236,14
237,-2
238,4
239,32
240,38
241,-10
242,-8
243,4
244,-14
245,2
246,4
247,26
248,16
249,22
250,-14
251,16
252,22
253,150
254,58
255,34
256,2
257,16
258,10
259,4
260,20
261,10
262,14
263,-8
264,-8
265,-2
266,16
267,110
268,2
269,16
270,104
271,34
272,10
273,14
274,8
275,8
276,16
277,-14
278,32
279,14
280,4
281,-2
282,-4
283,-14
284,-2
285,-14
286,46
287,-2
288,-4
289,2
290,116
291,-2
292,10
293,22
294,-4
295,16
296,-4
297,20
298,32
299,10
300,32
301,-4
302,132
303,-16
304,10
305,14
306,2
307,-8
308,46
309,14
310,4
311,16
312,-4
313,46
314,16
315,2
316,22
317,20
318,-2
319,10
320,28
321,22
322,34
323,136
324,156
325,28
326,104
327,4
328,28
329,16
330,-4
331,4
332,16
333,84
334,26
335,48
336,28
337,32
338,22
339,14
340,4
341,-4
342,110
343,4
344,16
345,20
346,28
347,-4
348,28
349,106
350,150
351,34
352,-2
353,134
354,-4
355,88
356,38
357,16
358,4
359,28
360,-2
361,26
362,150
363,-14
364,16
365,8
366,16
367,16
368,42
369,14
370,116
371,-2
372,26
373,22
374,14
375,4
376,80
377,46
378,10
379,-4
380,132
381,-4
382,10
383,16
384,10
385,142
386,22
387,2
388,20
389,-8
390,132
391,10
392,14
393,-10
394,146
395,-2
396,-2
397,-2
398,-2
399,-4
400,56
401,28
402,140
403,-14
404,-10
405,-4
406,8
407,10
408,28
409,-2
410,150
411,-4
412,150
413,-4
414,16
415,16
416,4
417,-2
418,22
419,28
420,22
421,136
422,-8
423,10
424,50
425,-14
426,22
427,-2
428,150
429,-4
430,-2
431,124
432,22
433,10
434,154
435,4
436,34
437,4
438,14
439,22
440,8
441,-2
442,-8
443,14
444,4
445,150
446,150
447,16
448,140
449,34
450,54
451,-4
452,4
453,-14
454,32
455,2
456,104
457,144
458,-2
459,14
460,52
461,22
462,10
463,-4
464,10
465,4
466,4
467,150
468,-4
469,32
470,-8
471,16
472,34
473,4
474,20
475,22
476,4
477,-2
478,-2
479,10
480,14
481,40
482,150
483,28
484,28
485,28
486,16
487,2
488,20
489,40
490,-8
491,-2
492,40
493,-4
494,-8
495,142
496,26
497,10
498,4
499,8
