,S++
0,58
1,65
2,142
3,63
4,129
5,75
6,51
7,150
8,131
9,65
10,65
11,150
12,63
13,150
14,128
15,136
16,132
17,139
18,96
19,125
20,150
21,51
22,65
23,87
24,51
25,128
26,108
27,65
28,150
29,63
30,142
31,131
32,150
33,128
34,62
35,128
36,114
37,62
38,150
39,150
40,142
41,62
42,51
43,62
44,125
45,52
46,128
47,65
48,150
49,59
50,99
51,62
52,142
53,135
54,150
55,62
56,142
57,150
58,65
59,63
60,139
61,150
62,62
63,62
64,121
65,150
66,139
67,55
68,150
69,135
70,65
71,62
72,150
73,131
74,54
75,129
76,142
77,58
78,52
79,51
80,121
81,142
82,128
83,75
84,150
85,135
86,51
87,75
88,58
89,139
90,124
91,107
92,51
93,142
94,135
95,142
96,51
97,136
98,51
99,58
100,142
101,65
102,59
103,128
104,135
105,83
106,121
107,131
108,65
109,150
110,128
111,150
112,142
113,62
114,115
115,58
116,150
117,150
118,139
119,62
120,131
121,128
122,65
123,52
124,125
125,58
126,75
127,62
128,83
129,58
130,124
131,135
132,58
133,52
134,128
135,59
136,63
137,132
138,62
139,142
140,63
141,127
142,63
143,51
144,150
145,65
146,65
147,47
148,62
149,59
150,142
151,128
152,150
153,150
154,62
155,150
156,119
157,62
158,65
159,62
160,139
161,135
162,150
163,150
164,65
165,65
166,65
167,121
168,128
169,150
170,150
171,142
172,150
173,150
174,150
175,62
176,50
177,52
178,65
179,132
180,62
181,128
182,65
183,128
184,128
185,150
186,43
187,150
188,142
189,51
190,128
191,135
192,150
193,59
194,150
195,142
196,142
197,150
198,62
199,150
200,71
201,63
202,150
203,63
204,150
205,150
206,68
207,124
208,142
209,150
210,65
211,135
212,65
213,128
214,51
215,150
216,142
217,65
218,83
219,62
220,62
221,52
222,62
223,62
224,62
225,129
226,150
227,142
228,62
229,150
230,59
231,125
232,61
233,142
234,61
235,142
236,65
237,128
238,51
239,150
240,150
241,136
242,150
243,150
244,63
245,139
246,51
247,62
248,150
249,128
250,150
251,59
252,51
253,62
254,65
255,62
256,51
257,142
258,62
259,131
260,136
261,58
262,51
263,62
264,59
265,131
266,62
267,150
268,62
269,150
270,129
271,142
272,135
273,142
274,142
275,150
276,142
277,150
278,121
279,142
280,65
281,142
282,124
283,150
284,142
285,123
286,128
287,43
288,43
289,65
290,58
291,51
292,131
293,150
294,63
295,123
296,59
297,150
298,150
299,62
300,52
301,63
302,150
303,62
304,62
305,142
306,62
307,150
308,142
309,129
310,139
311,142
312,64
313,128
314,99
315,142
316,62
317,142
318,87
319,58
320,54
321,51
322,150
323,132
324,125
325,150
326,62
327,129
328,65
329,150
330,135
331,128
332,65
333,62
334,142
335,142
336,135
337,142
338,62
339,65
340,142
341,83
342,128
343,62
344,132
345,62
346,150
347,142
348,128
349,47
350,62
351,59
352,150
353,62
354,150
355,59
356,65
357,104
358,103
359,65
360,131
361,129
362,136
363,142
364,132
365,150
366,58
367,135
368,132
369,83
370,150
371,62
372,142
373,139
374,62
375,65
376,71
377,150
378,150
379,150
380,142
381,150
382,51
383,150
384,51
385,65
386,58
387,131
388,132
389,63
390,128
391,150
392,150
393,84
394,142
395,132
396,150
397,150
398,51
399,58
400,142
401,132
402,51
403,62
404,125
405,136
406,125
407,59
408,96
409,150
410,128
411,150
412,150
413,51
414,59
415,150
416,52
417,132
418,65
419,65
420,62
421,51
422,51
423,142
424,62
425,128
426,150
427,150
428,62
429,51
430,111
431,139
432,150
433,59
434,91
435,58
436,124
437,58
438,150
439,80
440,142
441,51
442,150
443,62
444,51
445,65
446,123
447,131
448,52
449,62
450,65
451,51
452,65
453,62
454,51
455,103
456,150
457,107
458,62
459,128
460,150
461,150
462,51
463,131
464,150
465,150
466,59
467,136
468,62
469,65
470,62
471,51
472,62
473,128
474,115
475,65
476,150
477,150
478,62
479,65
480,65
481,123
482,58
483,62
484,150
485,150
486,128
487,125
488,124
489,62
490,58
491,150
492,62
493,150
494,65
495,142
496,43
497,142
498,54
499,51
