,CoopPunishOpp,BullyOpp,BullyPunishOpp
0,50,-66,-66
1,50,-66,-66
2,50,-66,-66
3,50,-66,-66
4,50,-66,-62
5,50,-74,-66
6,50,-62,-62
7,50,-66,-74
8,50,-66,-74
9,50,-66,-66
10,50,-70,-62
11,50,-62,-66
12,50,-70,-66
13,50,-66,-62
14,50,-74,-66
15,50,-70,-66
16,50,-66,-62
17,50,-66,-66
18,50,-62,-70
19,50,-70,-70
20,50,-66,-74
21,50,-66,-66
22,50,-62,-66
23,50,-66,-74
24,50,-66,-66
25,50,-66,-62
26,50,-66,-66
27,50,-62,-66
28,50,-66,-66
29,50,-66,-70
30,50,-70,-66
31,50,-70,-70
32,50,-66,-74
33,50,-62,-62
34,50,-70,-70
35,50,-66,-66
36,50,-66,-66
37,50,-66,-66
38,50,-70,-74
39,50,-66,-66
40,50,-66,-66
41,50,-66,-66
42,50,-74,-70
43,50,-66,-66
44,50,-66,-70
45,50,-66,-66
46,50,-66,-70
47,50,-66,-74
48,50,-62,-70
49,50,-74,-66
50,50,-66,-66
51,50,-66,-66
52,50,-66,-66
53,50,-66,-66
54,50,-66,-66
55,50,-70,-66
56,50,-70,-74
57,50,-66,-66
58,50,-74,-74
59,50,-66,-62
60,50,-66,-66
61,50,-62,-66
62,50,-62,-62
63,50,-66,-66
64,50,-62,-66
65,50,-62,-70
66,50,-74,-66
67,50,-66,-66
68,50,-66,-70
69,50,-74,-74
70,50,-66,-62
71,50,-66,-62
72,50,-66,-66
73,50,-66,-66
74,50,-66,-74
75,50,-66,-66
76,50,-70,-70
77,50,-70,-62
78,50,-70,-70
79,50,-66,-62
80,50,-62,-62
81,50,-66,-62
82,50,-66,-66
83,50,-70,-66
84,50,-66,-74
85,50,-66,-62
86,50,-66,-66
87,50,-66,-66
88,50,-74,-70
89,50,-66,-70
90,50,-66,-66
91,50,-62,-62
92,50,-66,-66
93,50,-66,-62
94,50,-66,-74
95,50,-66,-70
96,50,-62,-66
97,50,-66,-62
98,50,-66,-66
99,50,-62,-66
100,50,-66,-66
101,50,-70,-66
102,50,-66,-62
103,50,-70,-66
104,50,-62,-62
105,50,-70,-66
106,50,-66,-66
107,50,-66,-66
108,50,-66,-66
109,50,-62,-66
110,50,-70,-66
111,50,-62,-62
112,50,-74,-74
113,50,-66,-62
114,50,-66,-66
115,50,-66,-66
116,50,-66,-66
117,50,-70,-70
118,50,-66,-74
119,50,-62,-66
120,50,-66,-66
121,50,-66,-74
122,50,-66,-66
123,50,-66,-70
124,50,-66,-66
125,50,-66,-70
126,50,-66,-66
127,50,-66,-66
128,50,-74,-66
129,50,-66,-70
130,50,-66,-70
131,50,-66,-74
132,50,-66,-66
133,50,-62,-66
134,50,-74,-74
135,50,-70,-74
136,50,-66,-70
137,50,-62,-66
138,50,-66,-66
139,50,-70,-66
140,50,-70,-66
141,50,-66,-62
142,50,-62,-62
143,50,-66,-70
144,50,-66,-70
145,50,-74,-66
146,50,-66,-66
147,50,-62,-66
148,50,-66,-66
149,50,-70,-74
150,50,-66,-70
151,50,-66,-62
152,50,-62,-62
153,50,-66,-66
154,50,-66,-70
155,50,-62,-66
156,50,-70,-74
157,50,-66,-66
158,50,-74,-74
159,50,-62,-66
160,50,-62,-66
161,50,-66,-62
162,50,-66,-66
163,50,-66,-66
164,50,-66,-70
165,50,-66,-66
166,50,-66,-62
167,50,-66,-66
168,50,-70,-66
169,50,-66,-66
170,50,-66,-66
171,50,-66,-66
172,50,-62,-62
173,50,-66,-70
