,Algaater
0,-50
1,8
2,-13
3,-65
4,-65
5,-33
6,-62
7,26
8,-55
9,8
10,-32
11,-49
12,55
13,-68
14,-48
15,42
16,-66
17,-28
18,53
19,-66
20,7
21,-31
22,52
23,-43
24,-20
25,43
26,-64
27,-43
28,-66
29,-67
30,8
31,-38
32,37
33,-70
34,-58
35,-62
36,-47
37,-22
38,-54
39,-60
40,31
41,14
42,-39
43,4
44,-34
45,-52
46,9
47,-32
48,29
49,-16
50,51
51,50
52,0
53,-59
54,43
55,-42
56,-52
57,54
58,8
59,-41
60,-60
61,-55
62,5
63,31
64,2
65,21
66,14
67,3
68,-66
69,33
70,-64
71,-30
72,26
73,-30
74,-55
75,-64
76,5
77,8
78,-22
79,29
80,-57
81,-57
82,52
83,-12
84,3
85,-39
86,-64
87,-5
88,-23
89,-20
90,38
91,-62
92,38
93,-28
94,-33
95,28
96,-24
97,-62
98,-41
99,-2
100,1
101,-61
102,5
103,13
104,-61
105,-62
106,-68
107,19
108,-68
109,-26
110,-2
111,-48
112,-65
113,8
114,-67
115,7
116,-26
117,-63
118,-59
119,50
120,-70
121,36
122,0
123,-36
124,-60
125,-62
126,52
127,7
128,-67
129,-60
130,-47
131,-59
132,-36
133,-66
134,21
135,-64
136,-38
137,38
138,53
139,-43
140,54
141,24
142,13
143,-3
144,50
145,-58
146,-60
147,26
148,-60
149,26
150,-33
151,50
152,-64
153,-65
154,-62
155,-53
156,44
157,-32
158,-16
159,-59
160,-10
161,13
162,44
163,-53
164,50
165,-65
166,33
167,-42
168,-22
169,-2
170,-66
171,-62
172,-62
173,-60
174,-60
175,-52
176,-62
177,40
178,-64
179,-57
180,53
181,-28
182,-66
183,51
184,-26
185,52
186,31
187,-42
188,8
189,-37
190,12
191,-60
192,-49
193,-6
194,-54
195,-50
196,-65
197,-11
198,34
199,55
200,-61
201,28
202,-63
203,-20
204,13
205,-74
206,-59
207,-29
208,-40
209,-66
210,-58
211,34
212,52
213,-67
214,-43
215,0
216,25
217,-6
218,2
219,11
220,-20
221,-18
222,-66
223,-57
224,54
225,-40
226,52
227,54
228,44
229,-66
230,44
231,54
232,54
233,11
234,51
235,11
236,-42
237,11
238,-49
239,-39
240,-52
241,-66
242,54
243,-61
244,-17
245,7
246,-15
247,42
248,-63
249,-63
250,42
251,53
252,-63
253,-52
254,-27
255,-57
256,-60
257,8
258,54
259,-38
260,10
261,50
262,-27
263,-36
264,-64
265,3
266,-51
267,-58
268,-28
269,52
270,-56
271,-22
272,53
273,11
274,-48
275,23
276,-28
277,-63
278,-61
279,-68
280,-69
281,33
282,26
283,-46
284,-39
285,-49
286,-70
287,-35
288,44
289,-63
290,54
291,-58
292,-66
293,-62
294,52
295,43
296,-66
297,-29
298,-66
299,54
300,-60
301,-54
302,-64
303,-70
304,25
305,-64
306,-65
307,-25
308,16
309,-56
310,27
311,-44
312,-50
313,-64
314,-64
315,-60
316,11
317,35
318,-26
319,55
320,-64
321,-55
322,-23
323,-57
324,-36
325,-62
326,-9
327,-10
328,-53
329,-66
330,-66
331,-63
332,54
333,-62
334,12
335,18
336,-63
337,42
338,-32
339,-61
340,51
341,52
342,50
343,-69
344,24
345,50
346,25
347,-2
348,-1
349,-54
350,-70
351,-55
352,-56
353,13
354,21
355,-62
356,31
357,-64
358,6
359,27
360,-31
361,-32
362,-60
363,-62
364,9
365,-64
366,53
367,-66
368,-29
369,-58
370,-28
371,-64
372,-59
373,-54
374,19
375,-61
376,25
377,26
378,8
379,-17
380,59
381,-61
382,9
383,-62
384,-61
385,-57
386,44
387,52
388,-66
389,-62
390,44
391,-60
392,8
393,-54
394,28
395,-61
396,44
397,-6
398,-50
399,53
400,29
401,-27
402,-74
403,-60
404,-54
405,-65
406,-64
407,54
408,53
409,-41
410,-59
411,-57
412,-8
413,-63
414,-54
415,6
416,-61
417,-58
418,-56
419,17
420,-34
421,52
422,-54
423,-65
424,-41
425,34
426,19
427,7
428,-27
429,-66
430,-48
431,-2
432,-66
433,-13
434,29
435,-50
436,-55
437,-27
438,-45
439,-30
440,-54
441,-32
442,-61
443,8
444,-65
445,10
446,-58
447,20
448,-26
449,53
450,53
451,-53
452,-37
453,27
454,-54
455,-5
456,52
457,54
458,-23
459,10
460,-30
461,-43
462,-45
463,-61
464,-32
465,-40
466,-31
467,27
468,17
469,-56
470,51
471,-65
472,55
473,-58
474,42
475,-58
476,10
477,-36
478,27
479,-63
480,50
481,-58
482,52
483,14
484,-59
485,-39
486,-58
487,9
488,-39
489,45
490,53
491,-19
492,-59
493,-55
494,-38
495,-64
496,-25
497,-63
498,12
499,-66
