,EEE
0,-92
1,2
2,-7
3,-78
4,-33
5,-24
6,13
7,27
8,4
9,11
10,18
11,20
12,31
13,-65
14,10
15,-42
16,11
17,19
18,-18
19,-18
20,-24
21,12
22,2
23,-41
24,-19
25,-94
26,-76
27,-71
28,21
29,6
30,-70
31,-66
32,45
33,-75
34,-87
35,-10
36,-77
37,-18
38,-6
39,-25
40,-2
41,13
42,10
43,38
44,-42
45,-23
46,8
47,38
48,36
49,41
50,34
51,-55
52,-36
53,-18
54,-66
55,-78
56,-80
57,-12
58,23
59,2
60,-16
61,41
62,-25
63,26
64,-58
65,-65
66,-12
67,-86
68,35
69,-94
70,-68
71,8
72,-18
73,-64
74,-16
75,26
76,12
77,50
78,-55
79,-2
80,-15
81,-18
82,-93
83,-92
84,46
85,-4
86,14
87,24
88,1
89,12
90,17
91,24
92,-56
93,38
94,22
95,-21
96,46
97,-53
98,-5
99,39
100,1
101,-50
102,26
103,-12
104,-57
105,-80
106,-40
107,-84
108,20
109,9
110,-6
111,-69
112,17
113,17
114,-38
115,20
116,-81
117,38
118,-54
119,-106
120,27
121,45
122,-72
123,-10
124,-92
125,-57
126,18
127,-85
128,-2
129,-58
130,-100
131,-32
132,-97
133,-81
134,-44
135,12
136,-31
137,-100
138,-3
139,8
140,-80
141,-82
142,-83
143,19
144,-47
145,-71
146,-18
147,-41
148,-48
149,40
150,16
151,22
152,-3
153,-36
154,-59
155,12
156,-54
157,-73
158,-4
159,-69
160,-42
161,-55
162,-51
163,-22
164,-73
165,46
166,-57
167,-85
168,-93
169,-25
170,-86
171,10
172,-38
173,14
174,-87
175,23
176,-72
177,-21
178,-24
179,24
180,7
181,-22
182,-43
183,36
184,-86
185,-4
186,12
187,-40
188,-19
189,-75
190,29
191,39
192,-7
193,38
194,34
195,15
196,-8
197,-76
198,-19
199,-58
200,-14
201,-53
202,-65
203,33
204,-67
205,-37
206,-76
207,4
208,-10
209,32
210,-109
211,-86
212,-3
213,-4
214,29
215,-22
216,9
217,8
218,-124
219,-104
220,20
221,39
222,-53
223,12
224,-48
225,-14
226,-39
227,-61
228,-66
229,19
230,12
231,-68
232,-35
233,-4
234,32
235,-23
236,3
237,-74
238,-45
239,-30
240,-76
241,48
242,12
243,-45
244,8
245,-19
246,-53
247,-10
248,-110
249,3
250,-42
251,1
252,-74
253,-93
254,-48
255,31
256,2
257,-10
258,14
259,27
260,34
261,-56
262,-21
263,2
264,-60
265,-9
266,11
267,-4
268,-61
269,48
270,38
271,-38
272,-73
273,-24
274,-48
275,-32
276,38
277,0
278,-4
279,-23
280,-27
281,-39
282,-47
283,-67
284,17
285,-3
286,21
287,22
288,-18
289,33
290,-75
291,-57
292,24
293,-67
294,-1
295,-30
296,-37
297,-79
298,-12
299,-43
300,-39
301,1
302,26
303,38
304,51
305,-60
306,4
307,28
308,30
309,30
310,-61
311,-68
312,34
313,-4
314,1
315,42
316,-83
317,-72
318,-24
319,0
320,-2
321,11
322,15
323,-14
324,-38
325,30
326,-30
327,2
328,-94
329,38
330,23
331,-86
332,30
333,23
334,-6
335,-44
336,46
337,17
338,45
339,-11
340,-8
341,-31
342,20
343,-117
344,7
345,-25
346,-8
347,43
348,-14
349,12
350,-7
351,24
352,19
353,42
354,12
355,-94
356,44
357,10
358,-4
359,2
360,-44
361,-24
362,8
363,-72
364,-111
365,-31
366,51
367,-92
368,-79
369,-56
370,25
371,4
372,12
373,18
374,30
375,-86
376,40
377,18
378,8
379,-34
380,-55
381,-54
382,11
383,42
384,-98
385,-4
386,-92
387,-106
388,-90
389,24
390,-136
391,22
392,-69
393,-67
394,9
395,12
396,13
397,0
398,33
399,-44
400,-76
401,-1
402,-88
403,-52
404,-112
405,4
406,-109
407,14
408,33
409,-43
410,7
411,40
412,-24
413,-59
414,-66
415,-15
416,-25
417,36
418,-109
419,-6
420,-19
421,-13
422,38
423,8
424,30
425,-32
426,-67
427,-83
428,-46
429,-5
430,-49
431,-56
432,-5
433,-42
434,41
435,-82
436,-60
437,-43
438,-39
439,-4
440,-56
441,-2
442,-17
443,9
444,-6
445,18
446,-61
447,6
448,-94
449,42
450,2
451,1
452,1
453,12
454,-60
455,-69
456,-68
457,21
458,25
459,-9
460,-14
461,-44
462,10
463,-2
464,-60
465,-84
466,-37
467,37
468,22
469,-4
470,-97
471,30
472,15
473,-52
474,-19
475,-38
476,-80
477,14
478,-7
479,-47
480,15
481,-64
482,-57
483,7
484,14
485,39
486,-31
487,-18
488,-82
489,-68
490,-73
491,19
492,-78
493,27
494,-13
495,-18
496,15
497,-55
498,-72
499,-88
