,BBL
0,44
1,47
2,47
3,-13
4,47
5,-5
6,-13
7,47
8,44
9,47
10,-13
11,47
12,47
13,47
14,47
15,47
16,44
17,-13
18,44
19,-13
20,47
21,44
22,47
23,-13
24,47
25,-13
26,47
27,47
28,47
29,47
30,47
31,47
32,47
33,44
34,-13
35,47
36,47
37,47
38,47
39,47
40,-13
41,47
42,47
43,44
44,-13
45,55
46,47
47,-13
48,44
49,-13
50,47
51,47
52,47
53,-13
54,47
55,47
56,47
57,44
58,47
59,47
60,-13
61,44
62,47
63,47
64,47
65,47
66,47
67,47
68,44
69,47
70,-13
71,47
72,47
73,47
74,44
75,47
76,-13
77,47
78,47
79,47
80,47
81,-13
82,47
83,47
84,47
85,44
86,47
87,-13
88,47
89,47
90,47
91,47
92,47
93,47
94,47
95,-13
96,47
97,47
98,47
99,47
100,47
101,47
102,44
103,44
104,-13
105,47
106,-13
107,47
108,47
109,47
110,44
111,47
112,47
113,47
114,47
115,47
116,-13
117,-13
118,-13
119,47
120,44
121,47
122,-13
123,47
124,47
125,47
126,-13
127,-13
128,44
129,-13
130,-13
131,47
132,47
133,47
134,47
135,47
136,-13
137,47
138,47
139,44
140,47
141,47
142,-13
143,47
144,47
145,-13
146,47
147,47
148,47
149,47
150,-13
151,47
152,47
153,47
154,44
155,-13
156,47
157,47
158,47
159,47
160,47
161,47
162,47
163,47
164,-13
165,47
166,-13
167,47
168,-13
169,47
170,47
171,47
172,44
173,55
174,-13
175,47
176,47
177,47
178,47
179,-13
180,47
181,47
182,47
183,44
184,47
185,-13
186,-13
187,44
188,44
189,47
190,-13
191,44
192,47
193,47
194,47
195,47
196,47
197,47
198,47
199,-13
200,47
201,44
202,-13
203,47
204,47
205,-13
206,47
207,47
208,44
209,47
210,44
211,47
212,47
213,47
214,47
215,47
216,47
217,47
218,-13
219,47
220,47
221,44
222,-13
223,47
224,44
225,47
226,47
227,47
228,47
229,47
230,47
231,47
232,47
233,44
234,47
235,-13
236,44
237,47
238,47
239,44
240,-13
241,-13
242,47
243,47
244,47
245,44
246,47
247,47
248,47
249,47
250,47
251,-13
252,44
253,47
254,47
255,-13
256,-13
257,44
258,-13
259,47
260,47
261,-13
262,47
263,47
264,47
265,44
266,44
267,47
268,-13
269,47
270,47
271,44
272,-13
273,47
274,47
275,44
276,47
277,47
278,-13
279,47
280,47
281,-13
282,47
283,-13
284,-13
285,-13
286,47
287,47
288,-13
289,47
290,47
291,47
292,-13
293,47
294,47
295,47
296,-13
297,47
298,47
299,47
300,47
301,44
302,-13
303,55
304,47
305,47
306,-13
307,44
308,47
309,47
310,47
311,47
312,47
313,-13
314,47
315,-13
316,47
317,44
318,47
319,47
320,-13
321,47
322,44
323,44
324,-13
325,47
326,47
327,47
328,44
329,47
330,47
331,-13
332,47
333,-13
334,47
335,-13
336,-13
337,47
338,47
339,47
340,47
341,44
342,44
343,47
344,47
345,47
346,47
347,47
348,47
349,47
350,44
351,47
352,44
353,47
354,47
355,47
356,44
357,47
358,47
359,-13
360,47
361,47
362,47
363,-13
364,-13
365,44
366,47
367,44
368,44
369,47
370,47
371,47
372,47
373,44
374,47
375,47
376,47
377,47
378,47
379,47
380,47
381,47
382,47
383,44
384,47
385,47
386,47
387,-13
388,47
389,47
390,47
391,-13
392,44
393,47
394,-13
395,-13
396,-13
397,47
398,47
399,47
400,44
401,44
402,47
403,47
404,44
405,47
406,47
407,47
408,-13
409,47
410,47
411,44
412,47
413,44
414,44
415,47
416,47
417,-13
418,47
419,44
420,47
421,-13
422,-13
423,47
424,44
425,47
426,47
427,-13
428,-13
429,47
430,47
431,-13
432,-13
433,47
434,47
435,47
436,-13
437,47
438,47
439,-13
440,47
441,47
442,47
443,47
444,47
445,47
446,47
447,47
448,-13
449,44
450,47
451,47
452,47
453,47
454,44
455,47
456,-13
457,-13
458,47
459,47
460,47
461,-13
462,47
463,47
464,47
465,47
466,47
467,47
468,-13
469,-13
470,44
471,47
472,47
473,47
474,47
475,47
476,44
477,47
478,47
479,47
480,44
481,-13
482,44
483,47
484,47
485,47
486,-13
487,-13
488,-13
489,47
490,47
491,-13
492,47
493,47
494,47
495,-13
496,47
497,47
498,-13
499,-13
