,S++
0,8
1,26
2,-7
3,-14
4,-13
5,-8
6,-3
7,23
8,0
9,19
10,-2
11,28
12,31
13,-37
14,18
15,-26
16,15
17,31
18,-22
19,6
20,24
21,0
22,30
23,-37
24,-19
25,-10
26,-104
27,17
28,41
29,-2
30,-34
31,-14
32,49
33,13
34,-83
35,18
36,-13
37,-10
38,-2
39,-9
40,-30
41,21
42,-2
43,38
44,-6
45,-15
46,8
47,14
48,0
49,29
50,6
51,-23
52,-24
53,-38
54,-10
55,10
56,8
57,20
58,15
59,26
60,12
61,41
62,-5
63,2
64,-26
65,-45
66,-12
67,18
68,27
69,-22
70,68
71,-8
72,-6
73,-32
74,-32
75,26
76,12
77,50
78,-43
79,-6
80,5
81,-10
82,-9
83,-16
84,42
85,8
86,14
87,36
88,-3
89,0
90,17
91,12
92,20
93,26
94,18
95,-25
96,42
97,35
98,-13
99,51
100,-11
101,6
102,26
103,24
104,-17
105,-36
106,-40
107,-12
108,28
109,25
110,-2
111,23
112,-7
113,41
114,-26
115,16
116,-25
117,38
118,26
119,2
120,39
121,49
122,0
123,-22
124,-16
125,-1
126,14
127,-57
128,10
129,18
130,-104
131,-12
132,-117
133,-25
134,-16
135,36
136,-23
137,4
138,13
139,20
140,68
141,-114
142,17
143,7
144,9
145,25
146,-70
147,-17
148,-108
149,44
150,44
151,18
152,17
153,-20
154,37
155,12
156,14
157,15
158,8
159,-1
160,-42
161,-27
162,-15
163,-6
164,39
165,46
166,-17
167,-49
168,-29
169,-5
170,22
171,18
172,-18
173,30
174,-95
175,27
176,0
177,15
178,-36
179,36
180,35
181,-10
182,-15
183,36
184,6
185,4
186,12
187,-36
188,-31
189,-27
190,17
191,35
192,-7
193,26
194,18
195,39
196,12
197,4
198,17
199,14
200,18
201,-41
202,-1
203,37
204,5
205,-53
206,-104
207,-4
208,-18
209,40
210,-37
211,-38
212,1
213,-40
214,29
215,-14
216,17
217,4
218,-20
219,-60
220,16
221,35
222,-25
223,36
224,12
225,-2
226,-59
227,3
228,2
229,23
230,12
231,-4
232,-11
233,4
234,28
235,-15
236,15
237,-18
238,-25
239,14
240,-32
241,36
242,48
243,-1
244,8
245,-19
246,11
247,10
248,-114
249,-1
250,-22
251,9
252,-46
253,-85
254,-12
255,43
256,14
257,-10
258,6
259,11
260,46
261,-60
262,-41
263,30
264,-4
265,3
266,3
267,4
268,-53
269,48
270,38
271,-30
272,-53
273,-20
274,-12
275,-16
276,26
277,12
278,4
279,-27
280,-35
281,1
282,-27
283,1
284,29
285,-31
286,13
287,10
288,2
289,37
290,37
291,-13
292,24
293,-23
294,7
295,-10
296,-89
297,17
298,0
299,5
300,21
301,-3
302,18
303,26
304,47
305,-32
306,8
307,32
308,10
309,42
310,19
311,-28
312,34
313,-4
314,9
315,50
316,-3
317,0
318,12
319,36
320,18
321,-9
322,39
323,18
324,22
325,-2
326,-34
327,6
328,2
329,26
330,19
331,-58
332,-2
333,31
334,-26
335,-16
336,46
337,29
338,49
339,45
340,8
341,-43
342,16
343,-85
344,7
345,-17
346,0
347,43
348,-38
349,12
350,5
351,28
352,7
353,22
354,12
355,-118
356,52
357,34
358,8
359,-10
360,-16
361,-32
362,4
363,24
364,-31
365,-11
366,47
367,20
368,5
369,-20
370,25
371,-4
372,-24
373,10
374,38
375,-6
376,44
377,2
378,16
379,-10
380,-23
381,-14
382,19
383,22
384,54
385,8
386,-48
387,38
388,58
389,24
390,-92
391,22
392,-57
393,77
394,17
395,12
396,9
397,0
398,37
399,-52
400,28
401,7
402,-12
403,-20
404,-20
405,32
406,-53
407,18
408,37
409,-7
410,7
411,32
412,-36
413,-3
414,-42
415,-11
416,-53
417,36
418,-17
419,30
420,-7
421,-5
422,38
423,-44
424,22
425,-36
426,17
427,-19
428,6
429,19
430,-33
431,-4
432,-41
433,-2
434,53
435,-10
436,-108
437,5
438,1
439,8
440,8
441,-6
442,35
443,-11
444,-10
445,10
446,-93
447,-14
448,38
449,34
450,-6
451,9
452,1
453,0
454,-48
455,-37
456,8
457,13
458,21
459,-9
460,14
461,-4
462,22
463,-2
464,-12
465,36
466,3
467,45
468,18
469,16
470,-13
471,10
472,39
473,-8
474,-31
475,-18
476,0
477,14
478,9
479,-15
480,-25
481,-88
482,-25
483,-5
484,2
485,51
486,-19
487,10
488,-42
489,24
490,-21
491,19
492,-26
493,23
494,-45
495,-2
496,27
497,-7
498,-96
499,-44
