,BBL
0,-18
1,-35
2,-54
3,-25
4,-47
5,11
6,47
7,-50
8,-57
9,-35
10,-35
11,-50
12,-25
13,-50
14,-56
15,-52
16,-48
17,-41
18,-12
19,-43
20,-50
21,47
22,-35
23,-1
24,47
25,-56
26,-24
27,-35
28,-50
29,-25
30,-54
31,-57
32,-50
33,-56
34,-34
35,-56
36,-22
37,-34
38,-50
39,-50
40,-54
41,-34
42,47
43,-22
44,-43
45,44
46,-56
47,-35
48,-50
49,-21
50,-13
51,-34
52,-54
53,-49
54,-50
55,-22
56,-54
57,-50
58,-35
59,-25
60,-41
61,-50
62,-22
63,-34
64,-51
65,-50
66,-41
67,31
68,-50
69,-37
70,-35
71,-22
72,-50
73,-57
74,-14
75,-47
76,-54
77,-18
78,44
79,47
80,-51
81,-54
82,-32
83,11
84,-50
85,-37
86,47
87,11
88,-18
89,-41
90,-40
91,-21
92,47
93,-54
94,-49
95,-54
96,47
97,-52
98,47
99,-18
100,-54
101,-35
102,-21
103,-56
104,-37
105,3
106,-27
107,-57
108,-35
109,-50
110,-56
111,-50
112,-54
113,-22
114,-29
115,-18
116,-50
117,-50
118,-41
119,-22
120,-57
121,-56
122,-35
123,44
124,-43
125,-18
126,11
127,-22
128,3
129,-18
130,-52
131,-37
132,-18
133,44
134,-32
135,-21
136,-25
137,-48
138,-34
139,-54
140,-25
141,-41
142,-25
143,47
144,-50
145,-35
146,-35
147,39
148,-22
149,-21
150,-54
151,-56
152,-50
153,-50
154,-34
155,-50
156,-33
157,-22
158,-35
159,-22
160,-41
161,-49
162,-50
163,-50
164,-35
165,-35
166,-35
167,-51
168,-56
169,-50
170,-50
171,-54
172,-50
173,-50
174,-50
175,-22
176,-10
177,44
178,-35
179,-48
180,-22
181,-56
182,-35
183,-56
184,-32
185,-50
186,43
187,-50
188,-54
189,47
190,-56
191,-49
192,-50
193,-21
194,-50
195,-54
196,-54
197,-50
198,-34
199,-50
200,15
201,-25
202,-50
203,-25
204,-50
205,-50
206,16
207,-52
208,-54
209,-50
210,-35
211,-49
212,-35
213,-56
214,47
215,-50
216,-54
217,-35
218,3
219,-22
220,-34
221,44
222,-22
223,-22
224,-22
225,-47
226,-50
227,-54
228,-34
229,-50
230,-21
231,-43
232,-31
233,-54
234,-31
235,-54
236,-35
237,-56
238,47
239,-50
240,-50
241,-52
242,-50
243,-50
244,23
245,-41
246,47
247,-22
248,-50
249,-44
250,-50
251,-21
252,47
253,-34
254,-35
255,-22
256,47
257,-54
258,-22
259,-57
260,-52
261,-18
262,47
263,-22
264,-21
265,-57
266,-22
267,-50
268,-22
269,-50
270,-47
271,-54
272,-37
273,-54
274,-54
275,-50
276,-54
277,-50
278,-51
279,-54
280,-35
281,-54
282,-40
283,-50
284,-54
285,-37
286,-56
287,43
288,43
289,-35
290,-18
291,47
292,-57
293,-50
294,-25
295,-37
296,-21
297,-50
298,-50
299,-22
300,44
301,-25
302,-50
303,-22
304,-22
305,-54
306,-22
307,-50
308,-54
309,-47
310,-41
311,-54
312,-32
313,-56
314,-13
315,-54
316,-34
317,-54
318,-1
319,-18
320,-14
321,47
322,-50
323,-48
324,-43
325,-50
326,-34
327,-47
328,-35
329,-50
330,-49
331,-56
332,-35
333,-22
334,-54
335,-54
336,-37
337,-54
338,-22
339,-35
340,-54
341,3
342,-56
343,-22
344,-48
345,-22
346,-50
347,-54
348,-56
349,39
350,-34
351,-21
352,-50
353,-22
354,-50
355,-21
356,-35
357,-20
358,-17
359,-35
360,-57
361,-47
362,-52
363,-54
364,-48
365,-50
366,-18
367,-49
368,-48
369,3
370,-50
371,-22
372,-54
373,-41
374,-34
375,-35
376,15
377,-50
378,-50
379,-50
380,-54
381,-50
382,47
383,-50
384,47
385,-35
386,-18
387,-57
388,-48
389,-25
390,-56
391,-50
392,-50
393,0
394,-54
395,-48
396,-50
397,-50
398,47
399,-18
400,-54
401,-48
402,47
403,-22
404,-43
405,-52
406,-43
407,-21
408,-12
409,-50
410,-56
411,-50
412,-50
413,47
414,-21
415,-50
416,44
417,-48
418,-35
419,-35
420,-22
421,47
422,47
423,-54
424,-22
425,-56
426,-50
427,-50
428,-22
429,47
430,-25
431,-41
432,-50
433,-21
434,-5
435,-18
436,-40
437,-18
438,-50
439,4
440,-54
441,47
442,-50
443,-34
444,47
445,-35
446,-37
447,-57
448,44
449,-34
450,-35
451,47
452,-35
453,-22
454,47
455,-17
456,-50
457,-21
458,-22
459,-56
460,-50
461,-50
462,47
463,-57
464,-50
465,-50
466,27
467,-52
468,-34
469,-35
470,-22
471,47
472,-34
473,-56
474,-29
475,-35
476,-50
477,-50
478,-22
479,-35
480,-35
481,-37
482,-18
483,-34
484,-50
485,-50
486,-56
487,-43
488,-52
489,-22
490,-18
491,-50
492,-22
493,-50
494,-35
495,-54
496,43
497,-54
498,-14
499,47
