,CoopPunishOpp,BullyOpp,BullyPunishOpp
0,-34,-54,-50
1,47,-54,-54
2,47,-54,-54
3,47,-54,-50
4,44,-54,-54
5,44,-54,-50
6,47,-54,-54
7,-34,-50,-54
8,47,-50,-50
9,-34,-54,-54
10,47,-50,-50
11,47,-54,-54
12,47,-54,-50
13,-34,-54,-54
14,44,-54,-54
15,47,-54,-54
16,-34,-50,-50
17,47,-54,-54
18,47,-54,-54
19,47,-50,-50
20,44,-54,-50
21,-34,-50,-50
22,47,-50,-50
23,47,-50,-54
24,47,-54,-54
25,47,-54,-54
26,-34,-54,-50
27,47,-50,-54
28,47,-50,-54
29,-34,-50,-54
30,47,-54,-54
31,47,-50,-50
32,47,-54,-54
33,47,-54,-54
34,-34,-50,-54
35,47,-54,-50
36,44,-54,-54
37,47,-54,-50
38,47,-54,-54
39,-34,-54,-50
40,47,-54,-54
41,47,-54,-50
42,47,-54,-50
43,-34,-50,-50
44,44,-54,-54
45,47,-54,-54
46,47,-54,-54
47,47,-54,-54
48,47,-54,-54
49,47,-54,-54
50,47,-50,-50
51,47,-54,-54
52,47,-50,-50
53,47,-50,-54
54,-34,-54,-54
55,47,-50,-54
56,47,-50,-50
57,-34,-50,-50
58,44,-50,-50
59,47,-50,-54
60,47,-54,-50
61,47,-54,-54
62,-34,-50,-54
63,47,-54,-50
64,47,-54,-50
65,47,-54,-54
66,47,-54,-54
67,47,-54,-54
68,-34,-50,-50
69,47,-54,-54
70,44,-54,-54
71,-34,-50,-50
72,47,-50,-54
73,47,-54,-50
74,47,-54,-50
75,47,-54,-50
76,47,-54,-54
77,47,-54,-54
78,47,-50,-54
79,47,-54,-50
80,47,-54,-54
81,47,-54,-54
82,47,-50,-54
83,47,-50,-54
84,-34,-54,-50
85,44,-50,-54
86,47,-50,-54
87,47,-50,-50
88,47,-54,-54
89,47,-54,-54
90,-34,-50,-54
91,47,-54,-54
92,47,-54,-50
93,47,-50,-54
94,-34,-50,-54
95,47,-54,-54
96,47,-54,-50
97,47,-54,-50
98,47,-50,-54
99,44,-54,-54
100,47,-54,-54
101,47,-50,-50
102,-34,-54,-54
103,47,-54,-54
104,47,-54,-54
105,-34,-50,-50
106,-34,-50,-50
107,47,-50,-54
108,47,-54,-54
109,47,-50,-50
110,47,-54,-50
111,-34,-54,-54
112,47,-50,-50
113,47,-54,-50
114,-34,-50,-50
115,47,-50,-54
116,47,-50,-50
117,47,-50,-50
118,44,-50,-50
119,47,-54,-54
120,-34,-50,-54
121,-34,-50,-50
122,47,-50,-50
123,47,-54,-54
124,47,-54,-50
125,47,-50,-50
126,47,-50,-54
127,47,-50,-50
128,47,-54,-54
129,47,-50,-54
130,47,-54,-50
131,44,-54,-54
132,44,-54,-54
133,44,-54,-54
134,47,-54,-50
135,47,-50,-54
136,-34,-50,-54
137,-34,-50,-50
138,-34,-50,-50
139,-34,-50,-54
140,47,-50,-50
141,47,-50,-54
142,47,-50,-50
143,47,-50,-50
144,-34,-54,-50
145,47,-50,-54
146,47,-54,-50
147,44,-54,-54
148,44,-54,-54
149,-34,-50,-50
150,47,-50,-50
151,47,-54,-54
152,-34,-54,-54
153,-34,-50,-54
154,47,-50,-50
155,47,-50,-50
156,47,-50,-54
157,-34,-50,-54
158,-34,-50,-54
159,47,-54,-54
160,44,-54,-54
161,47,-54,-54
162,47,-50,-54
163,47,-50,-50
164,47,-54,-54
165,-34,-50,-50
166,-34,-50,-50
167,47,-50,-54
168,47,-54,-50
169,-34,-54,-50
170,47,-50,-54
171,47,-54,-50
172,44,-54,-50
173,47,-54,-54
174,47,-50,-50
175,47,-50,-54
176,-34,-50,-50
177,-34,-50,-54
178,-34,-50,-50
179,47,-50,-54
180,47,-54,-54
181,47,-54,-54
182,47,-50,-54
183,47,-54,-50
184,-34,-54,-50
185,47,-54,-54
186,-34,-50,-50
187,44,-50,-54
188,44,-54,-54
189,-34,-54,-50
190,-34,-54,-54
