,EEE
0,-28
1,-12
2,-79
3,-7
4,-73
5,11
6,22
7,26
8,-16
9,8
10,-42
11,-22
12,61
13,-87
14,-133
15,-117
16,-49
17,-41
18,-85
19,-37
20,-34
21,-14
22,-48
23,-40
24,-68
25,36
26,-83
27,45
28,-13
29,-89
30,-111
31,-35
32,33
33,25
34,-47
35,-67
36,-59
37,-91
38,-57
39,-93
40,-18
41,-2
42,-86
43,26
44,-52
45,-4
46,71
47,-81
48,-73
49,75
50,-10
51,-58
52,-97
53,-85
54,-44
55,-52
56,-88
57,4
58,-40
59,-28
60,35
61,11
62,-17
63,-53
64,-19
65,5
66,-67
67,-43
68,-85
69,43
70,-13
71,-1
72,-76
73,-80
74,25
75,45
76,-40
77,-76
78,-108
79,-60
80,12
81,-60
82,14
83,-30
84,-35
85,-67
86,0
87,-44
88,-49
89,7
90,-46
91,-26
92,-18
93,-10
94,-74
95,-58
96,-98
97,-114
98,36
99,4
100,-81
101,39
102,-93
103,-25
104,-7
105,-19
106,28
107,-36
108,3
109,-13
110,-55
111,5
112,-41
113,-37
114,17
115,-87
116,-16
117,-92
118,-24
119,4
120,-68
121,0
122,-81
123,35
124,-33
125,-33
126,8
127,-80
128,-26
129,-22
130,-47
131,-23
132,-61
133,-37
134,-78
135,-42
136,-45
137,-21
138,-6
139,-26
140,-64
141,8
142,-58
143,18
144,14
145,30
146,32
147,52
148,-88
149,-8
150,27
151,15
152,-64
153,-32
154,-98
155,-62
156,-42
157,-58
158,-59
159,-47
160,-87
161,25
162,-52
163,-72
164,17
165,-79
166,20
167,28
168,-27
169,-27
170,-74
171,-86
172,-22
173,-58
174,46
175,46
176,-4
177,-64
178,12
179,-96
180,-2
181,-82
182,-122
183,-6
184,-52
185,-36
186,7
187,-85
188,-16
189,-88
190,-36
191,-80
192,-22
193,-94
194,-86
195,2
196,-29
197,7
198,-88
199,4
200,24
201,-52
202,-80
203,20
204,23
205,-77
206,-73
207,-17
208,7
209,35
210,11
211,-61
212,17
213,29
214,23
215,-77
216,4
217,-60
218,-108
219,0
220,-32
221,-28
222,-88
223,-32
224,-97
225,-53
226,-49
227,-29
228,-3
229,-11
230,-46
231,-58
232,-89
233,23
234,-9
235,-69
236,-63
237,-55
238,-39
239,1
240,-69
241,3
242,-98
243,-114
244,-11
245,-15
246,-84
247,60
248,-16
249,-12
250,-34
251,-78
252,-83
253,-59
254,-68
255,-52
256,40
257,20
258,11
259,-65
260,-62
261,-86
262,-40
263,-76
264,-60
265,-20
266,-35
267,-63
268,-22
269,-34
270,37
271,21
272,9
273,-71
274,17
275,29
276,-75
277,-55
278,48
279,-84
280,-4
281,-92
282,-44
283,-28
284,-77
285,-45
286,-54
287,-74
288,-15
289,-35
290,-11
291,9
292,-23
293,-35
294,-32
295,-48
296,41
297,45
298,-98
299,-90
300,44
301,-92
302,0
303,-20
304,-26
305,-14
306,11
307,-1
308,-65
309,-81
310,-20
311,8
312,-40
313,-88
314,-51
315,-19
316,-2
317,2
318,-7
319,-31
320,-46
321,-38
322,1
323,-75
324,-73
325,-93
326,-55
327,-91
328,-79
329,-51
330,19
331,-21
332,-57
333,15
334,4
335,-88
336,-44
337,16
338,-24
339,-32
340,-46
341,-42
342,-80
343,-68
344,12
345,-72
346,-18
347,6
348,-63
349,33
350,-39
351,-39
352,-29
353,-65
354,-79
355,17
356,11
357,31
358,-85
359,-5
360,-12
361,-88
362,0
363,-24
364,14
365,-22
366,21
367,-91
368,-3
369,-95
370,-105
371,23
372,-6
373,-74
374,-104
375,-112
376,-37
377,-85
378,12
379,24
380,-40
381,-40
382,52
383,44
384,40
385,24
386,-26
387,-54
388,-23
389,-71
390,11
391,-5
392,-23
393,-59
394,-7
395,-79
396,40
397,32
398,-70
399,-46
400,-38
401,-62
402,-3
403,-11
404,-36
405,-52
406,-65
407,19
408,-56
409,-12
410,-7
411,-55
412,-90
413,58
414,-67
415,-3
416,-51
417,-19
418,-72
419,-20
420,-89
421,7
422,-76
423,40
424,-99
425,-83
426,25
427,17
428,10
429,-46
430,-47
431,-27
432,12
433,-8
434,-32
435,-28
436,-22
437,-6
438,-37
439,-41
440,-86
441,46
442,-90
443,-10
444,-13
445,-65
446,2
447,-6
448,-2
449,-62
450,-68
451,44
452,-11
453,-55
454,-2
455,-46
456,28
457,8
458,-114
459,-58
460,-32
461,-20
462,-25
463,-45
464,-51
465,-23
466,-28
467,-60
468,9
469,-71
470,7
471,-49
472,-18
473,-6
474,-26
475,-2
476,-4
477,-32
478,-50
479,-38
480,-78
481,-38
482,1
483,13
484,-101
485,-61
486,-53
487,-77
488,-11
489,-71
490,-26
491,-62
492,-18
493,-54
494,-51
495,-75
496,45
497,-83
498,-81
499,-49
500,-40
501,-104
502,-30
503,-10
504,-3
505,-47
506,-30
507,-38
508,-60
509,-36
510,7
511,-37
512,-23
513,-59
514,-87
515,1
516,-13
517,-69
518,37
519,37
520,-17
521,-45
522,-20
523,-24
524,36
525,-84
526,42
527,50
528,-36
529,-32
530,-76
531,8
532,-90
533,46
534,12
535,4
536,40
537,8
538,35
539,-65
540,-58
541,-10
542,-23
543,-35
544,-66
545,-54
546,11
547,-57
548,-57
549,-21
550,-57
551,-29
552,-68
553,8
554,14
555,-66
556,17
557,21
558,-56
559,-36
560,-61
561,-101
562,-88
563,-8
564,-17
565,-25
566,-86
567,2
568,13
569,-83
570,-13
571,-13
572,-49
573,-93
574,-87
575,61
576,-31
577,-23
578,9
579,-59
580,-90
581,-74
582,-53
583,-57
584,-105
585,-1
586,-70
587,-14
588,-27
589,-63
590,-44
591,-88
592,-45
593,-33
594,-31
595,-67
596,-60
597,-108
598,-81
599,-21
600,-45
601,-17
602,-41
603,19
604,-32
605,-12
606,-79
607,25
608,39
609,35
610,-57
611,-13
612,-67
613,-7
614,-16
615,-80
616,-34
617,-34
618,46
619,46
620,-20
621,-40
622,-10
623,-14
624,-36
625,-8
626,-91
627,-3
628,-73
629,-33
630,2
631,6
632,-41
633,-61
634,-17
635,-5
636,19
637,19
638,-68
639,-20
640,32
641,8
642,26
643,-94
644,-37
645,-17
646,-47
647,-59
648,-15
649,-23
650,43
651,-89
652,-51
653,-31
654,-100
655,-92
656,6
657,2
658,-35
659,-83
660,-1
661,-9
662,-19
663,-63
664,-35
665,-71
666,-85
667,-5
668,-20
669,-72
670,-49
671,-57
672,22
673,10
674,8
675,-76
676,-69
677,3
678,-92
679,44
680,-16
681,-8
682,-34
683,-10
684,-97
685,-9
686,-63
687,-83
688,-55
689,-51
690,11
691,-17
692,-66
693,-26
694,16
695,-88
696,-93
697,-77
698,26
699,18
700,24
701,16
702,-74
703,-18
704,-28
705,-40
706,4
707,-72
708,36
709,12
710,-35
711,-43
712,-31
713,-43
714,19
715,31
716,-40
717,-104
718,-64
719,-56
720,-90
721,14
722,-89
723,-29
724,-27
725,-59
726,-36
727,-104
728,19
729,43
730,-106
731,-46
732,-35
733,-71
734,-78
735,-58
736,15
737,-93
738,21
739,-47
740,-18
741,-22
742,3
743,-73
744,-20
745,-84
746,-45
747,15
748,-27
749,-27
750,-62
751,-86
752,8
753,16
754,21
755,25
756,-114
757,10
758,-45
759,-57
760,-101
761,-37
762,-83
763,-51
764,-82
765,10
766,-44
767,-52
768,-90
769,2
770,-17
771,-81
772,-68
773,-84
774,-19
775,-55
776,-63
777,-55
778,-25
779,3
780,-49
781,-17
782,-22
783,2
784,-48
785,-64
786,-60
787,-56
788,-38
789,-62
790,8
791,-52
792,-5
793,-65
794,-23
795,9
796,-57
797,-1
798,-44
799,-32
800,-6
801,-34
802,-25
803,-61
804,39
805,35
806,-92
807,-4
808,9
809,1
810,-86
811,-2
812,-15
813,-15
814,-21
815,-45
816,-27
817,-59
818,11
819,15
820,-51
821,-39
822,24
823,36
824,-37
825,-41
826,-36
827,-64
828,-46
829,-18
830,4
831,24
832,-67
833,-55
834,-73
835,-33
836,-43
837,-19
838,-5
839,23
840,-15
841,-35
842,-5
843,-77
844,-80
845,-4
846,-61
847,-33
848,-73
849,43
850,4
851,-28
852,-35
853,-59
854,7
855,-53
856,-82
857,54
858,-12
859,-12
860,-40
861,-76
862,-51
863,1
864,9
865,-59
866,1
867,13
868,-89
869,19
870,-91
871,-43
872,-29
873,-101
874,33
875,29
876,-4
877,0
878,-57
879,-25
880,-53
881,-57
882,-66
883,-34
884,-51
885,-43
886,-75
887,25
888,3
889,-49
890,-82
891,-2
892,-44
893,-48
894,-57
895,-9
896,-44
897,-84
898,-99
899,-47
900,-76
901,-24
902,-72
903,12
904,-21
905,-49
906,-87
907,-51
908,-84
909,-108
910,-67
911,-87
912,-44
913,-48
914,-29
915,-53
916,-72
917,-4
918,-27
919,-79
920,-53
921,-85
922,-65
923,-97
924,-71
925,5
926,-7
927,37
928,18
929,-46
930,-23
931,-55
932,-25
933,-21
934,30
935,-86
936,-44
937,-48
938,-61
939,-33
940,-64
941,4
942,-1
943,-45
944,-28
945,-12
946,-2
947,-14
948,-25
949,-69
950,30
951,14
952,-63
953,37
954,-79
955,29
956,9
957,-55
958,43
959,-73
960,37
961,25
962,-3
963,5
964,-93
965,-45
966,-65
967,-53
968,-15
969,-83
970,-4
971,-44
972,-90
973,26
974,-20
975,-20
976,-6
977,-58
978,-10
979,22
980,-130
981,-94
982,-34
983,6
984,-23
985,-39
986,-27
987,-63
988,31
989,7
990,-97
991,-29
992,-44
993,-44
994,-41
995,-37
996,-77
997,-25
998,-42
999,-122
