,S++
0,14
1,26
2,38
3,-8
4,38
5,14
6,26
7,50
8,38
9,-10
10,14
11,50
12,26
13,26
14,47
15,38
16,2
17,50
18,-8
19,50
20,26
21,26
22,26
23,2
24,14
25,47
26,47
27,38
28,26
29,50
30,47
31,14
32,35
33,20
34,14
35,26
36,14
37,-22
38,38
39,26
40,47
41,2
42,50
43,47
44,26
45,38
46,38
47,-26
48,38
49,38
50,38
51,-10
52,44
53,2
54,14
55,26
56,38
57,38
58,26
59,26
60,2
61,26
62,16
63,50
64,32
65,26
66,44
67,26
68,38
69,38
70,26
71,26
72,16
73,14
74,38
75,35
76,38
77,38
78,47
79,38
80,44
81,14
82,2
83,2
84,47
85,38
86,-22
87,16
88,38
89,50
90,44
91,14
92,38
93,38
94,50
95,14
96,50
97,47
98,26
99,4
100,50
101,26
102,50
103,26
104,35
105,14
106,38
107,38
108,38
109,38
110,26
111,23
112,47
113,32
114,-10
115,47
116,47
117,26
118,26
119,16
120,44
121,-10
122,44
123,44
124,26
125,50
126,-10
127,26
128,38
129,11
130,38
131,14
132,38
133,38
134,26
135,47
136,38
137,47
138,14
139,47
140,14
141,-22
142,2
143,50
144,-10
145,47
146,26
147,47
148,2
149,47
150,38
151,44
152,50
153,26
154,50
155,26
156,50
157,50
158,2
159,26
160,32
161,16
162,14
163,26
164,50
165,-10
166,26
167,38
168,38
169,50
170,50
171,14
172,47
173,32
174,26
175,2
176,38
177,47
178,44
179,50
180,35
181,44
182,14
183,-10
184,26
185,14
186,38
187,-10
188,26
189,47
190,35
191,-22
192,44
193,47
194,26
195,14
196,50
197,44
198,50
199,44
200,-40
201,26
202,44
203,50
204,14
205,26
206,44
207,26
208,-10
209,-4
210,20
211,-28
212,38
213,35
214,2
215,47
216,50
217,26
218,26
219,2
220,50
221,26
222,22
223,44
224,26
225,47
226,26
227,44
228,44
229,14
230,50
231,-10
232,47
233,50
234,14
235,2
236,38
237,-10
238,16
239,26
240,32
241,38
242,26
243,50
244,44
245,50
246,35
247,44
248,26
249,50
250,-10
251,32
252,14
253,47
254,44
255,26
256,47
257,11
258,11
259,47
260,26
261,35
262,50
263,-22
264,4
265,2
266,38
267,47
268,26
269,-20
270,26
271,50
272,2
273,44
274,14
275,38
276,26
277,44
278,26
279,47
280,50
281,16
282,26
283,50
284,14
285,47
286,23
287,-10
288,47
289,2
290,50
291,50
292,14
293,14
294,26
295,50
296,-22
297,26
298,16
299,-10
300,26
301,38
302,44
303,-10
304,50
305,-34
306,32
307,-13
308,50
309,8
310,-10
311,2
312,38
313,50
314,26
315,26
316,35
317,26
318,26
319,23
320,14
321,38
322,-10
323,50
324,50
325,50
326,50
327,50
328,38
329,26
330,47
331,38
332,14
333,26
334,26
335,38
336,14
337,-1
338,38
339,50
340,14
341,50
342,26
343,2
344,50
345,50
346,38
347,35
348,2
349,50
350,38
351,47
352,14
353,26
354,26
355,47
356,26
357,38
358,-25
359,50
360,50
361,-8
362,38
363,-20
364,47
365,44
366,50
367,26
368,44
369,16
370,23
371,2
372,14
373,14
374,23
375,44
376,26
377,44
378,26
379,26
380,50
381,35
382,14
383,46
384,26
385,38
386,26
387,38
388,14
389,26
390,26
391,-10
392,14
393,26
394,34
395,26
396,47
397,47
398,26
399,38
400,26
401,26
402,26
403,44
404,44
405,50
406,-22
407,38
408,14
409,-1
410,35
411,8
412,-10
413,26
414,50
415,20
416,44
417,4
418,14
419,50
420,50
421,20
422,50
423,26
424,-22
425,26
426,50
427,26
428,44
429,47
430,23
431,47
432,50
433,14
434,4
435,38
436,32
437,38
438,14
439,-1
440,-10
441,26
442,14
443,2
444,26
445,38
446,50
447,26
448,38
449,26
450,26
451,26
452,38
453,-28
454,14
455,26
456,14
457,50
458,50
459,44
460,-10
461,26
462,-10
463,47
464,26
465,34
466,38
467,50
468,47
469,14
470,38
471,47
472,-10
473,50
474,2
475,4
476,26
477,14
478,38
479,50
480,26
481,26
482,38
483,-10
484,-10
485,-22
486,38
487,2
488,26
489,44
490,38
491,47
492,16
493,26
494,50
495,14
496,26
497,26
498,26
499,38
500,-158
501,-170
502,-154
503,-154
504,-154
505,-170
506,-162
507,-146
508,-166
509,-142
510,-154
511,-166
512,-162
513,-154
514,-154
515,-142
516,-226
517,-238
518,-146
519,-174
520,-162
521,-226
522,-174
523,-174
524,-154
525,-154
526,-150
527,-174
528,-150
529,-154
530,-226
531,-166
532,-166
533,-238
534,-162
535,-150
536,-174
537,-154
538,-162
539,-166
540,-166
541,-158
542,-166
543,-162
544,-162
545,-154
546,-170
547,-158
548,-170
549,-146
550,-230
551,-158
552,-146
553,-146
554,-166
555,-166
556,-154
557,-158
558,-166
559,-162
560,-158
561,-158
562,-242
563,-158
564,-154
565,-158
566,-154
567,-146
568,-142
569,-150
570,-174
571,-154
572,-142
573,-170
574,-158
575,-154
576,-170
577,-154
578,-158
579,-158
580,-154
581,-150
582,-150
583,-154
584,-162
585,-162
586,-146
587,-170
588,-162
589,-158
590,-154
591,-166
592,-158
593,-150
594,-146
595,-158
596,-158
597,-158
598,-162
599,-154
600,-154
601,-142
602,-154
603,-162
604,-146
605,-158
606,-162
607,-154
608,-170
609,-230
610,-162
611,-158
612,-154
613,-162
614,-158
615,-222
616,-158
617,-154
618,-150
619,-150
620,-234
621,-150
622,-142
623,-162
624,-154
625,-174
626,-158
627,-150
628,-158
629,-222
630,-154
631,-150
632,-226
633,-242
634,-158
635,-150
636,-154
637,-166
638,-158
639,-162
640,-154
641,-162
642,-162
643,-158
644,-162
645,-146
646,-150
647,-158
648,-150
649,-162
650,-174
651,-162
652,-158
653,-170
654,-142
655,-178
656,-154
657,-174
658,-150
659,-146
660,-162
661,-158
662,-158
663,-158
664,-166
665,-150
666,-158
667,-230
668,-158
669,-162
670,-238
671,-242
672,-158
673,-150
674,-170
675,-166
676,-222
677,-166
678,-166
679,-162
680,-162
681,-154
682,-146
683,-162
684,-158
685,-158
686,-226
687,-150
688,-154
689,-242
690,-170
691,-166
692,-238
693,-170
694,-150
695,-166
696,-154
697,-166
698,-150
699,-154
700,-166
701,-146
702,-162
703,-146
704,-170
705,-162
706,-170
707,-230
708,-154
709,-150
710,-154
711,-142
712,-150
713,-158
714,-150
715,-158
716,-154
717,-154
718,-154
719,-142
720,-150
721,-154
722,-142
723,-154
724,-154
725,-242
726,-158
727,-154
728,-154
729,-146
730,-162
731,-154
732,-170
733,-158
734,-154
735,-178
736,-222
737,-158
738,-158
739,-158
740,-142
741,-154
742,-150
743,-170
744,-158
745,-166
746,-162
747,-158
748,-146
749,-154
750,-158
751,-154
752,-166
753,-234
754,-162
755,-158
756,-178
757,-154
758,-170
759,-162
760,-174
761,-150
762,-158
763,-154
764,-158
765,-142
766,-170
767,-154
768,-166
769,-158
770,-146
771,-154
772,-154
773,-162
774,-166
775,-158
776,-142
777,-158
778,-150
779,-162
780,-142
781,-162
782,-158
783,-162
784,-234
785,-226
786,-146
787,-158
788,-166
789,-170
790,-162
791,-154
792,-162
793,-150
794,-158
795,-158
796,-242
797,-162
798,-174
799,-158
800,-142
801,-166
802,-142
803,-154
804,-146
805,-154
806,-154
807,-154
808,-150
809,-146
810,-154
811,-150
812,-158
813,-170
814,-146
815,-154
816,-158
817,-162
818,-170
819,-170
820,-146
821,-154
822,-174
823,-174
824,-150
825,-158
826,-162
827,-238
828,-170
829,-150
830,-158
831,-142
832,-154
833,-150
834,-154
835,-234
836,-154
837,-162
838,-154
839,-154
840,-158
841,-154
842,-150
843,-178
844,-154
845,-166
846,-158
847,-162
848,-162
849,-162
850,-166
851,-170
852,-162
853,-150
854,-150
855,-166
856,-166
857,-242
858,-158
859,-230
860,-242
861,-158
862,-154
863,-174
864,-170
865,-150
866,-158
867,-150
868,-158
869,-154
870,-162
871,-170
872,-146
873,-158
874,-154
875,-154
876,-154
877,-142
878,-174
879,-162
880,-162
881,-174
882,-154
883,-150
884,-146
885,-146
886,-146
887,-166
888,-150
889,-162
890,-154
891,-222
892,-154
893,-154
894,-234
895,-162
896,-162
897,-162
898,-158
899,-142
900,-226
901,-146
902,-146
903,-146
904,-162
905,-238
906,-174
907,-158
908,-158
909,-158
910,-158
911,-150
912,-174
913,-154
914,-154
915,-162
916,-154
917,-154
918,-154
919,-174
920,-158
921,-242
922,-158
923,-166
924,-158
925,-230
926,-154
927,-174
928,-150
929,-146
930,-150
931,-154
932,-162
933,-238
934,-154
935,-154
936,-158
937,-158
938,-150
939,-146
940,-226
941,-150
942,-174
943,-150
944,-150
945,-178
946,-158
947,-154
948,-154
949,-154
950,-170
951,-238
952,-166
953,-154
954,-170
955,-142
956,-158
957,-142
958,-158
959,-154
960,-146
961,-158
962,-150
963,-166
964,-154
965,-154
966,-154
967,-166
968,-154
969,-158
970,-162
971,-166
972,-154
973,-154
974,-162
975,-150
976,-158
977,-158
978,-230
979,-162
980,-150
981,-158
982,-166
983,-154
984,-158
985,-166
986,-162
987,-150
988,-150
989,-154
990,-158
991,-158
992,-158
993,-158
994,-142
995,-154
996,-150
997,-170
998,-146
999,-154
1000,-162
1001,-158
1002,-162
1003,-158
1004,-154
1005,-174
1006,-234
1007,-166
1008,-154
1009,-154
1010,-154
1011,-158
1012,-162
1013,-146
1014,-158
1015,-162
1016,-182
1017,-154
1018,-158
1019,-150
1020,-158
1021,-174
1022,-158
1023,-166
1024,-154
