,EEE
695,-146
696,-126
697,-122
698,-134
699,-142
700,-126
701,-150
702,-130
703,-110
704,-130
705,-162
706,-114
707,-142
708,-126
709,-146
710,-150
711,-126
712,-158
713,-122
714,-162
715,-138
716,-138
717,-166
718,-126
719,-134
720,-138
721,-114
722,-134
723,-162
724,-126
725,-130
726,-150
727,-134
728,-114
729,-130
730,-138
731,-138
732,-122
733,-146
734,-138
735,-122
736,-146
737,-114
738,-158
739,-134
740,-126
741,-130
742,-126
743,-130
744,-126
745,-122
746,-118
747,-118
748,-178
749,-134
750,-118
751,-126
752,-114
753,-122
754,-118
755,-142
756,-130
757,-126
758,-122
759,-118
760,-126
761,-130
762,-114
763,-134
764,-130
765,-138
766,-126
767,-118
768,-138
769,-110
770,-134
771,-138
772,-118
773,-134
774,-126
775,-142
776,-126
777,-142
778,-126
779,-138
780,-134
781,-110
782,-118
783,-126
784,-130
785,-134
786,-134
787,-138
788,-122
789,-110
790,-154
791,-138
792,-154
793,-122
794,-126
795,-150
796,-126
797,-122
798,-118
799,-134
800,-134
801,-146
802,-150
803,-118
804,-138
805,-134
806,-126
807,-122
808,-122
809,-154
810,-150
811,-130
812,-142
813,-134
814,-142
815,-142
816,-146
817,-106
818,-162
819,-122
820,-130
821,-126
822,-134
823,-134
824,-146
825,-134
826,-130
827,-114
828,-150
829,-134
830,-118
831,-146
832,-126
833,-134
834,-126
835,-122
836,-134
837,-170
838,-138
839,-150
840,-138
841,-130
842,-118
843,-138
844,-126
845,-130
846,-158
847,-134
848,-138
849,-130
850,-174
851,-146
852,-134
853,-130
854,-134
855,-142
856,-134
857,-126
858,-138
859,-118
860,-126
861,-118
862,-122
863,-118
864,-134
865,-130
866,-146
867,-142
868,-130
869,-130
870,-106
871,-142
872,-146
873,-134
874,-122
875,-126
876,-158
877,-134
878,-134
879,-134
880,-114
881,-122
882,-122
883,-130
884,-142
885,-130
886,-154
887,-142
888,-130
889,-126
890,-122
891,-122
892,-134
893,-126
894,-134
895,-138
896,-142
897,-130
898,-106
899,-146
900,-130
901,-122
902,-146
903,-138
904,-118
905,-134
906,-142
907,-130
908,-142
909,-118
910,-130
911,-118
912,-134
913,-134
914,-138
915,-130
916,-146
917,-118
918,-126
919,-118
920,-130
921,-142
922,-134
923,-130
924,-138
925,-150
926,-154
927,-130
928,-114
929,-134
930,-126
931,-114
932,-126
933,-134
934,-126
935,-174
936,-126
937,-134
938,-134
939,-142
940,-130
941,-158
942,-158
943,-122
944,-138
945,-138
946,-166
947,-138
948,-126
949,-138
950,-106
951,-134
952,-118
953,-138
954,-146
955,-130
956,-130
957,-106
958,-118
959,-162
960,-146
961,-134
962,-134
963,-118
964,-154
965,-134
966,-138
967,-114
968,-142
969,-150
970,-138
971,-142
972,-158
973,-134
974,-138
975,-106
976,-142
977,-142
978,-130
979,-122
980,-114
981,-138
982,-158
983,-134
984,-146
985,-134
986,-162
987,-126
988,-118
989,-126
990,-130
991,-146
992,-150
993,-130
994,-118
995,-134
996,-118
997,-126
998,-126
999,-130
1000,-134
1001,-122
1002,-130
1003,-114
1004,-134
1005,-146
1006,-138
1007,-130
1008,-118
1009,-142
1010,-126
1011,-122
1012,-170
1013,-126
1014,-146
1015,-114
1016,-138
1017,-142
1018,-130
1019,-142
1020,-114
1021,-130
1022,-138
1023,-150
1024,-138
1025,-134
1026,-130
1027,-158
1028,-134
1029,-134
1030,-130
1031,-122
1032,-110
1033,-110
1034,-118
1035,-106
1036,-130
1037,-130
1038,-126
1039,-150
1040,-126
1041,-114
1042,-134
1043,-130
1044,-142
1045,-126
1046,-142
1047,-134
1048,-146
1049,-130
1050,-122
1051,-126
1052,-134
1053,-114
